"","Year","0317","0321","0322","0430","0434","0440","0442","0444","0446","0450","0456","0470","0474","0478","0484","0486","0498","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A632","A680","A685","A690","B319","B484","C320","C370","C446","C484","D320","D444","G320","J484","KSHZ06","KTHA02","KTHA03","N484","S484"
"11",1980,15.3,4.65,4.9,4.15,5.25,4,3.5,10,5.6,10.5,6,3.8,6.25,4.55,6.35,5.45,7.35,6.4,12.225,11.5,6.45,4.5,9.1,3.25,8.85,NA,NA,3.4,8.15,NA,NA,NA,6.75,5.85,1.85,4.15,3.65,6.25,2.75,3.7,9.4,4.3,NA,NA,NA,3.85,NA
"12",1981,15.35,5,4.685,3.165,5.85,8.165,7,9.1675,6.165,9,7.85,7.7,5.95,5.515,7.185,4.165,9.15,7.1,7.435,9.665,4.85,4,10.4,3.15,7.635,NA,NA,4.65,5.315,NA,NA,NA,2.165,6.815,2.165,6.3,5.83,7.15,2.15,6.165,5.33,5.985,NA,NA,NA,5.085,2.165
"13",1982,18.7,5.835,4.67,4,5.67,4.5,3.33,6.33,5,6.33,4.67,5.33,7.01,4.33,7.33,2.99,9.2,4.34,6.5,8.67,3.67,2.67,9.99,2,11.3,NA,NA,2.01,5,NA,NA,NA,3.33,6.33,3.67,5.005,3.34,8,3.33,3.66,7,6,NA,NA,NA,4.67,2
"14",1983,23.65,NA,7.34,4.34,5.835,13.5,6.665,9.085,5.665,6,8.5,5.835,7.565,7.835,10.45,4,6.33,4.33,9.665,14.7,5.005,4.495,7.99,3.165,7.33,NA,NA,3,5.495,NA,NA,NA,2.67,6.735,2.5,NA,5.17,14,2.335,4.42,5.165,6.47,NA,NA,NA,5,6.17
"15",1984,22,NA,8.57,4.505,6.245,10.7,8.66,5.34,4.165,7.835,4.835,5.67,7.67,5.5,9,3.84,5.505,6,8.17,18.5,5.34,4.01,9.16,3.66,6.565,NA,NA,5.67,9.33,NA,NA,NA,4.67,6.5,2,NA,3.99,9.55,3.33,6.98,7.5,3.5,NA,NA,NA,5.83,3.84
"16",1985,19,NA,6.33,4.67,4.67,6,5.32,5.33,4.49,6.67,4.34,4.67,8.66,4.67,7.67,3.33,7.34,3.33,6.33,16.7,3.33,3.6,7.67,1.67,6.66,NA,NA,3,3.67,NA,NA,NA,3,7.67,2.5,NA,4.67,9,2.66,3.66,4.67,4.34,NA,NA,NA,5,3
"17",1986,20.65,NA,4.005,4.105,4.805,4.435,5.17,5.835,6.175,6.995,5.865,4.125,8.665,5.3,8.335,2.835,6.33,3.84,7.36,8.835,3,3.1,7.175,3.17,5.83,NA,NA,3,5.135,NA,NA,NA,3.165,9.815,2.535,NA,3.67,7.835,2.165,4.165,4.17,5.165,NA,NA,NA,4.105,2.735
"18",1987,18.275,NA,3.835,3.835,5.665,3,2.915,5.335,4.335,6.2,4.335,6,6.165,5.33,8.8325,3,4.335,3.83,7.5,7.415,3.83,4.5,9.5,2,6.165,NA,NA,2,3.835,3,NA,2.33,2.335,8.665,2.335,NA,5.085,10.35,1.835,3.165,3.265,5.33,NA,NA,NA,4.165,2
"19",1988,14,NA,4.67,2.835,2.835,5,3,5.66,5.33,6.25,3.5,4.2,5,4.165,9.0775,3,5.9,5.54,6.29,8.585,4.145,4.67,8.17,4.07,6.335,NA,NA,3,3.5,NA,NA,NA,3.335,7.465,2.9,NA,3.065,5.78,2.33,4.165,3.685,4.835,NA,23,NA,5,2.485
"20",1989,16.7,NA,4.84,4.7,5.225,4.55,11.3,6.875,2.5,7,2.4,2.55,5.2,6.1,11,3.5,4.1,7.635,8.4,12.55,3.8,3.4,9.4,3.2175,5.9,NA,NA,3.45,3.3,NA,NA,NA,5.9875,5,3.79,NA,2.2,7.8,2.925,2.98,4.015,4.145,5,4.6,4,5.38,2.2
"21",1990,24.7,NA,5,3.4,3.3,3.4,6.4,5.2,5.66,5.835,2.9,3.4,6.945,5.97,8.855,3.18,8.905,13.4,9,10.5,3.6,8.67,12.25,4.61,5.93,NA,NA,2.6,3.8,NA,NA,NA,4.2,5.045,3.33,NA,2.725,8.245,2.8,4,3.2,4.13,3.955,3.76,4.04,3.35,2.9
"22",1991,19.7,NA,5.88,3.7,5.1,6.26,29.075,12.415,7.665,3.515,3.605,3.1,4.5,5.5,8.6,3.2,7.6,7.55,8.6,7.025,6.1,4.42333333333333,15.5,3,6.4,NA,NA,5.585,3.8,NA,NA,NA,6.26666666666667,4.7,3.535,NA,4.5,7.2,2.81,2.98,4,3.2,3,3.5,3.6,3.2,3.095
"23",1992,10,NA,4.7425,5.875,4.455,3.825,2.6,4.15,5,5.35,4.45,4.725,5.525,7.8475,9.225,3.425,8.0925,3.85,7.325,4.05,3.1,3.5,6.675,1.6,6.175,NA,NA,2.8,3.225,NA,NA,NA,2.4,3.775,2.4,NA,1.65,7.77,2.45,2.625,3.65,2.8,3,2.345,2.7,3.875,2.575
"24",1993,10.575,3,3.6,5.8,4.65,3.5,2.05,3,4.675,5.3,4.3,4.8,5.25,7.3,7.55,4.1,5.85,4.75,5.71666666666667,4.55,2.45,3.6,7.4,1.675,5.325,NA,NA,2.2,3.65,NA,NA,NA,1.35,4.55,1.55,NA,3.2,7.7,2.9,2.05,3.2,4.1,3.7,2.9,2.05,5.1,3.375
"25",1994,12.5,3.9,4.55,3.3,3.7,5.6,2.95,4.2,6,4.55,6.9,4.7,5.65,6.15,7.4,3.6,6.1,7.4,6.3,6.375,2.4,4.35,6.4,2.2,5.8,NA,NA,4.05,5.75,NA,NA,NA,1.85,4.15,2.75,NA,4.4,6.65,3.75,2.8,4.475,3.7,5.25,3.45,1.7,4.5,2.25
"26",1995,15.625,4.3,5,12.45,12.6666666666667,14.575,9.4,7.8,9.975,5.1,8.25,5.5,7.15,15.125,16.4,4.6,7.875,7.8,8.225,7.6,3.9,6.15,19.3333333333333,2.275,6.225,8.95,NA,3,3.825,5.15,NA,5.5,2.8,3.275,2.05,2,3,8.05,2.55,2.75,3.95,3.9,10.075,4.1,2.2,3.5,3.3
"27",1996,8,4.95,6.075,3,4.45,7.9,2.6,3.9,4.15,4.95,3.35,3.45,4.25,10,6.15,2.95,5.5,11.35,11,6.25,11.175,8.8,11.45,3.475,6,4.7,1.235,10.45,2.85,6.31666666666667,4.9,4.25,3.7,4,1.85,3.2,6.7,8.75,2.45,3,3.65,4.1,3.4,3.9,3.05,3.65,2.3
"28",1997,9.95,4.075,4.97083333333333,4.2,6,3.05,2.675,3.725,2.5,4.5,4.45,4.8,4.1,4.625,7.8,2.6,7.475,3.95,10.8,6.475,4.45,4.4,9.71666666666667,1.9,5.85,2.25,1,3.8,2.45,5.92333333333333,4.43333333333333,6.325,4.76666666666667,4.2,2.075,3.15,3.3,6.5,2.7,1.35,2.9,3.35,5.2,2.25,2.5,3.1,2.8
"29",1998,9.625,8.03333333333333,5.85416666666667,6.7,6.425,5.825,5.575,4.63333333333333,4.8,3.8,4.05,3.175,4.8,6.38333333333333,8.175,2.4,9.55,5.975,5.75,6.25,4,3.2,8,1.1,6,3.725,0.825,2.33333333333333,2,4.15,4,2.525,2.25,5.8,1.6,7.75,1.4,4.4,1.6,2.2,2.7,3.3,5.85,4.9,4.9,3.2,2.4
"30",1999,9,3.4,3.45,6.1,7.6,8.35,18.2,3.65,3.85,4.15,4.25,3.675,6,4.65,6.1,3.2,8.1,5.65,9.1,5.25,3.7,2.825,8.6,1.75,6.05,2.25,1.15,7.8,2.15,8.05,5.4,2.2,2.37666666666667,3.45,1.2,3.05,7.3,5.975,1.7,4,1.9,3.25,5.5,4.4,13.35,3.85,2.125
"31",2000,12.2,8.975,4.1,4.1,7.6,5.95,8.65,4.6,13.2,3.75,11.2,11.1,5.6,11.8,7,3,11.6,8.25,7.9,10.9,2.2,4.9,9.8,1.95,11.8,2.45,2.3,3.4,3.075,4.85,4.5,3.3,1.7,5.3,2.6,4.3,7.35,7.8,2.8,3.5,4.4,4.05,6.5,2.975,4.4,4.6,3.275
"32",2001,6.055,6.06,2.355,6.62,7,4.725,3.285,4.2,6.1,4.275,4.825,4.125,4.05,5.775,7.05,2.05,11.075,5.3,4.93,7.965,2.85,2.7,9.35,2.235,8.35,1.2,1.45,4.75,1.5,3.8,2.95,3.23,1.7,4.3,1.375,2.6,2.05,7.9,2.5,3.5,4.295,4.9,4.05,2.75,2.65,4.5,1.45
"33",2002,7.9,5.64,4.61666666666667,2.6725,5.9,3.4,3.715,4.95,2.8,2.9,4.02,4.35,5.75,6.7125,6.75,2.06,6.335,4,4.195,8.65,2.44,3.4,10.05,1.6,5.6,1.305,2.25,1.8,1.65,5.2975,2.55,2.2,1.5,3.8,1.45,3.75,2.4,5.085,1.75,2.06,2.7,3.4,3.35,2.75,3.55,2.9,1.45
"34",2003,6.16,4.375,3.56,3.15,5.05,3.28,1.76,3.2,1.4,2.6,4.1,3.36,4.275,3.8,5.045,1.7,7.825,6.2,4.95,6.6325,2.25,4.59416666666667,7.2,1.7,10.65,1.45,1.05,4.65,1.725,5.05,3.175,2.6,1.45,3.725,1.205,2.225,1.45,5.645,2.4,2.55,3.45,3.18,2.6,2.26,2.965,3.695,1.25
"35",2004,7.6,3.85,2.91,2.6,5.3,2.65,2.355,1.55,1.595,3.4,5.4925,2.15,3.85,4.875,4.55,2.025,6.35,5.1,5.35,6.05,2.5,3.7,8.8,1.5,7.5,1.1,1.015,4.65,2,4.45,3.75,3.7,1.56,3.6,1.6,2.3,1.2,5.76,2.5,1.9,3.23,2.9,2.65,2.4,4.47,3.1,2.15
"36",2005,6.05,3.9,2.55,4.3,8.8,2.215,1.35,1.4,3.2575,3.885,4.45,3.41,4.22,3.685,6.915,1.94,9.325,3.85,5.6,7.5,2.1,3.025,10.045,1.2,6.55,1.85,0.6,2.55,2.2,4.75,2.25,2.375,1.565,3.85,1.45,1.35,2.0325,6.2,2.65,2.4,2.7,3.71,3.19,2.785,5.1,3.435,2
"37",2006,6.2,3.335,3.75,6.225,10.9,4.05,2.17,2.665,3.765,2.99,4.6,3.8825,7.725,6.15,5.8,2.1,6.75,5.95,5.85,5.2,2.9,3.95,10.7,1.35,6.55,2.32,0.5,2.2,1.1,2.325,3.8675,2.2,2.35,3.8,2,2.8,1.2,7,2.1,2.5,3.6,6.75,6.51,6.9,8,3.9,1.8
"38",2007,5.825,4.06666666666667,3.9,3.825,7.225,4.7775,2.1,2.15,2.75,4.3,5.98,5.15,7.82,4.9325,4.55,1.975,4.75,6.7,6.05,7.35,4.6,3.85,9.1,1.7675,7.2025,1,0.905,2.7,1.75,2.45,2.585,4.25,2.075,3.5,1.825,2.55,2.575,6.335,1.85,1.8,2.65,4.6,4.08,4.475,3.84,3.8,1.45
"39",2008,5.15,7.15,3.95,3.95,4.55,3.35,1.565,1.95,4.05,3.75,2.95,5.05,4.85,3.8025,4.365,2.15,3.925,7.25,6.7225,6.55,3.25,3.96,8.875,1.65,5.21,4.805,1.2,3.85,2.425,1.88,2.85,2.5,1.75,3.5,2.4,4.23,2.5,4.355,2.7,1.7,2.7,2.725,2.485,4.325,1.75,3.1,2
"40",2009,7.655,NA,4.9,5.5,5.475,4.55,NA,NA,4.35,NA,NA,4.65,5.15,5.9,4.35,2.525,NA,6.775,7.975,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,1.98,NA,NA,3.85,NA,NA,NA,NA,NA,2.4,NA,NA,NA,4.95,NA,NA,NA,NA
"41",2010,8.795,NA,5.5,12.55,9.425,6.9,NA,NA,9.2,NA,NA,5.65,5.6,9.025,6.075,2.2,NA,15.85,7.455,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,2.825,NA,NA,3.75,NA,NA,NA,NA,NA,3.725,NA,NA,NA,7.075,NA,NA,NA,NA
"42",2011,6.1,NA,3.75,2.45,4.96666666666667,3.05,NA,NA,5.2,NA,NA,3.15,5.55,3.35,4.7,2.35,NA,4.25,5.4,NA,NA,3.9975,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA,1.9,NA,NA,NA,NA,NA,3.3,NA,NA,NA,6.7,NA,NA,NA,NA
"43",2012,4.05,NA,3.6375,2.375,6.3,5.75,NA,NA,3.67,NA,NA,2.55,5.125,5,5.7,2.35,NA,5.4,8.43,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,3.35,NA,NA,2.25,NA,NA,NA,NA,NA,2.45,NA,NA,NA,3.6,NA,NA,NA,NA
"44",2013,4.1,3,3.35,2.15,3.7,2.35,1.5,1.8,2.1,NA,2.5,3.9,3.7,3.7,4.2,1.5,NA,3.9,6.25,5.3,NA,2.9,5.9,NA,NA,1,0.6,2.7,NA,2,2.7,NA,2.7,4.3,1.6,5.3,NA,4,2.75,NA,3.7,NA,2.8,NA,4.1,2.2,NA
"45",2014,6.405,5.81,5.305,3.25,5.335,2.8,11.45,2.54,2.845,NA,3.935,4.285,6.55,4.06,7.055,1.95,NA,4.725,6.645,11.25,NA,3.75,12.34,NA,NA,1.61,0.825,5.265,NA,2.72,3.765,NA,3.2,5.03,2.11,10.3,NA,7.45,3.015,NA,3.665,NA,4.575,NA,6.005,3.315,NA
"46",2015,5.575,5.425,4.015,3.2,4,2.38,2,4.6,2.65,NA,2.75,3,8.03,3.865,7.62,1.95,NA,4.05,4.155,11.8,3.55,2.7,11.05,1.5,5.55,1.85,2.8,3.15,2.715,3.9,4.35,3.905,2.45,5.255,1.77,4.35,NA,6.595,2.295,NA,3.95,4.69142857142857,2.885,3.22,3.375,3.01125,2.3
