SampleID,CollectDate,Year,Month,Locator,Nitrite_+_Nitrate_Nitrogen,Nitrite_+_Nitrate_Nitrogen_log,Nitrite_+_Nitrate_Nitrogen_units,Nitrite_+_Nitrate_Nitrogen_mdl,Nitrite_+_Nitrate_Nitrogen_rdl,Nitrite_+_Nitrate_Nitrogen_text,Nitrite_+_Nitrate_Nitrogen_orig,Ammonia_Nitrogen,Ammonia_Nitrogen_log,Ammonia_Nitrogen_units,Ammonia_Nitrogen_mdl,Ammonia_Nitrogen_rdl,Ammonia_Nitrogen_text,Ammonia_Nitrogen_orig,Total_Nitrogen,Total_Nitrogen_log,Total_Nitrogen_units,Total_Nitrogen_mdl,Total_Nitrogen_rdl,Total_Nitrogen_text,Total_Nitrogen_orig,Total_Suspended_Solids,Total_Suspended_Solids_log,Total_Suspended_Solids_units,Total_Suspended_Solids_mdl,Total_Suspended_Solids_rdl,Total_Suspended_Solids_text,Total_Suspended_Solids_orig,"Dissolved_Oxygen,_Field","Dissolved_Oxygen,_Field_log","Dissolved_Oxygen,_Field_units","Dissolved_Oxygen,_Field_mdl","Dissolved_Oxygen,_Field_rdl","Dissolved_Oxygen,_Field_text","Dissolved_Oxygen,_Field_orig","pH,_Field","pH,_Field_log","pH,_Field_units","pH,_Field_mdl","pH,_Field_rdl","pH,_Field_text","pH,_Field_orig",Orthophosphate_Phosphorus,Orthophosphate_Phosphorus_log,Orthophosphate_Phosphorus_units,Orthophosphate_Phosphorus_mdl,Orthophosphate_Phosphorus_rdl,Orthophosphate_Phosphorus_text,Orthophosphate_Phosphorus_orig,Temperature,Temperature_log,Temperature_units,Temperature_mdl,Temperature_rdl,Temperature_text,Temperature_orig,Fecal_Coliform,Fecal_Coliform_log,Fecal_Coliform_units,Fecal_Coliform_mdl,Fecal_Coliform_rdl,Fecal_Coliform_text,Fecal_Coliform_orig,Total_Alkalinity,Total_Alkalinity_log,Total_Alkalinity_units,Total_Alkalinity_mdl,Total_Alkalinity_rdl,Total_Alkalinity_text,Total_Alkalinity_orig,Turbidity,Turbidity_log,Turbidity_units,Turbidity_mdl,Turbidity_rdl,Turbidity_text,Turbidity_orig,Silica,Silica_log,Silica_units,Silica_mdl,Silica_rdl,Silica_text,Silica_orig,"Conductivity,_Field","Conductivity,_Field_log","Conductivity,_Field_units","Conductivity,_Field_mdl","Conductivity,_Field_rdl","Conductivity,_Field_text","Conductivity,_Field_orig",Total_Phosphorus,Total_Phosphorus_log,Total_Phosphorus_units,Total_Phosphorus_mdl,Total_Phosphorus_rdl,Total_Phosphorus_text,Total_Phosphorus_orig,Storm_Or_Non-Storm,Storm_Or_Non-Storm_log,Storm_Or_Non-Storm_units,Storm_Or_Non-Storm_mdl,Storm_Or_Non-Storm_rdl,Storm_Or_Non-Storm_text,Storm_Or_Non-Storm_orig,pH,pH_log,pH_units,pH_mdl,pH_rdl,pH_text,pH_orig,Enterococcus,Enterococcus_log,Enterococcus_units,Enterococcus_mdl,Enterococcus_rdl,Enterococcus_text,Enterococcus_orig,Conductivity,Conductivity_log,Conductivity_units,Conductivity_mdl,Conductivity_rdl,Conductivity_text,Conductivity_orig,Dissolved_Oxygen,Dissolved_Oxygen_log,Dissolved_Oxygen_units,Dissolved_Oxygen_mdl,Dissolved_Oxygen_rdl,Dissolved_Oxygen_text,Dissolved_Oxygen_orig,E._coli,E._coli_log,E._coli_units,E._coli_mdl,E._coli_rdl,E._coli_text,E._coli_orig
L67489-9,2017-04-11T19:40:00Z,2017,4,0631,0.678,-0.38860799104174143,mg/L,0.01,0.04,,0.678,0.0151,-4.193060535161258,mg/L,0.002,0.01,,0.0151,0.861,-0.14966077455440627,mg/L,0.05,0.1,,0.861,3.6,1.2809338454620642,mg/L,0.5,1,,3.6,11.7,2.4595888418037104,mg/L,0.5,1,,11.7,7.41,2.0028304393079956,pH,NA,NA,,7.41,0.00848,-4.7700448291783255,mg/L,5e-4,0.002,,0.00848,8.6,2.151762203259462,deg C,NA,NA,,8.6,5,1.6094379124341003,CFU/100ml,NA,NA,,5,34.8,3.5496173867804286,mg CaCO3/L,1,5,,34.8,2.14,0.7608058290337602,NTU,0.2,0.5,,2.14,15.9,2.766319109226186,mg/L,0.2,0.5,,15.9,94.3,4.546481189639412,umhos/cm,0.5,10,,94.3,0.0222,-3.8076629901039034,mg/L,0.005,0.01,,0.0222,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L67494-4,2017-04-12T16:01:00Z,2017,4,0438,0.232,-1.4610179073158271,mg/L,0.01,0.04,,0.232,0.0132,-4.327538449389812,mg/L,0.002,0.01,,0.0132,0.319,-1.1425641761972924,mg/L,0.05,0.1,,0.319,15.1,2.714694743820879,mg/L,0.5,1,,15.1,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,7.31,1.9892432737616872,pH,NA,NA,,7.31,0.00387,-5.554500771940447,mg/L,5e-4,0.002,,0.00387,8,2.0794415416798357,deg C,NA,NA,,8,30,3.4011973816621555,CFU/100ml,NA,NA,,30,18.8,2.9338568698359038,mg CaCO3/L,1,5,,18.8,4.04,1.3962446919730587,NTU,0.2,0.5,,4.04,10.7,2.3702437414678603,mg/L,0.2,0.5,,10.7,53.8,3.9852734671677386,umhos/cm,0.5,10,,53.8,0.0171,-4.0686768154735224,mg/L,0.005,0.01,,0.0171,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L67511-3,2017-04-12T17:21:00Z,2017,4,A319,0.336,-1.0906441190189327,mg/L,0.01,0.04,,0.336,0.01,-4.605170185988091,mg/L,0.002,0.01,,0.01,0.44,-0.8209805520698302,mg/L,0.05,0.1,,0.44,4.2,1.4350845252893227,mg/L,0.5,1,,4.2,11.3,2.424802725718295,mg/L,0.5,1,,11.3,7.41,2.0028304393079956,pH,NA,NA,,7.41,0.00699,-4.9632747227364185,mg/L,5e-4,0.002,,0.00699,8.2,2.1041341542702074,deg C,NA,NA,,8.2,17,2.833213344056216,CFU/100ml,NA,NA,,17,20.3,3.0106208860477417,mg CaCO3/L,1,5,,20.3,2.9,1.0647107369924282,NTU,0.2,0.5,,2.9,0,0,,NA,NA,,0,58.7,4.072439726834051,umhos/cm,0.5,10,,58.7,0.0208,-3.872802292274865,mg/L,0.005,0.01,,0.0208,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L67494-14,2017-04-12T16:02:00Z,2017,4,0438,0.23,-1.4696759700589417,mg/L,0.01,0.04,,0.23,0.006,-5.115995809754082,mg/L,0.002,0.01,,0.006,0.332,-1.1026203100656484,mg/L,0.05,0.1,,0.332,15.7,2.7536607123542622,mg/L,0.5,1,,15.7,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,7.29,1.986503546020567,pH,NA,NA,,7.29,0.00347,-5.663600685023369,mg/L,5e-4,0.002,,0.00347,8,2.0794415416798357,deg C,NA,NA,,8,21,3.044522437723423,CFU/100ml,NA,NA,,21,19.9,2.990719731730447,mg CaCO3/L,1,5,,19.9,3.9,1.3609765531356006,NTU,0.2,0.5,,3.9,10.4,2.341805806147327,mg/L,0.2,0.5,,10.4,53.8,3.9852734671677386,umhos/cm,0.5,10,,53.8,0.0206,-3.8824642031866015,mg/L,0.005,0.01,,0.0206,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L57620-12,2013-04-02T20:18:00Z,2013,4,0438,0.201,-1.6044503709230613,mg/L,0.01,0.04,,0.201,0.005,-5.298317366548036,mg/L,0.005,0.01,,NA,0.287,-1.248273063222516,mg/L,0.05,0.1,,0.287,1.8,0.5877866649021191,mg/L,0.5,1,,1.8,11.6,2.451005098112319,mg/L,0.5,1,,11.6,7.43,2.005525858729668,pH,NA,NA,,7.43,0.0041,-5.496768305271875,mg/L,0.002,0.005,,0.0041,8.97,2.1938856760707046,deg C,NA,NA,,8.97,5,1.6094379124341003,CFU/100ml,NA,NA,,5,27.8,3.3250360206965914,mg CaCO3/L,1,5,,27.8,0.948,-0.053400776727115296,NTU,0.2,0.5,,0.948,0,0,,NA,NA,,0,55.1,4.009149716158869,umhos/cm,0.5,10,,55.1,0.0083,-4.7914997641795845,mg/L,0.005,0.01,,0.0083,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L15535-2,1999-05-11T17:11:00Z,1999,5,A319,0.19694,-1.624856165162481,mg/L,0.02,0.04,,0.2,0.011,-4.509860006183766,mg/L,0.01,0.02,,0.011,0.2661109668490133,-1.323841888585755,mg/L,0.05,0.1,,0.262,3.7,1.308332819650179,mg/L,0.5,1,,3.7,12.4,2.517696472610991,mg/L,NA,10,,12.4,6.6,1.8870696490323797,pH,NA,NA,,6.6,0.0069031962562171,-4.975770749096042,mg/L,0.002,0.005,,0.00525,8.1,2.0918640616783932,deg C,NA,NA,,8.1,9,2.1972245773362196,CFU/100ml,NA,NA,,9,21.5,3.068052935133617,mg CaCO3/L,0.2,1,,21.5,3.1,1.1314021114911006,NTU,0.5,1,,3.1,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.012586117079093314,-4.375160891593209,mg/L,0.005,0.01,,0.0118,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,1,0,CFU/100ml,NA,NA,,1,53.4,3.977810745966149,umhos/cm,0.5,1,,53.4,0,0,,NA,NA,,0,5,1.6094379124341003,CFU/100ml,NA,NA,,5
8604710,1986-05-15T07:00:00Z,1986,5,0631,0.8626614,-0.1477330171485554,mg/L,NA,NA,.894||King County Nstream Database/B53311,0.894,0.001,-6.907755278982137,mg/L,NA,NA,.001||King County Nstream Database/B53311,0.001,0,0,,NA,NA,,0,6,1.791759469228055,mg/L,NA,NA,6.00||King County Nstream Database/B53311,6,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/B53311,7.3,0.0037509281688004777,-5.585751957945653,mg/L,NA,NA,.003||King County Nstream Database/B53311,0.003,8.5,2.1400661634962708,deg C,NA,NA,8.5||King County Nstream Database/B53311,8.5,100,4.605170185988092,ORG/100ml,NA,NA,100||King County Nstream Database/B53311,100,0,0,,NA,NA,,0,2.5,0.9162907318741551,NTU,NA,NA,2.5||King County Nstream Database/B53311,2.5,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.020574254766436994,-3.883714753418257,mg/L,NA,NA,.025||King County Nstream Database/B53311,0.025,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/B53311,7.3,0,0,,NA,NA,,0,89,4.48863636973214,umhos/cm,NA,NA,89||King County Nstream Database/B53311,89,11.6,2.451005098112319,mg/L,NA,NA,11.58||King County Nstream Database/B53311,11.6,0,0,,NA,NA,,0
8603045,1986-03-20T08:00:00Z,1986,3,0631,0.8973711000000001,-0.10828579010412727,mg/L,NA,NA,.931||King County Nstream Database/B53311,0.931,0.001,-6.907755278982137,mg/L,NA,NA,.001||King County Nstream Database/B53311,0.001,0,0,,NA,NA,,0,4.01,1.3887912413184778,mg/L,NA,NA,4.01||King County Nstream Database/B53311,4.01,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/B53311,7.3,0.013025822548290348,-4.34082154183646,mg/L,NA,NA,.011||King County Nstream Database/B53311,0.011,9.3,2.2300144001592104,deg C,NA,NA,9.3||King County Nstream Database/B53311,9.3,32,3.4657359027997265,ORG/100ml,NA,NA,32||King County Nstream Database/B53311,32,0,0,,NA,NA,,0,1.2,0.1823215567939546,NTU,NA,NA,1.2||King County Nstream Database/B53311,1.2,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.019679867335870103,-3.928159128444262,mg/L,NA,NA,.024||King County Nstream Database/B53311,0.024,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/B53311,7.3,0,0,,NA,NA,,0,97,4.574710978503383,umhos/cm,NA,NA,97||King County Nstream Database/B53311,97,11.4,2.4336133554004498,mg/L,NA,NA,11.42||King County Nstream Database/B53311,11.4,0,0,,NA,NA,,0
L67246-9,2017-03-14T19:20:00Z,2017,3,0631,0.878,-0.1301086853470204,mg/L,0.01,0.04,,0.878,0.0171,-4.0686768154735224,mg/L,0.002,0.01,,0.0171,1.03,0.02955880224154443,mg/L,0.05,0.1,,1.03,40.4,3.6988297849671046,mg/L,0.5,1,,40.4,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,7.29,1.986503546020567,pH,NA,NA,,7.29,0.0175,-4.045554398052668,mg/L,5e-4,0.002,,0.0175,8.6,2.151762203259462,deg C,NA,NA,,8.6,19,2.9444389791664403,CFU/100ml,NA,NA,,19,20.8,3.0349529867072724,mg CaCO3/L,1,5,,20.8,16.6,2.8094026953624978,NTU,0.2,0.5,,16.6,13.4,2.5952547069568657,mg/L,0.2,0.5,,13.4,65.8,4.186619838331271,umhos/cm,0.5,10,,65.8,0.0389,-3.2467610283577364,mg/L,0.005,0.01,,0.0389,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L14868-5,1999-01-20T19:10:00Z,1999,1,0631,1.4874360000000002,0.39705383230195296,mg/L,0.02,0.04,,1.56,0.0248,-3.6969116258112007,mg/L,0.01,0.02,,0.0248,1.7212098942718914,0.5430274704388803,mg/L,0.05,0.1,,1.72,19.2,2.954910279033736,mg/L,0.5,1,,19.2,12,2.4849066497880004,mg/L,NA,10,,12,7.3,1.9878743481543455,pH,NA,NA,,7.3,0.011238558770334313,-4.4884046660177646,mg/L,0.002,0.005,,0.00821,7.6,2.028148247292285,deg C,NA,NA,,7.6,35,3.5553480614894135,CFU/100ml,NA,NA,,35,22.8,3.126760535960395,mg CaCO3/L,0.2,1,,22.8,8.9,2.186051276738094,NTU,0.5,1,,8.9,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.02650583474065313,-3.6303903913332043,mg/L,0.005,0.01,,0.0243,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,84.5,4.436751534363128,umhos/cm,0.5,1,,84.5,0,0,,NA,NA,,0,46,3.828641396489095,CFU/100ml,NA,NA,,46
