Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1970,Jan,Fecal Coliform,80,CFU/100ml,
0311,1970,Jan,Temperature,6.55,deg C,
0311,1970,Feb,Fecal Coliform,180,CFU/100ml,
0311,1970,Feb,Temperature,6.75,deg C,
0311,1970,Mar,Fecal Coliform,42,CFU/100ml,
0311,1970,Mar,Temperature,7.2,deg C,
0311,1970,Apr,Fecal Coliform,110,CFU/100ml,
0311,1970,Apr,Temperature,10.149999999999999,deg C,
0311,1970,May,Fecal Coliform,49,CFU/100ml,
0311,1970,May,Temperature,9.8,deg C,
0311,1970,Jun,Ammonia Nitrogen,160,ug/L,
0311,1970,Jun,Fecal Coliform,108.33333333333333,CFU/100ml,
0311,1970,Jun,Nitrite + Nitrate Nitrogen,11.747,ug/L,
0311,1970,Jun,Temperature,14.933333333333334,deg C,
0311,1970,Jul,Ammonia Nitrogen,86.66666666666667,ug/L,
0311,1970,Jul,Fecal Coliform,81,CFU/100ml,
0311,1970,Jul,Nitrite + Nitrate Nitrogen,232.67900000000003,ug/L,
0311,1970,Jul,Temperature,17.9,deg C,
0311,1970,Aug,Ammonia Nitrogen,100,ug/L,
0311,1970,Aug,Fecal Coliform,113,CFU/100ml,
0311,1970,Aug,Nitrite + Nitrate Nitrogen,143.3315,ug/L,
0311,1970,Aug,Temperature,15.75,deg C,
0311,1970,Sep,Ammonia Nitrogen,60,ug/L,
0311,1970,Sep,Fecal Coliform,640,CFU/100ml,
0311,1970,Sep,Nitrite + Nitrate Nitrogen,167.699,ug/L,
0311,1970,Sep,Temperature,16,deg C,
0311,1970,Oct,Ammonia Nitrogen,140,ug/L,
0311,1970,Oct,Fecal Coliform,79.4,CFU/100ml,
0311,1970,Oct,Nitrite + Nitrate Nitrogen,134.5592,ug/L,
0311,1970,Oct,Temperature,9.58,deg C,
0311,1970,Nov,Ammonia Nitrogen,100,ug/L,
0311,1970,Nov,Fecal Coliform,1035,CFU/100ml,
0311,1970,Nov,Nitrite + Nitrate Nitrogen,235.928,ug/L,
0311,1970,Nov,Temperature,9.1,deg C,
0311,1970,Dec,Ammonia Nitrogen,172.5,ug/L,
0311,1970,Dec,Fecal Coliform,525,CFU/100ml,
0311,1970,Dec,Nitrite + Nitrate Nitrogen,360.20225,ug/L,
0311,1970,Dec,Temperature,5.425,deg C,
0311,1971,Jan,Ammonia Nitrogen,75,ug/L,
0311,1971,Jan,Fecal Coliform,65.5,CFU/100ml,
0311,1971,Jan,Nitrite + Nitrate Nitrogen,240.8015,ug/L,
0311,1971,Jan,Temperature,4.050000000000001,deg C,
0311,1971,Feb,Ammonia Nitrogen,85,ug/L,
0311,1971,Feb,Fecal Coliform,260,CFU/100ml,
0311,1971,Feb,Nitrite + Nitrate Nitrogen,316.34075,ug/L,
0311,1971,Feb,Temperature,7,deg C,
0311,1971,Mar,Ammonia Nitrogen,70,ug/L,
0311,1971,Mar,Fecal Coliform,170,CFU/100ml,
0311,1971,Mar,Nitrite + Nitrate Nitrogen,567.326,ug/L,
0311,1971,Mar,Temperature,6.5,deg C,
0311,1971,Apr,Ammonia Nitrogen,51.666666666666664,ug/L,
0311,1971,Apr,Fecal Coliform,182.33333333333334,CFU/100ml,
0311,1971,Apr,Nitrite + Nitrate Nitrogen,266.7935,ug/L,
0311,1971,Apr,Temperature,8.516666666666667,deg C,
