SITE_CODE,Date,AveQ,
40d,8/25/1994,4.16,
40d,8/26/1994,4.22,
40d,8/27/1994,4.18,
40d,8/28/1994,4.2,
40d,8/29/1994,4.21,
40d,8/30/1994,4.23,
40d,8/31/1994,4.13,
40d,9/1/1994,3.95,
40d,9/2/1994,4,
40d,9/3/1994,4.31,
40d,9/4/1994,4.16,
40d,9/5/1994,4,
40d,9/6/1994,3.93,
40d,9/7/1994,3.9,
40d,9/8/1994,4.23,
40d,9/9/1994,4.43,
40d,9/10/1994,4.23,
40d,9/11/1994,4.23,
40d,9/12/1994,4.1,
40d,9/13/1994,3.88,
40d,9/14/1994,4.12,
40d,9/15/1994,3.88,
40d,9/16/1994,3.9,
40d,9/17/1994,3.87,
40d,9/18/1994,3.9,
40d,9/19/1994,3.86,
40d,9/20/1994,3.92,
40d,9/21/1994,3.89,
40d,9/22/1994,3.88,
40d,9/23/1994,3.89,
40d,9/24/1994,3.74,
40d,9/25/1994,3.55,
40d,9/26/1994,3.56,
40d,9/27/1994,3.59,
40d,9/28/1994,3.57,
40d,9/29/1994,3.63,
40d,9/30/1994,3.77,
40d,10/1/1994,4.03,
40d,10/2/1994,4.11,
40d,10/3/1994,4.21,
40d,10/4/1994,4.2,
40d,10/5/1994,4.38,
40d,10/6/1994,4.35,
40d,10/7/1994,4.35,
40d,10/8/1994,4.4,
40d,10/9/1994,4.36,
40d,10/10/1994,4.35,
40d,10/11/1994,4.35,
40d,10/12/1994,4.19,
40d,10/13/1994,4.17,
40d,10/14/1994,4.29,
40d,10/15/1994,4.17,
40d,10/16/1994,4.21,
40d,10/17/1994,4.27,
40d,10/18/1994,4.31,
40d,10/19/1994,4.21,
40d,10/20/1994,4.39,
40d,10/21/1994,4.58,
40d,10/22/1994,4.5,
40d,10/23/1994,4.48,
40d,10/24/1994,4.47,
40d,10/25/1994,4.45,
40d,10/26/1994,5.77,
40d,10/27/1994,5.72,
40d,10/28/1994,4.51,
40d,10/29/1994,4.18,
40d,10/30/1994,4.32,
40d,10/31/1994,5.73,
40d,11/1/1994,5.47,
40d,11/2/1994,4.49,
40d,11/3/1994,4.34,
40d,11/4/1994,4.66,
40d,11/5/1994,4.31,
40d,11/6/1994,4.04,
40d,11/7/1994,3.93,
40d,11/8/1994,4.02,
40d,11/9/1994,4.36,
40d,11/10/1994,4.43,
40d,11/11/1994,3.94,
40d,11/12/1994,3.47,
40d,11/13/1994,3.15,
40d,11/14/1994,3.01,
40d,11/15/1994,2.75,
40d,11/16/1994,4.22,
40d,11/17/1994,4.3,
40d,11/18/1994,3.36,
40d,11/19/1994,3.44,
40d,11/20/1994,4.82,
40d,11/21/1994,4.51,
40d,11/22/1994,4.5,
40d,11/23/1994,3.9,
40d,11/24/1994,3.11,
40d,11/25/1994,3.63,
40d,11/26/1994,4.68,
40d,11/27/1994,4.49,
40d,11/28/1994,3.31,
40d,11/29/1994,4.26,
40d,11/30/1994,7.96,
40d,12/1/1994,7.98,
40d,12/2/1994,7,
40d,12/3/1994,5.04,
40d,12/4/1994,4.7,
40d,12/5/1994,4.5,
40d,12/6/1994,4.3,
40d,12/7/1994,4.2,
40d,12/8/1994,4.1,
40d,12/9/1994,4,
40d,12/10/1994,3.8,
40d,12/11/1994,3.6,
40d,12/12/1994,3.4,
40d,12/13/1994,3.2,
40d,12/14/1994,3,
40d,12/15/1994,3.5,
40d,12/16/1994,4,
40d,12/17/1994,4.3,
40d,12/18/1994,4.7,
40d,12/19/1994,5,
40d,12/20/1994,7.31,
40d,12/21/1994,9.4,
40d,12/22/1994,7.8,
40d,12/23/1994,6.54,
40d,12/24/1994,5.63,
40d,12/25/1994,5.31,
40d,12/26/1994,7.65,
40d,12/27/1994,13.97,
40d,12/28/1994,12.29,
40d,12/29/1994,9.18,
40d,12/30/1994,8.04,
40d,12/31/1994,7.36,
40d,1/1/1995,6.93,
40d,1/2/1995,6.49,
40d,1/3/1995,6.42,
40d,1/4/1995,5.82,
40d,1/5/1995,5.47,
40d,1/6/1995,5.2,
40d,1/7/1995,5.05,
40d,1/8/1995,4.83,
40d,1/9/1995,4.7,
40d,1/10/1995,5.42,
40d,1/11/1995,5.2,
40d,1/12/1995,5.19,
40d,1/13/1995,5.47,
40d,1/14/1995,5.06,
40d,1/15/1995,5.37,
40d,1/16/1995,5.83,
40d,1/17/1995,5.91,
40d,1/18/1995,6.5,
40d,1/19/1995,6.15,
40d,1/20/1995,5.89,
40d,1/21/1995,5.86,
40d,1/22/1995,5.73,
40d,1/23/1995,5.64,
40d,1/24/1995,5.76,
40d,1/25/1995,5.48,
40d,1/26/1995,5.57,
40d,1/27/1995,5.72,
40d,1/28/1995,5.67,
40d,1/29/1995,6.95,
40d,1/30/1995,7.51,
40d,1/31/1995,8.59,
40d,2/1/1995,8.84,
40d,2/2/1995,8.99,
40d,2/3/1995,8.9,
40d,2/4/1995,8.15,
40d,2/5/1995,7.73,
40d,2/6/1995,7.37,
40d,2/7/1995,7.05,
40d,2/8/1995,7.02,
40d,2/9/1995,6.85,
40d,2/10/1995,6.43,
40d,2/11/1995,6.77,
40d,2/12/1995,6.87,
40d,2/13/1995,6.92,
40d,2/14/1995,6.88,
40d,2/15/1995,6.96,
40d,2/16/1995,6.83,
40d,2/17/1995,7.34,
40d,2/18/1995,8.27,
40d,2/19/1995,16.39,
40d,2/20/1995,17.61,
40d,2/21/1995,13.97,
40d,2/22/1995,11.74,
40d,2/23/1995,10.35,
40d,2/24/1995,9.86,
40d,2/25/1995,9.44,
40d,2/26/1995,9.05,
40d,2/27/1995,8.56,
40d,2/28/1995,8.39,
40d,3/1/1995,8.01,
40d,3/2/1995,7.74,
40d,3/3/1995,7.8,
40d,3/4/1995,8.41,
40d,3/5/1995,8.09,
40d,3/6/1995,7.83,
40d,3/7/1995,7.59,
40d,3/8/1995,7.98,
40d,3/9/1995,8.69,
40d,3/10/1995,8.91,
40d,3/11/1995,9.59,
40d,3/12/1995,10.03,
40d,3/13/1995,9.88,
40d,3/14/1995,9.59,
40d,3/15/1995,9.65,
40d,3/16/1995,9.18,
40d,3/17/1995,8.81,
40d,3/18/1995,9.38,
40d,3/19/1995,9.69,
40d,3/20/1995,9.42,
40d,3/21/1995,9.47,
40d,3/22/1995,9.29,
40d,3/23/1995,9.14,
40d,3/24/1995,8.96,
40d,3/25/1995,8.89,
40d,3/26/1995,8.72,
40d,3/27/1995,8.54,
40d,3/28/1995,8.41,
40d,3/29/1995,8.3,
40d,3/30/1995,8.22,
40d,3/31/1995,8.18,
40d,4/1/1995,8.32,
40d,4/2/1995,8.15,
40d,4/3/1995,7.88,
40d,4/4/1995,7.96,
40d,4/5/1995,7.89,
40d,4/6/1995,7.96,
40d,4/7/1995,7.99,
40d,4/8/1995,8.21,
40d,4/9/1995,8.01,
40d,4/10/1995,7.97,
40d,4/11/1995,8.11,
40d,4/12/1995,8.31,
40d,4/13/1995,8.61,
40d,4/14/1995,8.14,
40d,4/15/1995,8.2,
40d,4/16/1995,8.07,
40d,4/17/1995,8,
40d,4/18/1995,7.97,
40d,4/19/1995,7.81,
40d,4/20/1995,8.1,
40d,4/21/1995,7.87,
40d,4/22/1995,7.7,
40d,4/23/1995,7.6,
40d,4/24/1995,7.51,
40d,4/25/1995,7.43,
40d,4/26/1995,7.16,
40d,4/27/1995,7.1,
40d,4/28/1995,7.16,
40d,4/29/1995,7.15,
40d,4/30/1995,7,
40d,5/1/1995,7.08,
40d,5/2/1995,8,
40d,5/3/1995,7.31,
40d,5/4/1995,7.05,
40d,5/5/1995,6.8,
40d,5/6/1995,7,
40d,5/7/1995,7,
40d,5/8/1995,6.98,
40d,5/9/1995,6.87,
40d,5/10/1995,7,
40d,5/11/1995,6.9,
40d,5/12/1995,6.78,
40d,5/13/1995,6.58,
40d,5/14/1995,6.4,
40d,5/15/1995,6.28,
40d,5/16/1995,6.27,
40d,5/17/1995,6.11,
40d,5/18/1995,6,
40d,5/19/1995,6,
40d,5/20/1995,5.94,
40d,5/21/1995,5.8,
40d,5/22/1995,5.78,
40d,5/23/1995,5.65,
40d,5/24/1995,5.62,
40d,5/25/1995,5.51,
40d,5/26/1995,5.3,
40d,5/27/1995,5.2,
40d,5/28/1995,5.2,
40d,5/29/1995,5.02,
40d,5/30/1995,4.99,
40d,5/31/1995,4.83,
40d,6/1/1995,4.57,
40d,6/2/1995,4.75,
40d,6/3/1995,4.74,
40d,6/4/1995,4.91,
40d,6/5/1995,5.71,
40d,6/6/1995,6.11,
40d,6/7/1995,5.47,
40d,6/8/1995,5.06,
40d,6/9/1995,4.63,
40d,6/10/1995,4.69,
40d,6/11/1995,4.68,
40d,6/12/1995,4.69,
40d,6/13/1995,4.65,
40d,6/14/1995,4.69,
40d,6/15/1995,4.79,
40d,6/16/1995,4.71,
40d,6/17/1995,4.6,
40d,6/18/1995,4.66,
40d,6/19/1995,4.53,
40d,6/20/1995,5.01,
40d,6/21/1995,4.74,
40d,6/22/1995,4.8,
40d,6/23/1995,4.7,
40d,6/24/1995,4.67,
40d,6/25/1995,4.51,
40d,6/26/1995,4.49,
40d,6/27/1995,4.35,
40d,6/28/1995,4.42,
40d,6/29/1995,4.5,
40d,6/30/1995,4.54,
40d,7/1/1995,4.49,
40d,7/2/1995,4.74,
40d,7/3/1995,4.8,
40d,7/4/1995,4.65,
40d,7/5/1995,4.55,
40d,7/6/1995,4.55,
40d,7/7/1995,4.63,
40d,7/8/1995,4.58,
40d,7/9/1995,5.19,
40d,7/10/1995,5,
40d,7/11/1995,4.9,
40d,7/12/1995,4.8,
40d,7/13/1995,4.68,
40d,7/14/1995,4.72,
40d,7/15/1995,4.66,
40d,7/16/1995,4.62,
40d,7/17/1995,4.62,
40d,7/18/1995,4.59,
40d,7/19/1995,4.55,
40d,7/20/1995,4.49,
40d,7/21/1995,4.49,
40d,7/22/1995,4.49,
40d,7/23/1995,4.49,
40d,7/24/1995,4.49,
40d,7/25/1995,4.49,
40d,7/26/1995,4.58,
40d,7/27/1995,4.49,
40d,7/28/1995,4.49,
40d,7/29/1995,4.41,
40d,7/30/1995,4.28,
40d,7/31/1995,4.2,
40d,8/1/1995,4.19,
40d,8/2/1995,3.91,
40d,8/3/1995,4.19,
40d,8/4/1995,4.19,
40d,8/5/1995,4.19,
40d,8/6/1995,4.03,
40d,8/7/1995,3.89,
40d,8/8/1995,4.19,
40d,8/9/1995,4.19,
40d,8/10/1995,4.19,
40d,8/11/1995,4.19,
40d,8/12/1995,4.19,
40d,8/13/1995,4.19,
40d,8/14/1995,4.19,
40d,8/15/1995,4.19,
40d,8/16/1995,4.19,
40d,8/17/1995,4.75,
40d,8/18/1995,4.13,
40d,8/19/1995,4.1,
40d,8/20/1995,3.98,
40d,8/21/1995,3.9,
40d,8/22/1995,3.9,
40d,8/23/1995,3.93,
40d,8/24/1995,3.9,
40d,8/25/1995,3.96,
40d,8/26/1995,4.01,
40d,8/27/1995,4.01,
40d,8/28/1995,4.03,
40d,8/29/1995,4.23,
40d,8/30/1995,4.14,
40d,8/31/1995,4.17,
40d,9/1/1995,4.17,
40d,9/2/1995,4.21,
40d,9/3/1995,4.04,
40d,9/4/1995,4.03,
40d,9/5/1995,4.15,
40d,9/6/1995,4.2,
40d,9/7/1995,4.12,
40d,9/8/1995,3.98,
40d,9/9/1995,3.93,
40d,9/10/1995,3.96,
40d,9/11/1995,4.01,
40d,9/12/1995,4.3,
40d,9/13/1995,4.17,
40d,9/14/1995,3.95,
40d,9/15/1995,4.21,
40d,9/16/1995,4.17,
40d,9/17/1995,4.24,
40d,9/18/1995,4.14,
40d,9/19/1995,4.03,
40d,9/20/1995,3.98,
40d,9/21/1995,4.11,
40d,9/22/1995,4.11,
40d,9/23/1995,4.18,
40d,9/24/1995,4.12,
40d,9/25/1995,4.22,
40d,9/26/1995,4.19,
40d,9/27/1995,4.38,
40d,9/28/1995,4.38,
40d,9/29/1995,4.26,
40d,9/30/1995,4.35,
40d,10/1/1995,4.19,
40d,10/2/1995,4.61,
40d,10/3/1995,4.27,
40d,10/4/1995,3.66,
40d,10/5/1995,3.37,
40d,10/6/1995,3.3,
40d,10/7/1995,3.42,
40d,10/8/1995,3.75,
40d,10/9/1995,3.76,
40d,10/10/1995,5.53,
40d,10/11/1995,6.18,
40d,10/12/1995,4.54,
40d,10/13/1995,4.16,
40d,10/14/1995,3.92,
40d,10/15/1995,4.05,
40d,10/16/1995,4.49,
40d,10/17/1995,4.52,
40d,10/18/1995,4.15,
40d,10/19/1995,3.91,
40d,10/20/1995,4.27,
40d,10/21/1995,4.28,
40d,10/22/1995,3.87,
40d,10/23/1995,3.65,
40d,10/24/1995,3.63,
40d,10/25/1995,3.74,
40d,10/26/1995,3.78,
40d,10/27/1995,3.62,
40d,10/28/1995,3.3,
40d,10/29/1995,3.43,
40d,10/30/1995,3.85,
40d,10/31/1995,4.01,
40d,11/1/1995,4.36,
40d,11/2/1995,4.24,
40d,11/3/1995,4.17,
40d,11/4/1995,4.13,
40d,11/5/1995,4.35,
40d,11/6/1995,4.27,
40d,11/7/1995,5.76,
40d,11/8/1995,5.86,
40d,11/9/1995,5.95,
40d,11/10/1995,5.07,
40d,11/11/1995,8.94,
40d,11/12/1995,7.39,
40d,11/13/1995,7.03,
40d,11/14/1995,6.68,
40d,11/15/1995,5.96,
40d,11/16/1995,5.33,
40d,11/17/1995,4.87,
40d,11/18/1995,5.76,
40d,11/19/1995,5.13,
40d,11/20/1995,5.01,
40d,11/21/1995,4.31,
40d,11/22/1995,4.22,
40d,11/23/1995,4.21,
40d,11/24/1995,4.81,
40d,11/25/1995,6.14,
40d,11/26/1995,5.34,
40d,11/27/1995,5.16,
40d,11/28/1995,7.15,
40d,11/29/1995,15.2,
40d,11/30/1995,15.36,
40d,12/1/1995,17.36,
40d,12/2/1995,16.54,
40d,12/3/1995,12.07,
40d,12/4/1995,11.91,
40d,12/5/1995,9.34,
40d,12/6/1995,8.26,
40d,12/7/1995,7.76,
40d,12/8/1995,7.31,
40d,12/9/1995,7.16,
40d,12/10/1995,8.35,
40d,12/11/1995,9.1,
40d,12/12/1995,8.37,
40d,12/13/1995,7.74,
40d,12/14/1995,7.63,
40d,12/15/1995,7.85,
40d,12/16/1995,7.35,
40d,12/17/1995,7.11,
40d,12/18/1995,7.47,
40d,12/19/1995,7.08,
