"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Total Alkalinity = Const. + Developed, Total + Deciduous Forest",0.526,18.684,511.196,0.322,18.372,0.619,1.78,NA,1
"2","Total Alkalinity = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.539,18.433,511.631,0.259,11.96,0.643,2.061,1.574,0.804
"3","Total Alkalinity = Const. + Developed, Total + Deciduous Forest + Open Water",0.535,18.516,512.149,0.2,20.665,0.61,1.682,-1.673,0.621
"4","Total Alkalinity = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.532,18.577,512.53,0.165,16.544,0.639,1.752,0.351,0.513
"5","Total Alkalinity = Const. + Developed, Total",0.453,20.072,517.512,0.014,28.282,0.57,NA,NA,0.043
"6","Total Alkalinity = Const. + Developed, Total + Open Water",0.471,19.74,517.574,0.013,30.793,0.561,-2.405,NA,0.041
"7","Total Alkalinity = Const. + Developed, Total + Agriculture, Total",0.461,19.927,518.667,0.008,25.89,0.595,0.423,NA,0.024
"8","Total Alkalinity = Const. + Developed, Total + Agriculture, Total + Open Water",0.477,19.628,518.916,0.007,28.576,0.583,0.369,-2.28,0.021
"9","Total Alkalinity = Const. + Developed, Total + Wetlands, Total",0.453,20.071,519.504,0.005,27.924,0.571,0.116,NA,0.016
"10","Total Alkalinity = Const. + Developed, Total + Wetlands, Total + Open Water",0.471,19.733,519.532,0.005,30.026,0.564,0.259,-2.433,0.015
"11","Total Alkalinity = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.461,19.926,520.665,0.003,26.063,0.594,0.427,-0.063,0.009
"12","Total Alkalinity = Const. + Open Water",0.034,26.673,550.49,0,59.663,-3.308,NA,NA,0
"13","Total Alkalinity = Const. + Agriculture, Total + Open Water",0.053,26.414,551.36,0,61.484,-0.619,-3.458,NA,0
"14","Total Alkalinity = Const. + Agriculture, Total",0.016,26.928,551.596,0,58.353,-0.566,NA,NA,0
"15","Total Alkalinity = Const. + Deciduous Forest",0.015,26.933,551.618,0,53.475,0.795,NA,NA,0
"16","Total Alkalinity = Const. + Deciduous Forest + Open Water",0.044,26.538,551.903,0,56.762,0.641,-3.06,NA,0
"17","Total Alkalinity = Const. + Wetlands, Total",0.01,27.007,551.936,0,60.079,-1.282,NA,NA,0
"18","Total Alkalinity = Const. + Wetlands, Total + Open Water",0.041,26.578,552.078,0,62.287,-1.074,-3.173,NA,0
"19","Total Alkalinity = Const. + Deciduous Forest + Agriculture, Total",0.035,26.662,552.443,0,54.775,0.903,-0.641,NA,0
"20","Total Alkalinity = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.066,26.231,552.552,0,58.265,0.749,-0.677,-3.181,0
"21","Total Alkalinity = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.056,26.369,553.164,0,63.163,-0.567,-0.75,-3.351,0
"22","Total Alkalinity = Const. + Agriculture, Total + Wetlands, Total",0.021,26.848,553.25,0,60.74,-0.497,-1.008,NA,0
"23","Total Alkalinity = Const. + Deciduous Forest + Wetlands, Total",0.019,26.877,553.376,0,56.263,0.66,-0.872,NA,0
"24","Total Alkalinity = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.047,26.495,553.716,0,59.128,0.527,-0.757,-3.009,0
"25","Total Alkalinity = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.036,26.649,554.385,0,56.087,0.83,-0.605,-0.432,0
