"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Conductivity = Const. + Developed, Total + Deciduous Forest + Open Water",0.625,43.178,755.527,0.462,51.726,1.666,5.482,-5.575,1
"2","Conductivity = Const. + Developed, Total + Deciduous Forest",0.61,44.073,756.484,0.286,43.682,1.705,5.765,NA,0.62
"3","Conductivity = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.613,43.888,757.877,0.143,40.233,1.743,5.682,0.779,0.309
"4","Conductivity = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.61,44.062,758.447,0.107,45.61,1.7,5.684,-0.505,0.232
"5","Conductivity = Const. + Developed, Total + Open Water",0.539,47.919,768.531,0.001,81.896,1.532,-7.165,NA,0.002
"6","Conductivity = Const. + Developed, Total + Wetlands, Total + Open Water",0.549,47.38,768.902,0.001,92.099,1.51,-3.467,-7.032,0.001
"7","Conductivity = Const. + Developed, Total + Agriculture, Total + Open Water",0.543,47.679,769.807,0,76.98,1.581,0.926,-6.908,0.001
"8","Conductivity = Const. + Developed, Total",0.512,49.268,770.527,0,73.435,1.573,NA,NA,0.001
"9","Conductivity = Const. + Developed, Total + Wetlands, Total",0.524,48.693,770.837,0,84.28,1.549,-3.629,NA,0
"10","Conductivity = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.533,48.232,771.466,0,78.973,1.614,1.295,-4.012,0
"11","Conductivity = Const. + Developed, Total + Agriculture, Total",0.519,48.93,771.538,0,67.919,1.63,1.107,NA,0
"12","Conductivity = Const. + Wetlands, Total + Open Water",0.088,67.395,817.642,0,176.413,-5.711,-10.373,NA,0
"13","Conductivity = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.111,66.531,817.785,0,154.051,3.103,-2.243,-10.3,0
"14","Conductivity = Const. + Open Water",0.059,68.431,817.839,0,161.476,-10.676,NA,NA,0
"15","Conductivity = Const. + Agriculture, Total + Open Water",0.082,67.59,818.059,0,166.453,-1.962,-10.982,NA,0
"16","Conductivity = Const. + Deciduous Forest + Open Water",0.081,67.627,818.138,0,150.063,2.701,-10.044,NA,0
"17","Conductivity = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.104,66.781,818.324,0,179.014,-1.682,-5.074,-10.669,0
"18","Conductivity = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.099,66.971,818.735,0,165.213,2.022,-4.696,-9.954,0
"19","Conductivity = Const. + Wetlands, Total",0.032,69.425,819.916,0,168.018,-6.041,NA,NA,0
"20","Conductivity = Const. + Deciduous Forest + Agriculture, Total",0.056,68.542,820.072,0,143.021,3.496,-2.14,NA,0
"21","Conductivity = Const. + Deciduous Forest",0.029,69.512,820.097,0,139.473,3.102,NA,NA,0
"22","Conductivity = Const. + Deciduous Forest + Wetlands, Total",0.048,68.841,820.698,0,155.117,2.402,-4.819,NA,0
"23","Conductivity = Const. + Agriculture, Total",0.02,69.855,820.805,0,156.28,-1.813,NA,NA,0
"24","Conductivity = Const. + Agriculture, Total + Wetlands, Total",0.045,68.941,820.908,0,170.146,-1.516,-5.474,NA,0
"25","Conductivity = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.068,68.117,821.177,0,155.157,2.884,-1.872,-3.875,0
