"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Dissolved Oxygen = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.219,1.024,216.799,0.369,11.913,-0.014,-0.053,-0.205,1
"2","Dissolved Oxygen = Const. + Developed, Total + Wetlands, Total",0.191,1.043,217.332,0.283,11.551,-0.012,-0.176,NA,0.766
"3","Dissolved Oxygen = Const. + Developed, Total + Wetlands, Total + Open Water",0.198,1.038,218.667,0.145,11.621,-0.012,-0.174,-0.063,0.393
"4","Dissolved Oxygen = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.197,1.039,218.778,0.137,11.624,-0.013,-0.018,-0.171,0.372
"5","Dissolved Oxygen = Const. + Developed, Total",0.092,1.104,223.598,0.012,11.026,-0.011,NA,NA,0.033
"6","Dissolved Oxygen = Const. + Developed, Total + Agriculture, Total",0.105,1.096,224.539,0.008,11.154,-0.012,-0.026,NA,0.021
"7","Dissolved Oxygen = Const. + Wetlands, Total",0.079,1.112,224.612,0.007,10.897,-0.157,NA,NA,0.02
"8","Dissolved Oxygen = Const. + Developed, Total + Open Water",0.101,1.099,224.869,0.007,11.108,-0.011,-0.069,NA,0.018
"9","Dissolved Oxygen = Const. + Developed, Total + Deciduous Forest",0.097,1.102,225.249,0.005,11.13,-0.011,-0.02,NA,0.015
"10","Dissolved Oxygen = Const. + Developed, Total + Agriculture, Total + Open Water",0.117,1.089,225.631,0.004,11.255,-0.013,-0.028,-0.077,0.012
"11","Dissolved Oxygen = Const. + Deciduous Forest + Wetlands, Total",0.087,1.107,226.012,0.004,11.042,-0.027,-0.171,NA,0.01
"12","Dissolved Oxygen = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.109,1.094,226.273,0.003,11.239,-0.013,-0.017,-0.025,0.009
"13","Dissolved Oxygen = Const. + Developed, Total + Deciduous Forest + Open Water",0.107,1.095,226.374,0.003,11.24,-0.012,-0.024,-0.076,0.008
"14","Dissolved Oxygen = Const. + Wetlands, Total + Open Water",0.082,1.111,226.427,0.003,10.925,-0.156,-0.035,NA,0.008
"15","Dissolved Oxygen = Const. + Agriculture, Total + Wetlands, Total",0.08,1.112,226.571,0.003,10.89,0.005,-0.159,NA,0.008
"16","Dissolved Oxygen = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.09,1.105,227.758,0.002,11.084,-0.029,-0.17,-0.041,0.004
"17","Dissolved Oxygen = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.088,1.106,227.89,0.001,11.042,-0.029,0.009,-0.175,0.004
"18","Dissolved Oxygen = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.082,1.11,228.394,0.001,10.919,0.004,-0.158,-0.034,0.003
"19","Dissolved Oxygen = Const. + Open Water",0.004,1.157,230.299,0,10.518,-0.043,NA,NA,0.001
"20","Dissolved Oxygen = Const. + Agriculture, Total",0,1.159,230.538,0,10.488,-0.004,NA,NA,0.001
"21","Dissolved Oxygen = Const. + Deciduous Forest",0,1.159,230.556,0,10.488,-0.002,NA,NA,0.001
"22","Dissolved Oxygen = Const. + Agriculture, Total + Open Water",0.004,1.157,232.27,0,10.529,-0.004,-0.044,NA,0
"23","Dissolved Oxygen = Const. + Deciduous Forest + Open Water",0.004,1.157,232.286,0,10.535,-0.004,-0.044,NA,0
"24","Dissolved Oxygen = Const. + Deciduous Forest + Agriculture, Total",0,1.159,232.536,0,10.494,-0.002,-0.004,NA,0
"25","Dissolved Oxygen = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.004,1.157,234.261,0,10.542,-0.003,-0.004,-0.045,0
