"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Fecal_Coliform = Const. + Developed, Total + Agriculture, Total + Open Water",0.508,0.635,146.045,0.5,2.726,0.019,0.051,-0.103,1
"2","Fecal_Coliform = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.498,0.642,147.476,0.244,2.778,0.02,0.057,-0.068,0.489
"3","Fecal_Coliform = Const. + Developed, Total + Agriculture, Total",0.475,0.656,148.704,0.132,2.59,0.02,0.054,NA,0.265
"4","Fecal_Coliform = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.487,0.649,149.066,0.11,2.464,0.021,0.026,0.053,0.221
"5","Fecal_Coliform = Const. + Developed, Total + Open Water",0.421,0.689,155.628,0.004,3,0.017,-0.118,NA,0.008
"6","Fecal_Coliform = Const. + Developed, Total + Wetlands, Total + Open Water",0.434,0.682,156.078,0.003,3.145,0.016,-0.049,-0.117,0.007
"7","Fecal_Coliform = Const. + Developed, Total + Deciduous Forest + Open Water",0.434,0.682,156.085,0.003,2.854,0.017,0.027,-0.111,0.007
"8","Fecal_Coliform = Const. + Developed, Total + Deciduous Forest",0.396,0.704,158.7,0.001,2.695,0.018,0.032,NA,0.002
"9","Fecal_Coliform = Const. + Developed, Total",0.377,0.715,158.81,0.001,2.86,0.017,NA,NA,0.002
"10","Fecal_Coliform = Const. + Developed, Total + Wetlands, Total",0.391,0.707,159.253,0.001,3.013,0.017,-0.051,NA,0.001
"11","Fecal_Coliform = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.402,0.7,159.926,0,2.836,0.018,0.026,-0.037,0.001
"12","Fecal_Coliform = Const. + Wetlands, Total + Open Water",0.103,0.858,186.707,0,4.048,-0.072,-0.152,NA,0
"13","Fecal_Coliform = Const. + Open Water",0.076,0.871,186.808,0,3.857,-0.155,NA,NA,0
"14","Fecal_Coliform = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.118,0.851,187.512,0,4.015,0.02,-0.079,-0.148,0
"15","Fecal_Coliform = Const. + Agriculture, Total + Open Water",0.086,0.866,188.058,0,3.815,0.016,-0.152,NA,0
"16","Fecal_Coliform = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.107,0.856,188.44,0,4.125,-0.014,-0.079,-0.155,0
"17","Fecal_Coliform = Const. + Deciduous Forest + Open Water",0.077,0.871,188.794,0,3.87,-0.003,-0.156,NA,0
"18","Fecal_Coliform = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.087,0.866,190.002,0,3.839,-0.006,0.017,-0.153,0
"19","Fecal_Coliform = Const. + Wetlands, Total",0.03,0.892,190.3,0,3.921,-0.076,NA,NA,0
"20","Fecal_Coliform = Const. + Agriculture, Total + Wetlands, Total",0.049,0.884,190.915,0,3.887,0.023,-0.084,NA,0
"21","Fecal_Coliform = Const. + Agriculture, Total",0.013,0.9,191.551,0,3.671,0.019,NA,NA,0
"22","Fecal_Coliform = Const. + Deciduous Forest + Wetlands, Total",0.031,0.892,192.213,0,3.965,-0.008,-0.08,NA,0
"23","Fecal_Coliform = Const. + Deciduous Forest",0,0.906,192.44,0,3.706,0.003,NA,NA,0
"24","Fecal_Coliform = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.052,0.882,192.644,0,3.963,-0.015,0.025,-0.092,0
"25","Fecal_Coliform = Const. + Deciduous Forest + Agriculture, Total",0.013,0.9,193.55,0,3.675,-0.001,0.019,NA,0
