"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Nitrate = Const. + Developed, Total + Deciduous Forest + Open Water",0.321,366.517,1063.503,0.627,269.155,5.586,40.02,-63.526,1
"2","Nitrate = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.291,374.441,1066.583,0.134,121.607,6.647,41.893,12.622,0.214
"3","Nitrate = Const. + Developed, Total + Deciduous Forest",0.27,380.111,1066.747,0.124,177.5,6.025,43.245,NA,0.197
"4","Nitrate = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.281,377.269,1067.666,0.078,267.267,5.785,39.457,-23.497,0.125
"5","Nitrate = Const. + Developed, Total + Wetlands, Total + Open Water",0.246,386.354,1071.093,0.014,617.403,4.327,-43.494,-73.458,0.022
"6","Nitrate = Const. + Developed, Total + Agriculture, Total + Open Water",0.228,390.776,1072.732,0.006,419.501,5.304,13.166,-71.473,0.01
"7","Nitrate = Const. + Developed, Total + Open Water",0.205,396.681,1072.891,0.006,489.402,4.602,-75.136,NA,0.009
"8","Nitrate = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.217,393.652,1073.787,0.004,464.427,5.606,17.402,-50.334,0.006
"9","Nitrate = Const. + Developed, Total + Wetlands, Total",0.176,403.771,1075.442,0.002,535.716,4.739,-45.186,NA,0.003
"10","Nitrate = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.195,399.037,1075.744,0.001,718.849,25.32,-37.221,-77.791,0.002
"11","Nitrate = Const. + Deciduous Forest + Open Water",0.167,405.924,1076.208,0.001,598.782,30.697,-78.508,NA,0.002
"12","Nitrate = Const. + Developed, Total + Agriculture, Total",0.163,407.002,1076.59,0.001,325.747,5.812,15.044,NA,0.001
"13","Nitrate = Const. + Developed, Total",0.132,414.447,1077.2,0.001,400.679,5.034,NA,NA,0.001
"14","Nitrate = Const. + Wetlands, Total + Open Water",0.15,410.053,1077.665,0.001,859.078,-49.927,-83.036,NA,0.001
"15","Nitrate = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.167,405.906,1078.202,0,597.516,30.57,0.711,-78.427,0.001
"16","Nitrate = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.156,408.615,1079.16,0,849.247,6.359,-52.338,-81.916,0
"17","Nitrate = Const. + Open Water",0.096,422.964,1080.13,0,728.501,-85.684,NA,NA,0
"18","Nitrate = Const. + Deciduous Forest + Wetlands, Total",0.117,418.011,1080.433,0,639.946,28.289,-38.18,NA,0
"19","Nitrate = Const. + Deciduous Forest",0.088,424.934,1080.799,0,516.008,33.835,NA,NA,0
"20","Nitrate = Const. + Agriculture, Total + Open Water",0.098,422.539,1081.985,0,719.673,3.479,-85.141,NA,0
"21","Nitrate = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.12,417.393,1082.22,0,639.854,27.189,4.276,-40.336,0
"22","Nitrate = Const. + Deciduous Forest + Agriculture, Total",0.088,424.857,1082.773,0,513.531,33.56,1.494,NA,0
"23","Nitrate = Const. + Wetlands, Total",0.06,431.217,1082.912,0,791.879,-52.563,NA,NA,0
"24","Nitrate = Const. + Agriculture, Total + Wetlands, Total",0.069,429.24,1084.25,0,781.162,7.636,-55.414,NA,0
"25","Nitrate = Const. + Agriculture, Total",0.003,444.129,1087.161,0,640.809,4.632,NA,NA,0
