"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Total Nitrogen = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.371,352.051,853.786,0.73,306.431,7.234,44.067,20.635,1
"2","Total Nitrogen = Const. + Developed, Total + Deciduous Forest + Open Water",0.332,362.813,857.279,0.127,485.523,5.804,42.639,-52.266,0.174
"3","Total Nitrogen = Const. + Developed, Total + Deciduous Forest",0.301,371.116,857.904,0.093,413.906,6.077,45.702,NA,0.128
"4","Total Nitrogen = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.303,370.571,859.734,0.037,371.643,6.237,47.556,10.374,0.051
"5","Total Nitrogen = Const. + Developed, Total + Agriculture, Total + Open Water",0.251,384.187,863.919,0.005,616.635,5.809,20.947,-63.757,0.006
"6","Total Nitrogen = Const. + Developed, Total + Agriculture, Total",0.204,396.018,865.437,0.002,541.528,6.127,22.46,NA,0.003
"7","Total Nitrogen = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.228,390.047,865.675,0.002,634.035,5.883,24.315,-33.451,0.003
"8","Total Nitrogen = Const. + Developed, Total + Open Water",0.179,402.171,867.226,0.001,742.346,4.563,-70.813,NA,0.001
"9","Total Nitrogen = Const. + Deciduous Forest + Open Water",0.166,405.36,868.142,0.001,828.779,32.744,-65.448,NA,0.001
"10","Total Nitrogen = Const. + Developed, Total + Wetlands, Total + Open Water",0.187,400.202,868.656,0,799.384,4.368,-19.241,-68.705,0.001
"11","Total Nitrogen = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.18,402.059,869.194,0,809.501,31.361,8.677,-63.893,0
"12","Total Nitrogen = Const. + Developed, Total",0.121,416.196,869.202,0,668.421,4.819,NA,NA,0
"13","Total Nitrogen = Const. + Deciduous Forest",0.117,417.116,869.458,0,758.477,36.035,NA,NA,0
"14","Total Nitrogen = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.169,404.78,869.976,0,862.75,31.105,-10.865,-64.717,0
"15","Total Nitrogen = Const. + Deciduous Forest + Agriculture, Total",0.133,413.338,870.403,0,739.391,34.451,9.406,NA,0
"16","Total Nitrogen = Const. + Developed, Total + Wetlands, Total",0.133,413.397,870.419,0,740.011,4.574,-23.253,NA,0
"17","Total Nitrogen = Const. + Deciduous Forest + Wetlands, Total",0.121,416.266,871.222,0,801.127,33.979,-13.332,NA,0
"18","Total Nitrogen = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.142,411.251,871.816,0,804.377,30.854,11.152,-21.421,0
"19","Total Nitrogen = Const. + Open Water",0.071,427.783,872.388,0,976.999,-78.157,NA,NA,0
"20","Total Nitrogen = Const. + Agriculture, Total + Open Water",0.094,422.583,872.969,0,944.307,11.107,-75.479,NA,0
"21","Total Nitrogen = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.124,415.578,873.03,0,1028.048,13.716,-37.401,-70.144,0
"22","Total Nitrogen = Const. + Wetlands, Total + Open Water",0.091,423.295,873.164,0,1049.248,-29.559,-74.437,NA,0
"23","Total Nitrogen = Const. + Agriculture, Total + Wetlands, Total",0.067,428.797,874.662,0,977.333,15.164,-42.809,NA,0
"24","Total Nitrogen = Const. + Agriculture, Total",0.027,437.772,875.065,0,875.954,12.272,NA,NA,0
"25","Total Nitrogen = Const. + Wetlands, Total",0.027,437.984,875.121,0,997.469,-34.451,NA,NA,0
