"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Total Phosphorus = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.444,23.107,537.842,0.328,5.667,0.676,1.116,1.68,1
"2","Total Phosphorus = Const. + Developed, Total + Agriculture, Total",0.422,23.558,538.088,0.29,11.619,0.648,1.726,NA,0.884
"3","Total Phosphorus = Const. + Developed, Total + Agriculture, Total + Open Water",0.435,23.275,538.682,0.216,14.469,0.636,1.669,-2.419,0.657
"4","Total Phosphorus = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.423,23.522,539.906,0.117,9.839,0.653,1.69,0.644,0.356
"5","Total Phosphorus = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.374,24.51,544.68,0.011,3.991,0.621,1.706,2.559,0.033
"6","Total Phosphorus = Const. + Developed, Total + Deciduous Forest",0.348,25.006,545.005,0.009,14.417,0.582,1.249,NA,0.028
"7","Total Phosphorus = Const. + Developed, Total",0.321,25.53,545.413,0.007,21.371,0.547,NA,NA,0.023
"8","Total Phosphorus = Const. + Developed, Total + Open Water",0.342,25.129,545.573,0.007,24.484,0.537,-2.982,NA,0.021
"9","Total Phosphorus = Const. + Developed, Total + Deciduous Forest + Open Water",0.363,24.725,545.695,0.006,17.845,0.569,1.102,-2.502,0.02
"10","Total Phosphorus = Const. + Developed, Total + Wetlands, Total + Open Water",0.352,24.927,546.64,0.004,19.929,0.552,1.537,-3.15,0.012
"11","Total Phosphorus = Const. + Developed, Total + Wetlands, Total",0.329,25.376,546.709,0.004,17.207,0.562,1.353,NA,0.012
"12","Total Phosphorus = Const. + Open Water",0.035,30.422,565.747,0,52.082,-3.845,NA,NA,0
"13","Total Phosphorus = Const. + Agriculture, Total",0.016,30.731,566.92,0,46.988,0.649,NA,NA,0
"14","Total Phosphorus = Const. + Agriculture, Total + Open Water",0.049,30.215,566.956,0,50.341,0.591,-3.703,NA,0
"15","Total Phosphorus = Const. + Deciduous Forest + Open Water",0.036,30.417,567.728,0,51.483,0.132,-3.794,NA,0
"16","Total Phosphorus = Const. + Deciduous Forest",0.002,30.946,567.73,0,47.407,0.323,NA,NA,0
"17","Total Phosphorus = Const. + Wetlands, Total + Open Water",0.036,30.418,567.733,0,51.514,0.232,-3.875,NA,0
"18","Total Phosphorus = Const. + Wetlands, Total",0,30.976,567.842,0,48.819,-0.022,NA,NA,0
"19","Total Phosphorus = Const. + Deciduous Forest + Agriculture, Total",0.017,30.718,568.87,0,46.128,0.217,0.631,NA,0
"20","Total Phosphorus = Const. + Agriculture, Total + Wetlands, Total",0.016,30.72,568.88,0,47.922,0.675,-0.394,NA,0
"21","Total Phosphorus = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.049,30.214,568.953,0,50.588,0.599,-0.11,-3.687,0
"22","Total Phosphorus = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.049,30.215,568.955,0,50.175,0.039,0.588,-3.688,0
"23","Total Phosphorus = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.036,30.409,569.699,0,50.41,0.184,0.343,-3.817,0
"24","Total Phosphorus = Const. + Deciduous Forest + Wetlands, Total",0.002,30.944,569.721,0,46.775,0.354,0.198,NA,0
"25","Total Phosphorus = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.017,30.713,570.852,0,46.966,0.171,0.653,-0.276,0
