"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","TSS = Const. + Developed, All Intensities + Deciduous Forest + Agriculture, Total",0.217,1.586,276.009,0.267,1.887,0.026,0.081,0.097,1
"2","TSS = Const. + Developed, All Intensities + Agriculture, Total",0.194,1.609,276.03,0.264,2.244,0.025,0.103,NA,0.989
"3","TSS = Const. + Developed, All Intensities + Agriculture, Total + Open Water",0.204,1.599,277.174,0.149,2.4,0.024,0.099,-0.111,0.558
"4","TSS = Const. + Developed, All Intensities + Agriculture, Total + Wetlands, Total",0.196,1.608,277.894,0.104,2.35,0.024,0.104,-0.035,0.39
"5","TSS = Const. + Developed, All Intensities + Developed, Open Space + Agriculture, Total",0.196,1.608,277.904,0.103,2.146,0.025,0.009,0.103,0.388
"6","TSS = Const. + Developed, All Intensities + Deciduous Forest",0.138,1.664,280.776,0.025,2.253,0.021,0.097,NA,0.092
"7","TSS = Const. + Developed, All Intensities",0.105,1.696,281.483,0.017,2.717,0.019,NA,NA,0.065
"8","TSS = Const. + Developed, All Intensities + Deciduous Forest + Open Water",0.15,1.652,281.771,0.015,2.442,0.02,0.091,-0.125,0.056
"9","TSS = Const. + Developed, All Intensities + Open Water",0.122,1.68,282.115,0.013,2.901,0.018,-0.147,NA,0.047
"10","TSS = Const. + Developed, All Intensities + Deciduous Forest + Wetlands, Total",0.14,1.662,282.647,0.01,2.105,0.022,0.104,0.036,0.036
"11","TSS = Const. + Developed, All Intensities + Developed, Open Space + Deciduous Forest",0.139,1.664,282.761,0.009,2.28,0.021,-0.003,0.099,0.034
"12","TSS = Const. + Developed, All Intensities + Developed, Open Space",0.106,1.695,283.404,0.007,2.636,0.019,0.007,NA,0.025
"13","TSS = Const. + Developed, All Intensities + Wetlands, Total",0.105,1.696,283.464,0.006,2.761,0.019,-0.014,NA,0.024
"14","TSS = Const. + Developed, All Intensities + Developed, Open Space + Open Water",0.125,1.677,283.866,0.005,2.771,0.017,0.013,-0.158,0.02
"15","TSS = Const. + Developed, All Intensities + Wetlands, Total + Open Water",0.122,1.679,284.095,0.005,2.946,0.017,-0.014,-0.147,0.018
"16","TSS = Const. + Developed, All Intensities + Developed, Open Space + Wetlands, Total",0.107,1.694,285.349,0.002,2.693,0.018,0.009,-0.024,0.009
