"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Temperature = Const. + Developed, Total + Open Water",0.366,0.794,178.022,0.308,9.219,0.018,0.137,NA,1
"2","Temperature = Const. + Developed, Total + Deciduous Forest + Open Water",0.382,0.784,178.255,0.274,9.04,0.019,0.033,0.146,0.89
"3","Temperature = Const. + Developed, Total + Wetlands, Total + Open Water",0.368,0.792,179.802,0.126,9.282,0.018,-0.021,0.138,0.411
"4","Temperature = Const. + Developed, Total + Agriculture, Total + Open Water",0.366,0.793,180.002,0.114,9.206,0.018,0.003,0.137,0.371
"5","Temperature = Const. + Developed, Total",0.318,0.823,181.283,0.06,9.381,0.018,NA,NA,0.196
"6","Temperature = Const. + Developed, Total + Deciduous Forest",0.327,0.817,182.295,0.036,9.251,0.018,0.025,NA,0.118
"7","Temperature = Const. + Developed, Total + Wetlands, Total",0.32,0.822,183.135,0.024,9.435,0.017,-0.018,NA,0.078
"8","Temperature = Const. + Developed, Total + Agriculture, Total",0.318,0.823,183.28,0.022,9.386,0.017,-0.001,NA,0.072
"9","Temperature = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.328,0.817,184.275,0.013,9.263,0.018,0.025,-0.003,0.044
"10","Temperature = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.328,0.817,184.286,0.013,9.269,0.018,0.024,-0.005,0.044
"11","Temperature = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.32,0.822,185.135,0.009,9.436,0.017,0,-0.018,0.029
"12","Temperature = Const. + Agriculture, Total",0.031,0.981,206.556,0,10.333,-0.032,NA,NA,0
"13","Temperature = Const. + Agriculture, Total + Open Water",0.052,0.97,206.976,0,10.249,-0.031,0.09,NA,0
"14","Temperature = Const. + Open Water",0.023,0.985,207.148,0,10.17,0.095,NA,NA,0
"15","Temperature = Const. + Agriculture, Total + Wetlands, Total",0.036,0.979,208.195,0,10.418,-0.031,-0.034,NA,0
"16","Temperature = Const. + Wetlands, Total",0.009,0.992,208.213,0,10.375,-0.045,NA,NA,0
"17","Temperature = Const. + Wetlands, Total + Open Water",0.034,0.98,208.4,0,10.296,-0.048,0.097,NA,0
"18","Temperature = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.058,0.967,208.528,0,10.341,-0.029,-0.037,0.092,0
"19","Temperature = Const. + Deciduous Forest + Agriculture, Total",0.032,0.981,208.546,0,10.321,0.003,-0.033,NA,0
"20","Temperature = Const. + Deciduous Forest",0,0.997,208.843,0,10.267,-0.003,NA,NA,0
"21","Temperature = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.053,0.97,208.929,0,10.224,0.006,-0.032,0.091,0
"22","Temperature = Const. + Deciduous Forest + Open Water",0.023,0.985,209.147,0,10.167,0.001,0.095,NA,0
"23","Temperature = Const. + Deciduous Forest + Wetlands, Total",0.01,0.992,210.102,0,10.431,-0.01,-0.05,NA,0
"24","Temperature = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.036,0.978,210.188,0,10.432,-0.003,-0.03,-0.035,0
"25","Temperature = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.034,0.98,210.353,0,10.334,-0.007,-0.052,0.096,0
