"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Turbidity = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.182,1.714,236.078,0.222,1.122,0.024,0.094,0.074,1
"2","Turbidity = Const. + Developed, Total + Agriculture, Total",0.14,1.757,236.942,0.144,1.622,0.022,0.078,NA,0.649
"3","Turbidity = Const. + Developed, Total + Deciduous Forest",0.132,1.765,237.486,0.11,1.508,0.02,0.1,NA,0.495
"4","Turbidity = Const. + Developed, Total + Agriculture, Total + Open Water",0.158,1.739,237.752,0.096,1.817,0.021,0.074,-0.166,0.433
"5","Turbidity = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.149,1.747,238.308,0.073,0.981,0.022,0.123,0.129,0.328
"6","Turbidity = Const. + Developed, Total + Deciduous Forest + Open Water",0.146,1.75,238.524,0.065,1.715,0.019,0.091,-0.152,0.294
"7","Turbidity = Const. + Developed, Total",0.085,1.812,238.54,0.065,2.062,0.017,NA,NA,0.292
"8","Turbidity = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.14,1.757,238.934,0.053,1.594,0.022,0.077,0.01,0.24
"9","Turbidity = Const. + Developed, Total + Open Water",0.108,1.789,239.046,0.05,2.262,0.017,-0.191,NA,0.227
"10","Turbidity = Const. + Developed, Total + Wetlands, Total",0.087,1.81,240.403,0.026,1.931,0.018,0.043,NA,0.115
"11","Turbidity = Const. + Developed, Total + Wetlands, Total + Open Water",0.112,1.785,240.82,0.021,2.102,0.017,0.054,-0.197,0.093
"12","Turbidity = Const. + Open Water",0.03,1.865,241.908,0.012,3.113,-0.218,NA,NA,0.054
"13","Turbidity = Const. + Deciduous Forest",0.023,1.873,242.364,0.01,2.641,0.068,NA,NA,0.043
"14","Turbidity = Const. + Agriculture, Total",0.017,1.878,242.676,0.008,2.811,0.042,NA,NA,0.037
"15","Turbidity = Const. + Deciduous Forest + Open Water",0.047,1.85,242.924,0.007,2.851,0.058,-0.195,NA,0.033
"16","Turbidity = Const. + Agriculture, Total + Open Water",0.045,1.851,243.014,0.007,3,0.039,-0.208,NA,0.031
"17","Turbidity = Const. + Deciduous Forest + Agriculture, Total",0.036,1.86,243.572,0.005,2.567,0.062,0.037,NA,0.024
"18","Turbidity = Const. + Wetlands, Total",0,1.894,243.698,0.005,2.927,-0.001,NA,NA,0.022
"19","Turbidity = Const. + Wetlands, Total + Open Water",0.031,1.865,243.894,0.004,3.08,0.014,-0.219,NA,0.02
"20","Turbidity = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.058,1.838,244.207,0.004,2.774,0.052,0.034,-0.189,0.017
"21","Turbidity = Const. + Deciduous Forest + Wetlands, Total",0.025,1.87,244.226,0.004,2.495,0.075,0.046,NA,0.017
"22","Turbidity = Const. + Agriculture, Total + Wetlands, Total",0.018,1.877,244.633,0.003,2.869,0.043,-0.025,NA,0.014
"23","Turbidity = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.05,1.847,244.733,0.003,2.684,0.066,0.053,-0.199,0.013
"24","Turbidity = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.045,1.851,245.009,0.003,3.019,0.039,-0.009,-0.207,0.012
"25","Turbidity = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.036,1.86,245.546,0.002,2.505,0.065,0.035,0.02,0.009
