"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","pH = Const. + Developed, Total + Open Water",0.205,0.26,15.261,0.18,7.314,0.004,-0.034,NA,1
"2","pH = Const. + Developed, Total",0.174,0.265,15.514,0.159,7.278,0.004,NA,NA,0.881
"3","pH = Const. + Developed, Total + Wetlands, Total + Open Water",0.218,0.258,16.314,0.106,7.361,0.004,-0.016,-0.032,0.591
"4","pH = Const. + Developed, Total + Wetlands, Total",0.19,0.262,16.366,0.104,7.333,0.004,-0.018,NA,0.576
"5","pH = Const. + Developed, Total + Deciduous Forest",0.186,0.263,16.664,0.089,7.235,0.004,0.008,NA,0.496
"6","pH = Const. + Developed, Total + Deciduous Forest + Open Water",0.212,0.259,16.763,0.085,7.278,0.004,0.006,-0.032,0.472
"7","pH = Const. + Developed, Total + Agriculture, Total + Open Water",0.207,0.26,17.141,0.07,7.301,0.004,0.002,-0.033,0.391
"8","pH = Const. + Developed, Total + Agriculture, Total",0.177,0.264,17.292,0.065,7.262,0.004,0.003,NA,0.362
"9","pH = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.196,0.261,17.945,0.047,7.316,0.004,0.004,-0.02,0.261
"10","pH = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.195,0.262,18.025,0.045,7.293,0.004,0.005,-0.014,0.251
"11","pH = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.188,0.263,18.485,0.036,7.222,0.004,0.008,0.003,0.199
"12","pH = Const. + Open Water",0.044,0.285,24.008,0.002,7.503,-0.04,NA,NA,0.013
"13","pH = Const. + Wetlands, Total + Open Water",0.074,0.281,24.137,0.002,7.562,-0.024,-0.037,NA,0.012
"14","pH = Const. + Wetlands, Total",0.037,0.286,24.4,0.002,7.536,-0.027,NA,NA,0.01
"15","pH = Const. + Agriculture, Total + Open Water",0.052,0.284,25.523,0.001,7.515,-0.004,-0.041,NA,0.006
"16","pH = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.078,0.28,25.874,0.001,7.59,-0.005,-0.027,-0.039,0.005
"17","pH = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.077,0.28,25.943,0.001,7.566,-0.003,-0.023,-0.038,0.005
"18","pH = Const. + Deciduous Forest + Open Water",0.044,0.285,26.003,0.001,7.506,-0.001,-0.04,NA,0.005
"19","pH = Const. + Agriculture, Total",0.006,0.291,26.252,0.001,7.478,-0.004,NA,NA,0.004
"20","pH = Const. + Deciduous Forest + Wetlands, Total",0.039,0.286,26.296,0.001,7.554,-0.003,-0.029,NA,0.004
"21","pH = Const. + Agriculture, Total + Wetlands, Total",0.039,0.286,26.304,0.001,7.539,-0.002,-0.026,NA,0.004
"22","pH = Const. + Deciduous Forest",0,0.291,26.568,0.001,7.462,0.001,NA,NA,0.004
"23","pH = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.052,0.284,27.523,0,7.515,0,-0.004,-0.041,0.002
"24","pH = Const. + Deciduous Forest + Agriculture, Total",0.007,0.291,28.202,0,7.47,0.002,-0.004,NA,0.002
"25","pH = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.04,0.286,28.232,0,7.553,-0.003,-0.002,-0.027,0.002
