"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (mg CaCO3/L/decade)","% Change Per Decade"
"0311",2018.5,2002.5,34.86875,35.29,-0.26328125,-0.746050580901106
"0317",2017.5,2002.5,97.24,104.7675,-5.01833333333334,-4.78997144470693
"0321",2017.5,2002.5,50.73,46.3541666666667,2.91722222222222,6.29333333333333
"0322",2017.5,2002.5,48.545,50.05625,-1.0075,-2.01273567236858
"0430",2017.5,2002.5,82.315,80.67,1.09666666666666,1.359447956696
"0434",2017.5,2002.5,80.865,80.5,0.24333333333333,0.302277432712211
"0438",2017.5,2002.5,26.62,29.075,-1.63666666666667,-5.62912009171682
"0440",2017.5,2002.5,59.0225,56.0925,1.95333333333333,3.48234315342217
"0442",2017.5,2002.5,137.235,138.42,-0.789999999999983,-0.570726773587619
"0444",2017.5,2002.5,79.505,75.475,2.68666666666667,3.55967759743845
"0446",2017.5,2002.5,71.4,69.1125,1.52500000000001,2.20654729607525
"0470",2017.5,2002.5,68.625,67.3616666666667,0.842222222222224,1.25029896660646
"0474",2017.5,2002.5,63.815,62.0333333333333,1.18777777777778,1.91474117857782
"0478",2017.5,2002.5,56.045,53.03875,2.00416666666666,3.77868382393375
"0484",2016.5,2002.5,50.73125,49.155,1.12589285714286,2.29049508115727
"0486",2017.5,2002.5,41.215,41.72375,-0.339166666666666,-0.812886345706381
"0631",2017.5,2002.5,42.445,43.12,-0.449999999999998,-1.04359925788497
"0632",2018.5,2002.5,58.09375,51.165,4.33046875,8.4637325320043
"A315",2017.5,2002.5,83.835,82.4925,0.895000000000001,1.08494711640452
"A319",2018.5,2002.5,25.928125,26.58,-0.407421875,-1.53281367569601
"A320",2017.5,2002.5,48.405,47.4575,0.63166666666667,1.33101546998192
"A432",2017.5,2002.5,72.2875,72.07,0.145000000000001,0.201193284306925
"A438",2018.5,2002.5,24.415625,26.0725,-1.035546875,-3.971797391888
"A456",2017.5,2002.5,82.375,80.645,1.15333333333334,1.43013619360572
"A499",2018.5,2002.5,88.234375,81.5775,4.160546875,5.10011568753639
"A617",2017.5,2002.5,48.845,52.2225,-2.25166666666667,-4.31167919319578
"A620",2017.5,2002.5,93.015,90.84,1.45,1.5962131219727
"A630",2017.5,2002.5,58.545,63.145,-3.06666666666666,-4.85654710058859
"A631",2017.5,2002.5,42.255,45.71,-2.30333333333334,-5.03901407423613
"A680",2017.5,2002.5,57.67,63.07,-3.6,-5.7079435547804
"A685",2017.5,2002.5,65.2275,57.5808333333333,5.09777777777778,8.8532546034319
"A690",2018.5,2002.5,47.59375,42.945,2.90546875,6.76555769006869
"B319",2017.5,2002.5,21.415,23.015,-1.06666666666667,-4.6346585560142
"B484",2017.5,2002.5,58.11,56.81,0.866666666666665,1.5255530129672
"BB470",2018.5,2004,63.26875,66.0972222222222,-1.9506704980843,-2.95121403366399
"C320",2017.5,2002.5,48.25,47.595,0.436666666666667,0.917463318976084
"C370",2017.5,2002.5,107.265,111.395,-2.75333333333333,-2.47168484522046
"C484",2017.5,2002.5,47.7475,46.91,0.558333333333337,1.19022241171038
"D320",2017.5,2002.5,46.2325,45.205,0.685000000000002,1.51531910186927
"D474",2018.5,2004,63.2,65.5472222222222,-1.61877394636015,-2.46963012539583
"F321",2017.5,2002.5,49.665,44.37,3.53,7.95582600856434
"G320",2017.5,2002.5,18.69,18.645,0.0300000000000011,0.160901045856804
"KSHZ06",2017.5,2002.5,89.875,88.3375,1.025,1.16032262629121
"KTHA02",2018.5,2002.5,91.59375,92.5475,-0.59609375,-0.644094924228099
"KTHA03",2017.5,2002.5,86.975,83.56,2.27666666666666,2.72458911760012
"LSIN1",2017.5,2009.5,117.68,97.4,25.35,26.0266940451745
"LSIN9",2017.5,2009.5,40.975,38.5,3.09375,8.03571428571429
"N484",2017.5,2002.5,54.225,53.765,0.306666666666667,0.570383458879693
"S478",2018.5,2005.5,50.46875,49.05,1.09134615384616,2.22496667450796
"S484",2018.5,2002.5,48.35,50.3675,-1.2609375,-2.50347446269916
"VA12A",2018.5,2009.5,67.50625,62.7333333333333,5.30324074074073,8.45362498524027
"VA41A",2018.5,2009.5,48.75,47.975,0.861111111111109,1.79491633373863
"VA42A",2017.5,2009.5,54.16,51.6416666666667,3.14791666666666,6.09569146361142
"VA45A",2018.5,2009.5,25.9825,20.9708333333333,5.56851851851852,26.5536348985584
