"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (μg/L/decade)","% Change Per Decade"
"0311",2018.5,1983.5,27.525,30.3452777777778,-0.805793650793651,-2.65541695381594
"0317",2017.5,1983.5,151.5,517.05,-107.514705882353,-20.7938702025632
"0321",2017.5,1989.5,89.54,67.83,7.75357142857143,11.4308881447316
"0322",2017.5,1983.5,15.475,26.85,-3.34558823529412,-12.4602913791215
"0430",2017.5,1983.5,12.51,15,-0.732352941176471,-4.88235294117647
"0434",2017.5,1983.5,26.44,26.7,-0.0764705882352935,-0.286406697510463
"0438",2017.5,1991.9,5.335,17.575,-4.78125000000002,-27.2048364153628
"0440",2017.5,1983.5,9.595,18.2,-2.53088235294118,-13.9059469941823
"0442",2017.5,1983.5,9.155,9.5,-0.101470588235294,-1.06811145510836
"0444",2017.5,1983.5,20.7775,31.6,-3.18308823529412,-10.0730640357409
"0446",2017.5,1983.5,17.8125,24,-1.81985294117647,-7.58272058823529
"0470",2017.5,1983.5,19.9375,18.55,0.408088235294117,2.19993657840495
"0474",2017.5,1983.5,24.58,37.15,-3.69705882352941,-9.95170611986383
"0478",2017.5,1983.5,17.475,23.15,-1.66911764705882,-7.21001143437937
"0484",2016.5,1983.5,12.3625,29.325,-5.14015151515152,-17.5282234105763
"0631",2017.5,1983.5,13.5,19.875,-1.875,-9.43396226415094
"A315",2017.5,1983.5,60.68,129.4,-20.2117647058824,-15.6196017819802
"A320",2017.5,1983.5,7.06,9.75,-0.791176470588235,-8.11463046757164
"A432",2017.5,1983.5,14.1875,22.95,-2.57720588235294,-11.2296552607971
"A456",2017.5,1983.5,30.2075,32.85,-0.777205882352942,-2.36592353836512
"A499",2018.5,1983.5,8.9625,13.35,-1.25357142857143,-9.3900481540931
"A617",2017.5,1999.5,5.885,14.35,-4.70277777777778,-32.7719705768486
"A620",2017.5,2000.5,17.145,22.60125,-3.20955882352941,-14.2008022721284
"A630",2017.5,1983.5,63.1,50.9,3.58823529411765,7.0495781809777
"A680",2017.5,1997.9,11.8125,21.365,-4.87372448979594,-22.8117223954877
"A685",2017.5,2000.5,5.425,14.2,-5.16176470588235,-36.3504556752278
"A690",2018.5,1997.9,3.5875,14.6666666666667,-5.37823624595472,-36.6697925860549
"B484",2017.5,1983.5,13.16,15.65,-0.732352941176471,-4.67957150911483
"C320",2017.5,1983.5,7.435,10.75,-0.975,-9.06976744186046
"C370",2017.5,1989.5,31.67,35.01,-1.19285714285714,-3.40718978251112
"D320",2017.5,1983.5,5.135,6.95,-0.533823529411765,-7.68091409225561
"G320",2017.5,1983.5,6.42,12.85,-1.89117647058824,-14.7173266193637
"KSHZ06",2017.5,1993.5,10.765,16.1,-2.22291666666667,-13.8069358178054
"KTHA03",2017.5,1993.5,5.8025,14.3,-3.540625,-24.7596153846154
"N484",2017.5,1983.5,14.1975,16.2,-0.588970588235294,-3.63562091503268
"VA12A",2018.5,2009.5,7.00625,9.98333333333333,-3.30787037037037,-33.1339269152291
"VA41A",2018.5,2009.5,10.28125,11.0583333333333,-0.863425925925926,-7.80792095788328
"VA42A",2017.5,2009.5,9.725,9.99166666666667,-0.333333333333332,-3.33611342785654
"VA45A",2018.5,2009.5,7.04375,8.28333333333333,-1.37731481481481,-16.6275430359937
