"","SITE_CODE","Mean Slope (cfs/wtryear), 90th Percentile","% Change Per Water Year, 90th Percentile","Mean Slope (cfs/wtryear), 50th Percentile","% Change Per Water Year, 50th Percentile","Mean Slope (cfs/wtryear), 10th Percentile","% Change Per Water Year, 10th Percentile","SITE_NAME"
"1","02a",-0.574989999999999,-0.341391398983941,-0.24325,-0.439303435416074,-0.18288,-0.918247456844177,"Bear Creek @ Union Hill RD"
"2","02e",0.51301,0.913202099433843,0.0431666666666665,0.226709732762619,0.00657000000000002,0.0976712033478778,"Bear Creek at 133rd ST NE, near Redmond"
"3","02g",0.0826642140468223,0.260470796174429,-0.000612040133779169,-0.00453311402639539,0.0424715719063545,0.731250161952995,"Cottage Lake Creek at Avondale RD NE,  Bear-Evans Watershed"
"4","05A",1.29340668896321,1.06425263109229,0.199478260869565,0.692632850241546,-0.0426702341137124,-1.63155693837542,"Cherry Creek"
"5","09a",0.552323333333334,0.786871123895031,-0.296583333333333,-1.29780150455999,-0.03187,-1.18880205904844,"Covington Creek"
"6","11c",-0.00329666666666662,-0.0619645066804496,0.00491666666666667,0.547970651063434,0.00225666666666667,0.904294396580511,"Des Moines Creek above Tyee Regional Pond"
"7","11d",0.0115733333333334,0.0715357101649938,0.00193333333333333,0.0536069134433198,0.01103,0.962184324159287,"Des Moines Creek below SR 509, Des Moines (near mouth)"
"8","11f",0.0122436507936506,0.103633382215524,0.00362698412698411,0.200971877130103,0.00441984126984127,1.02022496610853,"Des Moines Tributary 0377 at Tyee Weir"
"9","11g",0.173546666666666,3.18167373806154,-0.0115444444444444,-1.6138015199423,0.00138222222222221,1.21935167681859,"NW Ponds Outlet Des Moines CR 0379"
"10","11h",-0.00607365079365085,-0.232227824463121,0.00019047619047619,0.044021164021164,0.0019288888888889,3.3703703703704,"Bow Lake"
"11","12099200",33.4051948051948,1.33805674334405,13.2528138528139,1.35088683112591,1.94051948051949,0.385440850229584,"WHITE RIVER ABOVE BOISE CREEK AT BUCKLEY, WA"
"12","12099600",1.1247,1.68966475621024,-0.118666666666667,-0.495683653578391,-0.113966666666667,-1.69643743177533,"BOISE CREEK AT BUCKLEY, WA"
"13","12106700",14.2846666666667,0.727425189138357,-1.72166666666666,-0.262739562270293,1.43933333333333,0.926688986179071,"GREEN RIVER AT PURIFICATION PLANT NEAR PALMER, WA"
"14","12108500",0.3449,0.311938968855847,-0.0330000000000003,-0.0797775897497892,-0.10062,-0.64622202241418,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA"
"15","12112600",1.06133333333333,0.400427592278185,0.000833333333333523,0.00085568818722477,0.2223,0.744536548605878,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA"
"16","12113000",18.94,0.710241121985975,-2.65333333333333,-0.245792805311101,1.59033333333333,0.544364385265308,"GREEN RIVER NEAR AUBURN, WA"
"17","12113346",-0.1549,-0.687665090675012,0.00623333333333337,0.10791782086796,0.01535,0.541933661670991,"SPRINGBROOK CREEK AT ORILLIA, WA"
"18","12113347",0.189446666666667,2.2090587188128,0.0173166666666667,0.899450287841406,0.00364,0.428840716305372,"MILL CREEK AT EARTHWORKS PARK AT KENT, WA"
"19","12113349",0.424666666666666,1.1129456368862,0.0571333333333333,0.778701558311753,-0.05409,-3.50607681088965,"MILL CREEK NEAR MOUTH AT ORILLIA, WA"
"20","12114500",1.06666666666667,0.313283208020051,-0.160833333333334,-0.146742394866298,-0.290866666666667,-1.12503545550656,"CEDAR RIVER BELOW BEAR CREEK NEAR CEDAR FALLS, WA"
"21","12115000",3.54633333333333,0.690922669783903,0.329999999999999,0.184460592509782,-0.5274,-1.30956223772751,"CEDAR RIVER NEAR CEDAR FALLS, WA"
"22","12115500",0.421333333333333,0.201113762927605,-0.3675,-0.578307565207128,-0.192906666666667,-1.72589438022641,"REX RIVER NEAR CEDAR FALLS, WA"
"23","12115700",0.1959,0.370156924617608,-0.205833333333333,-1.39100073210565,-0.05197,-5.20454659255921,"BOULDER CREEK NEAR CEDAR FALLS, WA"
"24","12116100",-0.237333333333333,-0.673400673400673,0.0646000000000001,0.681506488026164,-0.0535,-1.64919852034525,"CANYON CREEK NEAR CEDAR FALLS, WA"
"25","12116400",14.0976515151515,6.36015362336574,1.20598484848485,2.30131480986216,0.725181818181818,2.08535389843801,"CEDAR RIVER AT POWERPLANT AT CEDAR FALLS, WA"
"26","12116500",7.247,0.972223153855958,0.210666666666668,0.0973550841844209,0.00746666666666632,0.0142073383439565,"CEDAR RIVER AT CEDAR FALLS, WA"
"27","12117000",0.952333333333333,0.557980567355109,-0.0856666666666664,-0.106596984591136,-0.1677,-0.628407621831263,"TAYLOR CREEK NEAR SELLECK, WA"
"28","12117500",9.032,0.73046066252588,-1.16333333333333,-0.204398371841049,-1.518,-0.494076292149461,"CEDAR RIVER NEAR LANDSBURG, WA"
"29","12117600",11.0946666666667,0.988970500843852,-0.473333333333331,-0.104569387679958,-1.076,-0.753132218100371,"CEDAR RIVER BELOW DIVERSION NEAR LANDSBURG, WA"
"30","12118400",0.768923076923077,2.82948369565217,0.0405351170568562,0.454998507740042,0.00662408026755853,0.227794205428831,"ROCK CREEK AT HIGHWAY 516 NEAR RAVENSDALE, WA"
"31","12118500",1.32872710622711,4.28143571222019,0.0257188644688645,0.246867676815622,-0.00599725274725273,-0.206812790371599,"ROCK CREEK NEAR MAPLE VALLEY, WA"
"32","12119000",11.914,0.871065618716872,-0.245000000000005,-0.0439402770927686,-1.34933333333333,-0.766274821587446,"CEDAR RIVER AT RENTON, WA"
"33","12120000",0.0440641025641022,0.0876365640041411,0.0582692307692308,0.440849107389679,-0.00878589743589743,-0.136246093089104,"MERCER CREEK NEAR BELLEVUE, WA"
"34","12120600",0.816500000000001,0.856224537413291,0.0548333333333332,0.155214304248343,-0.0711266666666667,-0.642360640735021,"ISSAQUAH CREEK NEAR HOBART, WA"
"35","12121600",0.930333333333332,0.34814606916768,0.276666666666667,0.301692019700853,-0.0761,-0.318790189137675,"ISSAQUAH CREEK NEAR MOUTH NEAR ISSAQUAH, WA"
"36","12141300",7.17000000000001,0.296740817382308,-0.975,-0.111438123267709,-4.129,-1.60253051561196,"MIDDLE FORK SNOQUALMIE RIVER NEAR TANNER, WA"
"37","12142000",0.391333333333341,0.0369182389937114,-2.09166666666667,-0.53690988042525,-2.13996666666667,-2.45095625051301,"NF SNOQUALMIE RIVER NEAR SNOQUALMIE FALLS, WA"
