"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (%/decade)","% Change Per Decade"
"0311",2018.5,1983.5,90.9403284815948,90.4020855545761,0.153783693433931,0.170110780620311
"0317",2017.5,1983.5,49.9588274861013,52.5811590300709,-0.771273983520467,-1.46682575612184
"0321",2017.5,1989.5,90.855569726832,93.2550495217283,-0.856957069605819,-0.918939053703628
"0322",2017.5,1983.5,97.0014651027616,95.5663951036992,0.422079411488926,0.44166091127632
"0430",2017.5,1983.5,95.3497390479347,95.5270724250605,-0.0521568756252368,-0.0545990516627138
"0434",2017.5,1983.5,92.8139395703598,93.0656320067065,-0.0740271871607945,-0.0795429908598911
"0438",2017.5,1991.9,100.698948445494,96.5753517986566,1.61077994017068,1.66789963502166
"0440",2017.5,1983.5,97.0192910811739,96.7115517148045,0.0905115783439173,0.093589211153213
"0442",2017.5,1983.5,96.176619106924,96.7491979141329,-0.168405531532025,-0.174064007932643
"0444",2017.5,1983.5,73.3375286226458,84.4726757848457,-3.27504328299997,-3.87704456212752
"0446",2017.5,1983.5,92.8676925122921,93.3321822658781,-0.136614633407666,-0.146374626726811
"0470",2017.5,1983.5,85.4703453422615,92.7680385423959,-2.14638035298071,-2.31370673208725
"0474",2017.5,1983.5,88.935463042778,93.6487503416618,-1.38626097025995,-1.48027706210965
"0478",2017.5,1983.5,96.8145106223671,94.1023841972145,0.797684242691938,0.847676973858809
"0484",2016.5,1983.5,94.2350881602341,91.6804450201478,0.774134284874619,0.84438321029582
"0486",2017.5,1983.5,89.388293825739,95.470088362727,-1.78876309911412,-1.87363720908891
"0631",2017.5,1983.5,100.046589743086,96.089154176027,1.16395163737041,1.21132467795288
"0632",2018.5,1983.5,89.273428026384,85.2372604268264,1.15319074273073,1.35291859094969
"A315",2017.5,1983.5,65.4514100969997,62.0576028967217,0.998178588317041,1.60847106836892
"A319",2018.5,1983.5,95.821408075132,98.4806287055173,-0.759777322967226,-0.771499261280265
"A320",2017.5,1983.5,95.8820690316723,96.5818312158109,-0.205812407099598,-0.213096401785666
"A432",2017.5,1983.5,95.815215376007,94.8683507286065,0.278489602176623,0.293553751106424
"A438",2018.5,1983.5,100.113151202446,98.2834664798748,0.522767063591695,0.531897258323443
"A456",2017.5,1983.5,80.7727467682943,91.0855201913526,-3.03316865384069,-3.33002287023074
"A499",2018.5,1983.5,97.5467115771835,95.5647484456778,0.566275180430194,0.592556554211079
"A617",2017.5,1999.5,97.1430275699311,99.9313233201465,-1.54905319456413,-1.55011776397824
"A620",2017.5,2000.5,96.3714246483922,95.9891872841436,0.224845508381519,0.234240454308608
"A630",2017.5,1983.5,92.3402002301737,93.3339639721063,-0.292283453509591,-0.313158727081326
"A631",2017.5,1983.5,97.3755773505861,98.0389704184572,-0.195115608197386,-0.199018418252027
"A680",2017.5,1997.9,91.8155942051918,93.1376812450801,-0.674534204024618,-0.724233409085702
"A685",2017.5,2000.5,97.0795313561067,97.2573909131219,-0.10462326883246,-0.10757359194009
"A690",2018.5,1997.9,98.1750108449335,97.5651419759638,0.29605284901439,0.303441211705843
"B319",2017.5,1983.5,100.232616748057,101.693148554957,-0.429568178500006,-0.422416047299252
"B484",2017.5,1983.5,67.4135544463941,87.7920278752619,-5.99366865554934,-6.82712177928657
"BB470",2018.5,2004,99.3883924785618,95.3258299565978,2.80176725652688,2.93914803343704
"C320",2017.5,1983.5,90.2524831493775,93.0657199759131,-0.827422596039895,-0.889073437839459
"C370",2017.5,1989.5,92.2744909139759,97.5041522367909,-1.86773618671964,-1.91554528076282
"C484",2017.5,1983.5,94.5225706467205,91.6531401742379,0.843950138965472,0.920808755009456
"D320",2017.5,1983.5,94.7937340032635,96.8718399235185,-0.61120762360442,-0.630944580062664
"D474",2018.5,1998.7,94.7043893885399,94.275303585575,0.216710001497464,0.229869322352012
"F321",2017.5,1997.5,98.4461254059423,97.8477479057234,0.299188750109458,0.305769684548823
"G320",2017.5,1983.5,95.1264591928102,93.8789300207249,0.366920344730981,0.390844191183239
"KSHZ06",2017.5,1993.5,94.9178740845201,95.5333171302241,-0.256434602376672,-0.268424262948096
"KTHA02",2018.5,1993.5,97.3272913265304,97.3334998666829,-0.00248341606098847,-0.00255145049175258
"KTHA03",2017.5,1993.5,97.1356660391585,97.1470314036205,-0.00473556852582509,-0.00487464048813807
"N484",2017.5,1983.5,92.2475407935892,93.9721733450688,-0.507244868082211,-0.539781990802311
"S478",2018.5,2005.5,95.3079490806302,94.3869734219654,0.708442814357529,0.750572657087299
"S484",2018.5,1986.5,64.558024778446,81.0239147733634,-5.14559062341171,-6.35070600797891
"VA12A",2018.5,2009.5,96.2001806677682,94.7969907640882,1.55909989297784,1.64467234709783
"VA41A",2018.5,2009.5,94.8313402436314,93.6523062385399,1.31003778343498,1.39883131131678
"VA42A",2017.5,2009.5,95.8457427244323,95.9663102915296,-0.150709458871603,-0.157044131856036
"VA45A",2018.5,2009.5,85.1304296393948,87.1011765530499,-2.18971879295009,-2.5139945057073
