"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (mg/L/decade)","% Change Per Decade"
"0311",2018.5,1983.5,10.276875,10.2772333333333,-0.000102380952380798,-0.000996191767377067
"0317",2017.5,1983.5,5.5095,5.803,-0.0863235294117647,-1.48756728264285
"0321",2017.5,1989.5,10.395,10.7325,-0.120535714285714,-1.12309074573226
"0322",2017.5,1983.5,11.055,10.95,0.0308823529411766,0.282030620467366
"0430",2017.5,1983.5,10.61,10.855,-0.0720588235294121,-0.663830709621484
"0434",2017.5,1983.5,10.187,10.5,-0.0920588235294114,-0.876750700280109
"0438",2017.5,1991.9,11.505,11.1825,0.1259765625,1.12655097250167
"0440",2017.5,1983.5,10.77,11.08,-0.0911764705882354,-0.82289233382884
"0442",2017.5,1983.5,10.79,10.985,-0.0573529411764701,-0.522102332057079
"0444",2017.5,1983.5,8.071,9.5465,-0.433970588235294,-4.54586066343994
"0446",2017.5,1983.5,10.275,10.455,-0.0529411764705882,-0.506371845725377
"0470",2017.5,1983.5,9.5625,10.517,-0.280735294117647,-2.66934766680277
"0474",2017.5,1983.5,10.0155,10.635,-0.182205882352941,-1.71326640670372
"0478",2017.5,1983.5,10.98,10.87,0.0323529411764709,0.297635153417396
"0484",2016.5,1983.5,10.46875,10.37,0.0299242424242421,0.288565500715932
"0486",2017.5,1983.5,9.547,10.344,-0.234411764705882,-2.26616168509167
"0631",2017.5,1983.5,11.265,11.075,0.0558823529411768,0.504581064931619
"0632",2018.5,1983.5,9.930625,9.661,0.0770357142857142,0.79738861697251
"A315",2017.5,1983.5,7.27,6.9,0.108823529411764,1.5771526001705
"A319",2018.5,1983.5,11.1125,11.4225,-0.0885714285714282,-0.775411937591842
"A320",2017.5,1983.5,10.915,11.015,-0.0294117647058828,-0.26701556700756
"A432",2017.5,1983.5,10.495,10.7,-0.0602941176470588,-0.563496426608027
"A438",2018.5,1983.5,11.23125,11.4175,-0.0532142857142855,-0.466076511620631
"A456",2017.5,1983.5,8.9495,10.255,-0.383970588235294,-3.74422806665328
"A499",2018.5,1983.5,10.90625,10.81,0.0274999999999999,0.254394079555965
"A617",2017.5,1999.5,10.865,11.3366666666667,-0.262037037037038,-2.31141167630436
"A620",2017.5,2000.5,10.82,10.75125,0.040441176470588,0.37615325167388
"A630",2017.5,1983.5,10.185,10.765,-0.170588235294118,-1.5846561569356
"A631",2017.5,1983.5,11.04,11.325,-0.0838235294117647,-0.740163615114921
"A680",2017.5,1997.9,10.465,10.69,-0.114795918367347,-1.07386266012486
"A685",2017.5,2000.5,11.15,11.2183333333333,-0.0401960784313726,-0.358307042918193
"A690",2018.5,1997.9,11.3875,11.3366666666667,0.0246763754045308,0.217668703950581
"B319",2017.5,1983.5,11.715,11.8475,-0.0389705882352942,-0.328935119099339
"B484",2017.5,1983.5,7.4645,10.0335,-0.755588235294118,-7.53065465983074
"BB470",2018.5,2004,11.1375,10.975,0.112068965517241,1.02112952635299
"C320",2017.5,1983.5,10.0775,10.524,-0.131323529411764,-1.24784805598408
"C370",2017.5,1989.5,10.28,10.8,-0.185714285714286,-1.71957671957672
"C484",2017.5,1983.5,10.5833333333333,10.455,0.0377450980392158,0.361024371489391
"D320",2017.5,1983.5,10.625,11.01,-0.113235294117647,-1.02847678580969
"D474",2018.5,1998.7,10.76875,10.71,0.0296717171717172,0.277046845674297
"F321",2017.5,1997.5,11.355,11.35,0.00250000000000039,0.0220264317180651
"G320",2017.5,1983.5,10.5,10.5,0,0
"KSHZ06",2017.5,1993.5,10.51,10.8641666666667,-0.147569444444444,-1.35831351793613
"KTHA02",2018.5,1993.5,10.7,10.895,-0.0780000000000001,-0.715924736117486
"KTHA03",2017.5,1993.5,10.81,11.065,-0.10625,-0.960234975146856
"N484",2017.5,1983.5,10.335,10.65,-0.0926470588235298,-0.869925434962721
"S478",2018.5,2005.5,11.09375,11.05,0.033653846153847,0.304559693699973
"S484",2018.5,1986.5,7.386875,9.302,-0.5984765625,-6.4338482315631
"VA12A",2018.5,2009.5,11.20625,11.2,0.00694444444444602,0.0620039682539824
"VA41A",2018.5,2009.5,10.9875,11.0166666666667,-0.0324074074074056,-0.294167086905346
"VA42A",2017.5,2009.5,11.025,11.3083333333333,-0.354166666666667,-3.1319086219602
"VA45A",2018.5,2009.5,9.74,10.1666666666667,-0.474074074074075,-4.66302367941713
