"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (μg/L/decade)","% Change Per Decade"
"0311",2018.5,1983.5,332.4375,377.7518635,-12.946961,-3.42737184140986
"0317",2017.5,1983.5,406.475,812.00669,-119.274026470588,-14.6887984963016
"0321",2017.5,1989.5,783.075,731.95426,18.2574071428572,2.49433716566622
"0322",2017.5,1983.5,1343.85,1738.8468,-116.175529411765,-6.68118257524267
"0430",2017.5,1983.5,889.5,1182.64731,-86.2197970588235,-7.29040655906312
"0434",2017.5,1983.5,831.725,1195.6869,-107.047617647059,-8.95281345367745
"0438",2017.5,1991.9,188.15,251.3038925,-24.6694892578126,-9.81659655662221
"0440",2017.5,1983.5,839.55,1168.95105,-96.8826617647059,-8.28799989227144
"0442",2017.5,1983.5,404.825,569.49927,-48.4336088235294,-8.50459541827497
"0444",2017.5,1983.5,221.45,615.51725,-115.902132352941,-18.8300380457154
"0446",2017.5,1983.5,951.95,1346.721,-116.109117647059,-8.62161632937029
"0470",2017.5,1983.5,451.85,949.388745,-146.334925,-15.4135938276791
"0474",2017.5,1983.5,687.625,774.40184,-25.5226,-3.29578245836813
"0478",2017.5,1983.5,642.825,689.76669,-13.8063794117647,-2.00160135476602
"0484",2016.5,1983.5,455.875,545.169695,-27.0589984848485,-4.96340840898144
"0631",2017.5,1983.5,584.95,825.3661475,-70.7106316176471,-8.56718340482301
"A315",2017.5,1983.5,291.7,523.578935,-68.1996867647059,-13.0256742977457
"A320",2017.5,1983.5,808.6,814.16163,-1.63577352941178,-0.200915084810835
"A432",2017.5,1983.5,1125.6,1301.22315,-51.6538676470589,-3.96963946169101
"A456",2017.5,1983.5,361.85,746.836025,-113.231183823529,-15.1614517823413
"A499",2018.5,1983.5,2193.125,1706.0133,139.174771428571,8.15789486685546
"A617",2017.5,1999.5,581.7,732.675355,-83.8751972222222,-11.4477983529584
"A620",2017.5,2000.5,441.75,539.084055,-57.2553264705883,-10.6208532676019
"A630",2017.5,1983.5,720.2,1205.276855,-142.669663235294,-11.8370864456112
"A680",2017.5,1997.9,291.075,421.169735,-66.3748647959187,-15.7596473060722
"A685",2017.5,2000.5,1216.65,1324.98835,-63.7284411764706,-4.80973596307247
"A690",2018.5,1997.9,1932.5,1813.503925,57.7650849514566,3.18527487893121
"B484",2017.5,1983.5,259.05,421.852025,-47.8829485294118,-11.3506503920212
"C320",2017.5,1983.5,593.35,489.63735,30.5037205882353,6.22985983161523
"C370",2017.5,1989.5,846.575,950.27994,-37.0374785714286,-3.89753345434489
"D320",2017.5,1983.5,960.4,915.38262,13.2404058823529,1.44643404769395
"G320",2017.5,1983.5,136.24,236.853965,-29.5923426470588,-12.4939190471474
"KSHZ06",2017.5,1993.5,1474,1413.79515,25.0853541666667,1.77432736041475
"KTHA03",2017.5,1993.5,1309.5,1364.07585,-22.7399375,-1.66705814049856
"N484",2017.5,1983.5,590.875,706.530975,-34.0164632352941,-4.8145749356982
"VA12A",2018.5,2009.5,826,845.1,-21.2222222222222,-2.51120840400216
"VA41A",2018.5,2009.5,793.625,975.333333333333,-201.898148148148,-20.7004253056885
"VA42A",2017.5,2009.5,838.55,898.666666666667,-75.1458333333333,-8.36192507418398
"VA45A",2018.5,2009.5,1326.3125,1955,-698.541666666667,-35.731031543052
