"","Median Slope (μg/L/decade)","% Change Per Decade"
"0311",-1.22393484794253,-5.73608942512373
"0317",0.380704847656738,0.705187776645892
"0321",1.37600704992893,5.31059782975439
"0322",-2.69119877976581,-5.47727747161689
"0430",-1.68023736699909,-6.11939580426212
"0434",-0.517592854928441,-1.463481758511
"0438",-2.71585522533997,-31.0697307542286
"0440",-1.88124112856626,-7.71317249205342
"0442",-3.17769406770398,-15.4059066846188
"0444",-2.1354374996903,-4.38938397745311
"0446",-1.18601725703724,-4.09728173476009
"0470",-1.19404659333067,-4.11517249886419
"0474",-0.641482921234419,-1.5035498692711
"0478",-2.24217016092736,-7.75000522271609
"0484",-4.55607185202342,-15.2484258153865
"0486",-0.612229160039434,-10.0602477475097
"0631",-2.49203658383488,-15.8492343720232
"0632",-4.13448383749919,-16.1432587647421
"A315",-10.0262419162173,-17.1864740830653
"A319",-2.01983475465942,-17.7976988641793
"A320",-1.96571022287589,-11.2052860433521
"A432",-2.2916483126512,-7.72249945875042
"A438",-1.75965646680418,-22.3004540266609
"A456",-2.12348736425125,-4.34950387181229
"A499",-2.97492592995627,-6.13547262969719
"A617",-1.89902921462151,-5.75664937907928
"A620",-2.97536718228682,-13.0003525830984
"A630",-1.10763310464163,-6.39942605501586
"A631",-1.57079313468987,-13.2000493249387
"A680",-3.61626687074563,-8.06449254444072
"A685",-3.12365591397849,-9.02356065665429
"A690",-1.28668999899545,-5.51004674537102
"B319",-0.953083401139256,-17.7331308608027
"B484",-2.88506351961049,-10.19487606566
"BB470",-5.75178925090834,-22.045798060164
"C320",-2.20078413079231,-23.4453160376189
"C370",0.520907098605876,1.23043273013757
"C484",-3.19823589720605,-13.325557512534
"D320",-2.45384221466792,-15.3516531476826
"D474",-2.23821248446149,-5.94381815539037
"F321",-2.9645379342096,-17.8562801746986
"G320",-1.46798610522391,-22.4268387491877
"KSHZ06",0.451313680996602,0.817672226324875
"KTHA02",-0.248839453851594,-0.448479610214772
"KTHA03",-1.71153846153846,-3.05631868131869
"N484",-4.0421866436011,-14.0959397875351
"S478",-5.16666666666667,-16.1458333333333
"S484",-3.56951598742233,-12.0625016358009
