"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (μg/L/decade)","Percent_Slp.per.decade"
"0311",2018.5,1985.5,17.66875,29.129294375843,-3.47289223510393,-11.9223356058498
"0317",2017.5,1983.5,54.7725,195.108969888998,-41.2754323202935,-21.1550664963154
"0321",2017.5,1989.5,27.505,25.5945059892027,0.682319289570478,2.66588184924656
"0322",2017.5,1983.5,43.86,45.3434025378923,-0.436294864085982,-0.962201422183484
"0430",2017.5,1983.5,22.745,31.8387806310073,-2.67464136206097,-8.40057724904257
"0434",2017.5,1983.5,33.275,43.377228907007,-2.97124379617854,-6.84977780057908
"0438",2017.5,1996.7,4.44,10.0913749177522,-2.71700717199625,-26.9240534034331
"0440",2017.5,1983.5,19.9075,29.8551210661848,-2.92577090181907,-9.79989629026464
"0442",2017.5,1983.5,12.952,24.599824452242,-3.42583072124764,-13.9262405221571
"0444",2017.5,1983.5,45.28,58.7221256028628,-3.95356635378318,-6.73266901222396
"0446",2017.5,1983.5,26.235,39.3368417345986,-3.85348286311724,-9.79611654925493
"0470",2017.5,1983.5,25.92,37.0444191398382,-3.27188798230535,-8.83233711926854
"0474",2017.5,1983.5,41.165,57.4495081775301,-4.78956122868533,-8.33699257073647
"0478",2017.5,1983.5,22.895,33.3896558842549,-3.0866634953691,-9.244370490277
"0484",2016.5,1983.5,19.825,35.2611529663261,-4.67762211100791,-13.265652758079
"0486",2017.5,1985.5,4.897,10.8508242104145,-1.86057006575452,-17.1468086633343
"0631",2017.5,1983.5,10.0285,20.4236662546171,-3.05740183959328,-14.9698971843613
"0632",2018.5,1983.5,15.7125,32.2711488768223,-4.73104253623493,-14.6602854279937
"A315",2017.5,1983.5,37.0075,135.580237815157,-28.9919817103402,-21.3836339112094
"A319",2018.5,1985.5,6.7715625,14.2006995350774,-2.25125364699316,-15.8531179498045
"A320",2017.5,1983.5,12.84,19.4198604890935,-1.93525308502751,-9.96532949407321
"A432",2017.5,1983.5,24.5775,31.667831821035,-2.08539171206913,-6.58520521346185
"A438",2018.5,1985.5,3.726875,9.57674383273416,-1.77268752507096,-18.510336665911
"A456",2017.5,1983.5,43.9225,57.7037871658825,-4.05331975467132,-7.02435655222965
"A499",2018.5,1983.5,42.7,52.0418458232805,-2.66909880665157,-5.12875507090021
"A617",2017.5,1999.5,31.59,33.900039000607,-1.28335500033723,-3.78570361029452
"A620",2017.5,2000.5,18.01,24.4723234147822,-3.80136671457777,-15.5333298361103
"A630",2017.5,1983.5,15.38,26.1816913679629,-3.17696804940084,-12.1343117400289
"A631",2017.5,1983.5,8.0775,15.1713835056441,-2.08643632518944,-13.7524460074009
"A680",2017.5,1997.9,39.6575,43.8829953495727,-2.15586497427179,-4.9127571103525
"A685",2017.5,2000.5,29.035,35.6627047345153,-3.89864984383256,-10.9320083063115
"A690",2018.5,1997.9,20.675,22.0516961965413,-0.668299124534601,-3.03060190281154
"B319",2017.5,1985.5,3.3715,8.76840554330458,-1.68653298228268,-19.2342036867865
"B484",2017.5,1983.5,22.625,37.2601734876676,-4.30446279049046,-11.5524496736848
"BB470",2018.5,2004,17.209375,24.7134869504857,-5.17524962102465,-20.940993196927
"C320",2017.5,1983.5,4.308,11.0751926970652,-1.99035079325447,-17.9712520377356
"C370",2017.5,1989.5,43.59,52.5731982936081,-3.20828510486003,-6.10251080206794
"C484",2017.5,1983.5,16.09,28.1078610705714,-3.53466502075631,-12.5753610773929
"D320",2017.5,1983.5,10.159,18.4727792244756,-2.44522918366931,-13.2369317792175
"D474",2018.5,1998.7,34.7375,40.8306795545565,-3.0773634113922,-7.53689001742019
"F321",2017.5,1997.5,11.522125,16.618683817203,-2.54827940860148,-15.3338220802035
"G320",2017.5,1983.5,3.1325,11.0519778528058,-2.32925819200169,-21.075487329269
"KSHZ06",2017.5,1993.5,55.14,54.7240873996411,0.173296916816206,0.316673927425498
"KTHA02",2018.5,1993.5,54.08125,55.4280529115379,-0.538721164615157,-0.971928718973668
"KTHA03",2017.5,1993.5,52.7175,56.9946067886618,-1.78212782860907,-3.12683590434666
"N484",2017.5,1983.5,19.37,32.4078570252539,-3.83466383095703,-11.8325128007349
"S478",2018.5,2005.5,25.2,32.3842127125759,-5.5263174712122,-17.0648504574148
"S484",2018.5,1986.5,20.08125,33.9763120403837,-4.3422068876199,-12.7801006844381
