"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (μg/L/decade)","% Change Per Decade"
"0311",2018.5,1998.5,517.03125,556.789401047601,-19.8790755238005,-3.57030422748672
"0317",2017.5,1998.5,886.65,1032.3484155674,-76.6833766144189,-7.42805195010373
"0321",2017.5,1998.5,1025.5,988.568879755817,19.437431707465,1.9662192595286
"0322",2017.5,1998.5,1813.5,2264.70778390837,-237.477781004404,-10.4860230839394
"0430",2017.5,1998.5,1100.4,1386.32623898373,-150.487494201964,-10.8551284661741
"0434",2017.5,1998.5,1124.45,1447.94845364281,-170.262344022534,-11.758867768682
"0438",2017.5,2001.5,271.675,352.177001423757,-50.313750889848,-14.2864953379815
"0440",2017.5,1998.5,1117.75,1446.45251451641,-173.001323429689,-11.9603873403012
"0442",2017.5,1998.5,587.4,829.218508635846,-127.272899282024,-15.348535754635
"0444",2017.5,1998.5,544.2,901.565277962026,-188.086988401066,-20.8622706529065
"0446",2017.5,1998.5,1158.2,1624.83104156907,-245.595285036354,-15.1151275888468
"0470",2017.5,1998.5,754.1,1134.90331581883,-200.422797799386,-17.6599006281677
"0474",2017.5,1998.5,989.7,1200.43197174543,-110.911564076544,-9.23930440766906
"0478",2017.5,1998.5,966.95,1194.21631124528,-119.613848023832,-10.016095651809
"0484",2016.5,1998.5,789.3125,1000.12040788783,-117.11550438213,-11.7101404449358
"0631",2017.5,1998.5,786.425,1100.05386362249,-165.067822959205,-15.005430953684
"A315",2017.5,1998.5,858.925,1107.2961718076,-130.721669372418,-11.8054837269981
"A320",2017.5,1998.5,1011.1,1166.26980733041,-81.6683196475849,-7.00252369857053
"A432",2017.5,1998.5,1379,1594.71442444052,-113.533907600273,-7.11938801457224
"A456",2017.5,1998.5,672.325,906.455339808256,-123.226494635924,-13.5943260770013
"A499",2018.5,1998.5,2345.3125,2257.44398474462,43.9342576276886,1.94619480813646
"A617",2017.5,1999.5,751.2,988.993998673946,-132.107777041081,-13.3577935981626
"A620",2017.5,2000.5,609.5,753.782839469846,-84.8722585116743,-11.2595105735449
"A630",2017.5,1998.5,983.6,1334.36759040094,-184.614521263652,-13.8353571078702
"A680",2017.5,1999.5,658.55,733.839689307869,-41.8276051710383,-5.6998286928973
"A685",2017.5,2000.5,1415.75,1543.64187224575,-75.2305130857341,-4.8735729730035
"A690",2018.5,1999.5,2081.875,2014.0796740314,35.681750509792,1.77161564012864
"B484",2017.5,1998.5,618.8,674.861692859664,-29.506154136665,-4.37217795125331
"C320",2017.5,1998.5,767.3,982.697149766034,-113.366920929492,-11.5363030162938
"C370",2017.5,1997.5,1163.85,1256.69742529804,-46.4237126490202,-3.69410422226419
"D320",2017.5,1998.5,1156,1333.48198177305,-93.4115693542344,-7.00508673015822
"G320",2017.5,1998.5,373,488.368749837316,-60.7203946512189,-12.4333087797788
"KSHZ06",2017.5,1998.5,1653.5,1685.67981761001,-16.9367461105324,-1.00474277105278
"KTHA03",2017.5,1998.5,1445,1563.28417063783,-62.2548266514892,-3.9823103067748
"N484",2017.5,1998.5,942.247916666667,1200.99944687594,-136.18501589962,-11.3393071290637
"VA12A",2018.5,2009.5,967,993.833333333333,-29.8148148148149,-2.99998136657537
"VA41A",2018.5,2009.5,1063.375,1263.33333333333,-222.175925925926,-17.5864849017883
"VA42A",2017.5,2009.5,1089.275,1138.33333333333,-61.3229166666665,-5.38707906295752
"VA45A",2018.5,2009.5,1694.0625,2222.5,-587.152777777778,-26.4185726784152
