"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (μg/L/decade)","% Change Per Decade"
"0311",2018.5,1983.5,46.26875,46.8095633321773,-0.154518094907812,-0.330099415393596
"0317",2017.5,1983.5,171.5,262.967725914987,-26.9022723279375,-10.2302562926047
"0321",2017.5,1989.5,49.23,40.2207311394159,3.21759602163718,7.99984468329063
"0322",2017.5,1983.5,71.86,66.6221025949194,1.54055806031782,2.31238282839081
"0430",2017.5,1983.5,45.5225,43.8360573027702,0.496012558008752,1.13151726803999
"0434",2017.5,1983.5,67.955,62.2050061890425,1.69117465028161,2.71871148946129
"0438",2017.5,1991.9,12.605,19.9432513240792,-2.86650442346847,-14.3733054199015
"0440",2017.5,1983.5,42.8775,40.6001507160294,0.669808612932534,1.64976878440032
"0442",2017.5,1983.5,29.235,28.3556969972418,0.258618530222998,0.912051395697146
"0444",2017.5,1983.5,86.835,78.6128069697468,2.41829206772152,3.07620623272258
"0446",2017.5,1983.5,54.21,48.91668515006,1.55685730880587,3.18267131967334
"0470",2017.5,1983.5,59.865,56.9391869010544,0.860533264395766,1.51131990327005
"0474",2017.5,1983.5,85.22,90.5000401056554,-1.55295297225158,-1.71596937464179
"0478",2017.5,1983.5,49.04,46.5071087538993,0.744968013559022,1.601836866491
"0484",2016.5,1983.5,45.30625,61.3289062226221,-4.85535037049153,-7.91690357702901
"0631",2017.5,1983.5,26.48,29.6989690618741,-0.946755606433572,-3.18783997000409
"A315",2017.5,1983.5,139.95,203.088859036327,-18.5702526577432,-9.14390515849101
"A320",2017.5,1983.5,27.42,25.7486348040356,0.491577998813067,1.90914198967948
"A432",2017.5,1983.5,53.005,55.4671362398771,-0.724157717610907,-1.30556175548556
"A456",2017.5,1983.5,85.0575,76.9619173075583,2.3810537330711,3.09380771213877
"A499",2018.5,1983.5,58.35,64.5563095893048,-1.77323131122995,-2.74679783046912
"A617",2017.5,1999.5,49.05,63.9387351774735,-8.27151954304085,-12.9366330442442
"A620",2017.5,2000.5,35.15,37.1213901367581,-1.15964125691655,-3.1239165684376
"A630",2017.5,1983.5,53.92,29.5297963038273,7.17358932240373,24.2927152242969
"A680",2017.5,1997.9,72.0375,75.7913151791756,-1.91521182610999,-2.52695420521771
"A685",2017.5,2000.5,41.635,51.3691473733085,-5.72596904312264,-11.1467083568879
"A690",2018.5,1997.9,30.065625,31.4885856129697,-0.690757579111484,-2.19367610727797
"B484",2017.5,1983.5,58.735,54.5991786735033,1.21641803720492,2.22790537652399
"C320",2017.5,1983.5,13.465,13.8817203680308,-0.122564814126699,-0.882922367525589
"C370",2017.5,1989.5,86.22,76.8169050500515,3.35824819641016,4.37175670410313
"D320",2017.5,1983.5,21.995,22.2493509959411,-0.074809116453277,-0.336230555520132
"G320",2017.5,1983.5,19.37,26.7502746166465,-2.17066900489602,-8.11456718109814
"KSHZ06",2017.5,1993.5,70.3775,75.9402280040569,-2.31780333502369,-3.05214165922688
"KTHA03",2017.5,1993.5,63.54,67.173087774896,-1.51378657287335,-2.25356109569684
"LSIN1",2017.5,2007.42857142857,41.265,29.4785888110288,11.702819620255,39.6993889201257
"LSIN9",2017.5,2007.42857142857,7.8575,7.03369757241077,0.817959857180793,11.62915875697
"N484",2017.5,1983.5,40.855,49.8857931171951,-2.65611562270444,-5.32439289170869
"VA12A",2018.5,2009.5,51.15625,46.7833333333333,4.8587962962963,10.3857419942208
"VA41A",2018.5,2009.5,60.53125,57.8675318258611,2.95968686015429,5.11458976522582
"VA42A",2017.5,2009.5,45.645,42.7916666666667,3.56666666666667,8.33495618305747
"VA45A",2018.5,2009.5,28.43125,20.0298334423737,9.33490728625143,46.6050170267675
