"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (mg/L/decade)","% Change Per Decade"
"0311",2018.5,1983.5,4.685625,8.2,-1.00410714285714,-12.2452090592334
"0317",2017.5,1983.5,5.00075,19.6825,-4.31816176470588,-21.939091907562
"0321",2017.5,1989.5,4.473,5.26625,-0.283303571428572,-5.37960733783188
"0322",2017.5,1983.5,3.9075,5.1775,-0.373529411764706,-7.21447439429659
"0430",2017.5,1983.5,3.016,4.319,-0.383235294117647,-8.87324135488879
"0434",2017.5,1983.5,4.836,5.382,-0.160588235294117,-2.98380221653879
"0438",2017.5,1991.9,2.718,4.203,-0.580078125000002,-13.8015256959315
"0440",2017.5,1983.5,3.507,6.0475,-0.747205882352941,-12.3556160785935
"0442",2017.5,1983.5,2.617,4.993,-0.698823529411765,-13.9960650793464
"0444",2017.5,1983.5,2.319,7.48925,-1.52066176470588,-20.3045934466853
"0446",2017.5,1983.5,2.7075,5.7415,-0.892352941176471,-15.5421569481228
"0470",2017.5,1983.5,3.7465,5.183,-0.4225,-8.15164962377002
"0474",2017.5,1983.5,5.704,7.667,-0.577352941176471,-7.53036312999179
"0478",2017.5,1983.5,3.83,5.3455,-0.445735294117647,-8.33851452843789
"0484",2016.5,1983.5,4.694375,7.94275,-0.984356060606061,-12.3931391596873
"0486",2017.5,1983.5,1.694,3.819,-0.625,-16.3655407174653
"0631",2017.5,1983.5,3.7965,5.193,-0.410735294117647,-7.90940292928263
"0632",2018.5,1983.5,2.045625,6.0455,-1.14282142857143,-18.9036709713246
"A315",2017.5,1983.5,8.892,12.713,-1.12382352941177,-8.83995539535723
"A319",2018.5,1983.5,3.44625,4.381,-0.267071428571429,-6.09612938989794
"A320",2017.5,1983.5,4.0065,3.981,0.00750000000000002,0.188394875659383
"A432",2017.5,1983.5,8.982,9.147,-0.0485294117647062,-0.530550035691551
"A438",2018.5,1983.5,1.726875,2.7915,-0.304178571428571,-10.8965993705381
"A456",2017.5,1983.5,4.414,5.5445,-0.3325,-5.99693389845793
"A499",2018.5,1983.5,5.501875,8.008,-0.716035714285714,-8.94150492364778
"A617",2017.5,1999.5,2.012,2.683,-0.372777777777778,-13.8940655153849
"A620",2017.5,2000.5,1.1095,1.439,-0.193823529411765,-13.469321015411
"A630",2017.5,1983.5,3.4645,6.634,-0.932205882352941,-14.0519427547926
"A631",2017.5,1983.5,3.1705,3.6825,-0.150588235294118,-4.08929355856396
"A680",2017.5,1997.9,2.492,4.98075,-1.26977040816327,-25.4935583629628
"A685",2017.5,2000.5,3.776,3.726,0.0294117647058822,0.789365665751
"A690",2018.5,1997.9,3.670625,4.411,-0.359405339805827,-8.14793334404504
"B319",2017.5,1983.5,2.1905,3.6225,-0.421176470588235,-11.6266796573702
"B484",2017.5,1983.5,4.04925,7.588,-1.04080882352941,-13.7165105894756
"BB470",2018.5,2004,2.119375,2.55972222222222,-0.303687739463601,-11.8640896589144
"C320",2017.5,1983.5,1.2705,2.5535,-0.377352941176471,-14.777871203308
"C370",2017.5,1991.3,6.4205,4.275,0.818893129770991,19.1553948484442
"C484",2017.5,1983.5,5.0165,8.1255,-0.914411764705883,-11.253606112927
"D320",2017.5,1983.5,2.4115,2.6585,-0.0726470588235295,-2.73263339565655
"D474",2018.5,1998.7,4.53125,5.5445,-0.511742424242426,-9.22973080065696
"F321",2017.5,1997.5,1.21383333333333,1.1485,0.0326666666666666,2.8442896531708
"G320",2017.5,1983.5,3.349,5.5665,-0.652205882352941,-11.7166241328113
"KSHZ06",2017.5,1993.5,4.358,4.43266666666667,-0.031111111111111,-0.701859928811348
"KTHA02",2018.5,1993.5,4.88,3.707,0.4692,12.6571351497168
"KTHA03",2017.5,1993.5,3.67075,3.0125,0.274270833333333,9.10442600276625
"LSIN1",2017.5,2007.42857142857,1.362,1.37857142857143,-0.0164539007092196,-1.19354720170505
"LSIN9",2017.5,2007.42857142857,1.0795,1.35785714285714,-0.276382978723401,-20.3543487750006
"N484",2017.5,1983.5,2.485625,4.983,-0.734522058823529,-14.7405590773335
"S478",2018.5,2005.5,2.8209375,2.60527777777778,0.165892094017094,6.36753959336324
"S484",2018.5,1986.5,1.481875,3.296,-0.5669140625,-17.2000625758495
"VA12A",2018.5,2009.5,2.24625,4.725,-2.75416666666667,-58.289241622575
"VA41A",2018.5,2009.5,6.35125,8.3325,-2.20138888888889,-26.4193085975264
"VA42A",2017.5,2009.5,5.2705,4.385,1.106875,25.2423033067275
"VA45A",2018.5,2009.5,2.038125,3.23666666666667,-1.33171296296296,-41.1445817599268
