"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (NTU/decade)","% Change Per Decade"
"0311",2018.5,1983.5,3.209375,3.5625,-0.100892857142857,-2.83208020050125
"0317",2017.5,1983.5,10.86225,23.6916666666667,-3.77335784313726,-15.9269413006145
"0321",2017.5,1989.5,1.93675,1.7375,0.0711607142857143,4.09558067831449
"0322",2017.5,1983.5,2.67825,2.315,0.106838235294118,4.61504256130098
"0430",2017.5,1983.5,2.3135,2.605,-0.0857352941176471,-3.29118211584058
"0434",2017.5,1983.5,3.3695,2.67,0.205735294117647,7.7054417272527
"0438",2017.5,1991.9,1.408,1.84525,-0.170800781250001,-9.256240685544
"0440",2017.5,1983.5,2.103,2.845,-0.218235294117647,-7.67083634859919
"0442",2017.5,1983.5,3.364,2.445,0.270294117647059,11.054974136894
"0444",2017.5,1983.5,2.983,4.145,-0.341764705882353,-8.24522812743915
"0446",2017.5,1983.5,2.57625,2.865,-0.0849264705882354,-2.96427471512165
"0470",2017.5,1983.5,3.1435,3.2,-0.0166176470588236,-0.519301470588237
"0474",2017.5,1983.5,4.318,3.32,0.293529411764706,8.84124734231042
"0478",2017.5,1983.5,2.8865,2.375,0.150441176470588,6.3343653250774
"0484",2016.5,1983.5,3.3571875,3.3325,0.00748106060606067,0.224487940166862
"0631",2017.5,1983.5,2.2105,1.9675,0.0714705882352941,3.63255848718141
"A315",2017.5,1983.5,11.838,10.83,0.296470588235294,2.73749388952257
"A320",2017.5,1983.5,1.903,1.375,0.155294117647059,11.2941176470588
"A432",2017.5,1983.5,4.5985,3.165,0.421617647058824,13.3212526716848
"A456",2017.5,1983.5,3.787,3.54,0.0726470588235294,2.05217680292456
"A499",2018.5,1983.5,2.914375,2.395,0.148392857142857,6.19594393080823
"A617",2017.5,1999.5,1.5304,2.174,-0.357555555555556,-16.4468976796484
"A620",2017.5,2000.5,1.4896,1.879,-0.229058823529412,-12.1904642644711
"A630",2017.5,1983.5,4.7275,6.02,-0.380147058823529,-6.31473519640414
"A680",2017.5,1997.9,1.893,2.4525,-0.285459183673471,-11.6395181925982
"A685",2017.5,2000.5,1.7825,1.71833333333333,0.0377450980392156,2.19661094311633
"A690",2018.5,1997.9,1.77375,1.60566666666667,0.0815938511326865,5.08161829765537
"B484",2017.5,1983.5,3.327,3.405,-0.0229411764705883,-0.673749676081889
"C320",2017.5,1983.5,0.9367,1.065,-0.037735294117647,-3.54322010494338
"C370",2017.5,1989.5,6.19,3.7025,0.888392857142857,23.9944053245876
"D320",2017.5,1983.5,1.6165,1.2,0.1225,10.2083333333333
"G320",2017.5,1983.5,2.40075,1.995,0.119338235294118,5.98186643078284
"KSHZ06",2017.5,1993.5,2.711,1.84583333333333,0.360486111111111,19.5297215951844
"KTHA03",2017.5,1993.5,1.85575,1.065,0.329479166666667,30.9370109546166
"N484",2017.5,1983.5,1.79716666666667,1.715,0.0241666666666666,1.40913508260447
"VA12A",2018.5,2009.5,1.5775,1.61583333333333,-0.0425925925925926,-2.63595209443585
"VA41A",2018.5,2009.5,3.84,3.56166666666667,0.309259259259259,8.68299277283835
"VA42A",2017.5,2009.5,3.577,2.60916666666667,1.20979166666667,46.3669754072181
"VA45A",2018.5,2009.5,4.314375,4.51666666666667,-0.224768518518518,-4.97642476424764
