"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (pH/decade)","% Change Per Decade"
"0311",2018.5,1983.5,7.196875,7.18769444444444,0.00262301587301599,0.0364931466312315
"0317",2017.5,1983.5,6.9605,6.8775,0.0244117647058821,0.354951140761645
"0321",2017.5,1989.5,7.349,7.35866666666667,-0.00345238095238105,-0.0469158491445151
"0322",2017.5,1983.5,7.766,7.71166666666667,0.0159803921568627,0.207223585349419
"0430",2017.5,1983.5,7.6695,7.63,0.0116176470588236,0.15226273995837
"0434",2017.5,1983.5,7.703,7.62,0.0244117647058824,0.320364366218929
"0438",2017.5,1991.9,7.467,7.31025,0.0612304687500001,0.837597465886941
"0440",2017.5,1983.5,7.781,7.695,0.0252941176470587,0.328708481443257
"0442",2017.5,1983.5,8.08675,8.18,-0.0274264705882351,-0.335286926506542
"0444",2017.5,1983.5,7.28075,7.405,-0.0365441176470588,-0.493505977678039
"0446",2017.5,1983.5,7.47675,7.38,0.0284558823529412,0.38558106169297
"0470",2017.5,1983.5,7.361,7.54,-0.0526470588235295,-0.698236854423468
"0474",2017.5,1983.5,7.503,7.43,0.0214705882352942,0.288971577863987
"0478",2017.5,1983.5,7.611,7.45,0.0473529411764705,0.635609948677456
"0484",2016.5,1983.5,7.39,7.34,0.0151515151515151,0.206423912145982
"0631",2017.5,1983.5,7.502,7.3925,0.0322058823529411,0.43565616980644
"A315",2017.5,1983.5,7.052,7.12833333333333,-0.0224509803921571,-0.314954132225725
"A320",2017.5,1983.5,7.615,7.5725,0.0125000000000001,0.165070980521626
"A432",2017.5,1983.5,7.78825,7.7275,0.0178676470588234,0.231221573067919
"A456",2017.5,1983.5,7.368,7.47,-0.0299999999999998,-0.401606425702809
"A499",2018.5,1983.5,8.018125,7.86,0.0451785714285712,0.574790985096326
"A617",2017.5,1999.5,7.79075,7.62275,0.0933333333333334,1.22440501568769
"A620",2017.5,2000.5,7.6735,7.71,-0.0214705882352942,-0.278477149614711
"A630",2017.5,1983.5,7.351,7.295,0.0164705882352941,0.225779139620207
"A680",2017.5,1997.9,7.46325,7.40358333333333,0.0304421768707485,0.411181660287228
"A685",2017.5,2000.5,7.7905,7.57433333333333,0.127156862745098,1.6787862000409
"A690",2018.5,1997.9,7.744375,7.5675,0.0858616504854372,1.1346105118657
"B484",2017.5,1983.5,7.0005,7.27,-0.0792647058823529,-1.09029856784529
"C320",2017.5,1983.5,7.4095,7.455,-0.0133823529411764,-0.179508423087544
"C370",2017.5,1989.5,7.671,7.8015,-0.0466071428571427,-0.597412585491799
"D320",2017.5,1983.5,7.409,7.38,0.00852941176470586,0.115574685158616
"G320",2017.5,1983.5,7.4155,7.395,0.00602941176470594,0.0815336276498436
"KSHZ06",2017.5,1993.5,7.89025,7.83583333333333,0.0226736111111111,0.289358006310042
"KTHA03",2017.5,1993.5,7.975,7.943,0.013333333333333,0.167862688320949
"N484",2017.5,1983.5,7.41916666666667,7.355,0.0188725490196079,0.256594820117035
"VA12A",2018.5,2009.5,7.710625,7.64166666666667,0.0766203703703708,1.00266569732219
"VA41A",2018.5,2009.5,7.504375,7.495,0.0104166666666671,0.138981543251062
"VA42A",2017.5,2009.5,7.6505,7.67333333333333,-0.0285416666666671,-0.371959165942665
"VA45A",2018.5,2009.5,6.809375,6.86666666666667,-0.0636574074074077,-0.927049622437977
