"","Year","0317","0321","0322","0430","0434","0440","0442","0444","0446","0450","0456","0470","0474","0478","0484","0486","0498","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A632","A680","A685","A690","B319","B484","C320","C370","C446","C484","D320","D444","G320","J484","KSHZ06","KTHA02","KTHA03","N484","S484"
"11",1980,360,46,285,425,735,58.5,33.5,350,290,575,370,220,365,145,575,26.5,540,84,186.666666666667,625,85,34,180,23,38,NA,NA,57.5,135,NA,NA,NA,20,123,20,195,260,290,55,230,350,44,NA,NA,NA,185,NA
"12",1981,420,49,315,755,930,175,87,255,395,370,605,350,680,550,570,28,800,140,81.25,955,54,96.5,255,26,87,NA,NA,84,190,NA,NA,NA,12,185,34,880,360,610,82.5,310,600,110,NA,NA,NA,260,95
"13",1982,410,15.5,180,380,500,97.5,33,200,270,260,250,210,290,180,450,17,31000,130,90.6833333333333,540,14,39,230,28,25,NA,NA,37,84,NA,NA,NA,6,140,37,310,150,280,46,140,400,78,NA,NA,NA,190,110
"14",1983,1030,NA,405,410,475,145,101.5,280,650,290,375,440,520,400,545,21.5,910,96,165.708333333333,1600,27,60.5,225,49,68,NA,NA,74.5,122,NA,NA,NA,7.5,395,18,NA,365,370,48.5,240,830,68,NA,NA,NA,140,205
"15",1984,270,NA,425,690,545,130,55,205,255,190,170,325,450,180,600,49,420,96,204.166666666667,2100,39.5,68,245,29,21,NA,NA,63,102,NA,NA,NA,4.5,170,18,NA,240,245,74,200,365,81.5,NA,NA,NA,120,84
"16",1985,490,NA,340,410,850,120,70,250,190,220,280,190,340,240,370,68,400,140,138.916666666667,840,25,48,200,27,24,NA,NA,96,90,NA,NA,NA,12,160,25,NA,210,270,44,220,350,74,NA,NA,NA,160,180
"17",1986,275,NA,260,300,540,67,35,190,550,175,380,225,280,175,785,25.5,270,80,178.875,335,24.5,48.5,250,21,16,NA,NA,50.5,95,NA,NA,NA,5.5,77,18,NA,200,205,46,160,570,41.5,NA,NA,NA,91.5,185
"18",1987,770,NA,245,455,716,65,69.75,232,642,196,465,260,836.5,200,781.75,52,520,157.5,185.916666666667,581.5,34.5,57,375,32.5,42,NA,NA,95.5,241.5,108.5,NA,21.5,5.5,185,29.5,NA,360,255,71.5,98.5,315,89,166,121.5,117,250,310
"19",1988,468.333333333333,NA,495,225,505,135,125,220,612.5,203,120,270,235,125,880,27,200,218.333333333333,100.166666666667,400,32.5,54,305,32.5,33,NA,NA,69,95,NA,NA,NA,8.5,100,30.5,NA,220,160,62,305,443.5,99.5,121.5,146.5,91.75,115,70
"20",1989,450,NA,440,475,530,80,302.5,225,334.5,185,135,130,325,295,693.75,15,465,105,210,320,44.5,58.5,402.5,27.25,41,NA,NA,49.5,84,NA,NA,NA,7,110,24.5,NA,435,255,48,100,856,95.5,265,285,63.5,160,35
"21",1990,1500,NA,2300,340,1300,90,783.333333333333,455,774,195.5,215,225,140,410,1891.16666666667,29,450,270,140,1100,150,120,354.666666666667,58,65,NA,NA,140,150,NA,NA,NA,15,74,30,NA,525,315,70,320,525,117,245,265,63.5,225,62.5
"22",1991,450,NA,1200,255,900,120,155,640,602.5,205,145,80,85,185,895.666666666667,26.5,380,170,130,775,55,51,385,38.6666666666667,33,NA,NA,55,40.5,NA,NA,NA,11.5,60,29,NA,545,225,43.5,370,260,94,165,136,95,110,74.5
