"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"1",1900,339,227,209,206,126,41,NA,28,NA,6,17,3,1,2,3,83,53,1,1,2,9,NA,10,10,37,1,30,NA,126,18,41,49,NA,10,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,9,3,1,2,26,1,3,2,7,NA,3,2,7,NA,NA,2,NA,NA,2,2,12,12,12,NA,34,NA,NA,1,1,NA,5,12,NA,1,4,6,58,NA,7,1,NA,3,10,1,10,26,NA
"2",1901,387,252,232,228,138,46,NA,32,2,7,27,NA,NA,NA,NA,99,61,NA,NA,4,12,1,11,11,44,NA,37,NA,138,NA,46,54,1,12,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,31,NA,4,NA,8,NA,4,NA,10,NA,NA,4,NA,NA,3,3,14,14,14,NA,35,NA,1,NA,NA,NA,NA,13,NA,NA,5,7,62,NA,NA,NA,NA,NA,11,NA,NA,39,NA
"3",1902,434,282,259,254,145,52,NA,NA,NA,8,30,NA,NA,NA,4,111,68,NA,NA,6,13,2,12,12,50,NA,41,NA,145,20,47,57,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,10,NA,2,5,32,NA,6,NA,9,NA,NA,NA,11,NA,NA,NA,NA,NA,5,NA,16,16,16,NA,38,NA,NA,NA,NA,NA,6,17,NA,NA,7,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"4",1903,500,329,304,299,160,66,NA,35,NA,NA,36,5,NA,3,NA,122,77,NA,NA,NA,14,NA,13,13,55,NA,44,NA,160,23,51,59,NA,14,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,7,NA,10,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,2,2,NA,7,19,NA,NA,8,10,92,NA,NA,NA,1,4,15,NA,12,58,NA
"5",1904,576,380,351,346,179,75,NA,39,3,12,38,7,NA,NA,NA,136,88,NA,NA,NA,NA,NA,NA,NA,64,NA,52,NA,179,24,56,69,3,15,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,45,NA,11,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,33,NA,NA,10,13,121,NA,NA,NA,NA,NA,17,NA,NA,70,NA
"6",1905,664,430,399,391,196,83,NA,43,NA,16,43,8,NA,NA,NA,145,95,2,2,7,15,NA,15,15,68,NA,54,NA,196,26,62,75,5,17,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,1,13,NA,NA,6,49,NA,13,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,27,NA,48,NA,NA,3,3,NA,9,38,NA,NA,11,NA,136,NA,10,NA,NA,NA,18,NA,13,82,NA
"7",1906,810,522,489,478,246,97,NA,46,NA,20,49,12,NA,NA,5,150,97,NA,NA,NA,16,NA,16,16,69,NA,NA,NA,246,29,67,112,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15,NA,NA,NA,53,NA,27,NA,13,NA,NA,NA,13,NA,NA,NA,NA,NA,8,NA,51,51,51,NA,83,NA,2,NA,NA,NA,10,43,NA,NA,12,16,151,NA,NA,NA,NA,NA,NA,NA,14,96,NA
"8",1907,932,591,555,541,275,114,NA,51,NA,23,57,NA,NA,NA,NA,159,104,NA,NA,NA,18,NA,17,18,73,NA,55,NA,275,33,75,116,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,4,NA,NA,54,NA,43,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,55,55,55,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,163,NA,14,NA,NA,NA,20,NA,16,119,NA
"9",1908,1165,743,696,675,335,141,NA,66,NA,36,63,13,2,5,6,180,115,5,5,NA,19,3,19,20,82,2,60,NA,335,52,93,123,NA,25,4,NA,NA,NA,15,NA,NA,NA,NA,NA,2,NA,19,NA,3,NA,68,NA,67,3,15,NA,6,3,16,NA,NA,5,NA,NA,11,NA,71,70,70,1,85,NA,NA,4,4,NA,NA,44,NA,NA,14,19,173,NA,18,2,NA,6,23,NA,17,137,NA
"10",1909,1358,868,817,796,380,184,NA,76,4,42,69,NA,NA,NA,7,191,121,NA,NA,NA,NA,NA,21,22,86,NA,62,NA,380,65,106,132,NA,28,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,4,21,NA,NA,NA,70,NA,100,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,82,81,81,NA,89,NA,NA,NA,NA,NA,NA,48,NA,NA,16,NA,190,NA,19,NA,NA,NA,NA,NA,19,154,NA
