"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"1",1900,0.111487266895809,0.0760382813760352,0.0705952242972522,0.0699719975624351,0.0458099527353267,0.290062736773643,NA,0.140930377786578,NA,0.0794109487491164,0.0139271679978135,0.0363033653506905,0.0262474525329644,0.0221222245271544,0.0729551416276409,0.0536295302140735,0.0511277715286175,0.053236580742896,0.053236580742896,0.0127191675712919,0.0492121394375896,NA,0.0327636493887283,0.0325286450378474,0.0569458835973659,0.240371851592495,0.0837680080868501,NA,0.0458000867380241,0.215592319164203,0.019944637839775,0.114022226567553,NA,0.00905767242129661,0.0604007236846303,NA,NA,NA,0.0152963734347843,NA,NA,NA,NA,NA,NA,NA,0.00512893245168962,0.0367429285784259,0.0552530439029329,0.0145585348574467,0.252284277772022,0.0225055253523029,0.123840656696689,0.113596319073553,0.0336357292257138,NA,0.0287698975958772,0.037990188093006,0.0425970019437776,NA,NA,0.084143139120393,NA,NA,0.14259185210724,0.022827290281003,0.740791794328333,1.12015334655056,1.0803906085442,NA,0.775162413179836,NA,NA,0.014711942092466,0.0149097105689588,NA,0.038280533098433,0.0580662511080738,NA,0.0165498130708921,0.00740144225459262,0.00380048552852795,0.0141354926326531,NA,0.365770853197561,0.180365812865402,NA,0.245122328805258,0.332880137990645,0.374897612232296,2.78586069766876,0.0209751818326897,NA
"2",1901,0.12727307459787,0.0844125414394752,0.0783640767318781,0.0774447351661903,0.0501728053767864,0.325436241258234,NA,0.161063288898946,0.0851536412092702,0.0926461068739692,0.0221196197612333,NA,NA,NA,NA,0.0639677529059431,0.0588451710046352,NA,NA,0.0254383351425839,0.0656161859167861,0.0103879690138434,0.0360400143276011,0.0357815095416322,0.0677194291428135,NA,0.103313876640448,NA,0.050161999760693,NA,0.0223769107470646,0.125657147645874,0.0198321346287294,0.0108692069055559,NA,NA,NA,NA,0.0267686535108725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291170697148935,0.300800485035873,NA,0.165120875595585,NA,0.0384408334008158,NA,0.0383598634611696,NA,0.0608528599196822,NA,NA,0.168286278240786,NA,NA,0.21388777816086,0.0342409354215045,0.864257093383055,1.30684557097565,1.26045570996824,NA,0.797961307685125,NA,0.000914026786739324,NA,NA,NA,NA,0.06290510536708,NA,NA,0.00925180281824078,0.0044338997832826,0.0151103541935257,NA,NA,NA,NA,NA,0.366168151789709,NA,NA,0.0314627727490345,NA
"3",1902,0.142730011306139,0.0944616535156032,0.0874840339377432,0.0862761523342646,0.0527178027509712,0.367884446639742,NA,NA,NA,0.105881264998822,0.0245773552902592,NA,NA,NA,0.0972735221701879,0.0717214199248453,0.0655978955461508,NA,NA,0.0381575027138758,0.0710842014098516,0.0207759380276867,0.0393163792664739,0.0390343740454169,0.0769538967531972,NA,0.114482944385362,NA,0.0527064490239166,0.239547021293558,0.0228633653285226,0.132638100292867,NA,NA,NA,NA,NA,NA,0.0344168402282647,NA,NA,NA,NA,NA,NA,NA,0.00569881383521069,NA,0.110506087805866,0.0363963371436168,0.310503726488643,NA,0.247681313393378,NA,0.0432459375759178,NA,NA,NA,0.0669381459116505,NA,NA,NA,NA,NA,0.3564796302681,NA,0.987722392437777,1.49353779540074,1.44052081139227,NA,0.866357991200993,NA,NA,NA,NA,NA,0.0459366397181196,0.0822605224031046,NA,NA,0.0129525239455371,NA,0.0197409466076707,NA,NA,NA,NA,NA,NA,NA,NA,0.0403368881397878,NA
"4",1903,0.164435496896473,0.11020526243487,0.102683962614185,0.101561297432855,0.0581713685527958,0.466930259196596,NA,0.176162972233222,NA,NA,0.029492826348311,0.0605056089178175,NA,0.0331833367907316,NA,0.0788289480255056,0.0742799699566707,NA,NA,NA,0.0765522169029171,NA,0.0425927442053467,0.0422872385492017,0.0846492864285169,NA,0.122859745194047,NA,0.0581588403022528,0.275479074487592,0.0248091836543543,0.137292068724196,NA,0.0126807413898153,NA,NA,NA,NA,0.0382409335869608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388129658110803,NA,0.288961532292274,NA,0.0480510417510197,NA,NA,NA,0.0730234319036187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889156885706282,NA,NA,0.0294238841849321,0.0298194211379175,NA,0.0535927463378061,0.0919382309211168,NA,NA,0.0148028845091852,0.00633414254754657,0.0224218159000704,NA,NA,NA,0.100647303647182,0.326829771740344,0.499320206985967,NA,3.34303283720252,0.0467907902421539,NA
"5",1904,0.189429692424737,0.127288752964288,0.118559443676247,0.117525782313605,0.0650792185684403,0.530602567268859,NA,0.196295883345591,0.127730461813905,0.158821897498233,0.031131316700995,0.0847078524849445,NA,NA,NA,0.0878748928808915,0.0848913942361951,NA,NA,NA,NA,NA,NA,NA,0.0985009878440924,NA,0.145197880683874,NA,0.0650652025881453,0.28745642555227,0.0272414565616439,0.16056191088084,0.0594964038861883,0.0135865086319449,NA,NA,NA,NA,0.049713213663049,NA,NA,NA,NA,NA,NA,NA,0.00626869521873176,NA,NA,NA,0.436645865374654,NA,0.454082407887859,NA,NA,NA,0.047949829326462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980352463727439,NA,NA,NA,NA,NA,NA,0.159682190547203,NA,NA,0.0185036056364816,0.00823438531181055,0.029489562216397,NA,NA,NA,NA,NA,0.565896234584096,NA,NA,0.056471643395703,NA
"6",1905,0.218370339878517,0.144037273091168,0.134772700931118,0.132810927412195,0.0712599264771749,0.587200174444204,NA,0.216428794457959,NA,0.211762529997644,0.0352275425827048,0.096808974268508,NA,NA,NA,0.0936901431450681,0.0916441187777106,0.106473161485792,0.106473161485792,0.0445170864995218,0.0820202323959826,NA,0.0491454740830924,0.0487929675567712,0.104657299584348,NA,0.15078241455633,NA,0.0712445793702597,0.311411127681626,0.0301601840503915,0.174523816174826,0.0991606731436472,0.0153980431162042,NA,NA,NA,NA,0.0535373070217451,NA,NA,NA,NA,NA,NA,0.0214659716945288,0.0074084579857739,NA,NA,0.0436756045723402,0.475458831185734,NA,0.536642845685652,NA,0.0576612501012237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66678153723875,2.52034502973875,2.43087886922446,NA,1.09434693625389,NA,NA,0.0441358262773981,0.0447291317068763,NA,0.0689049595771793,0.183876461842234,NA,NA,0.0203539662001297,NA,0.0331452930696693,NA,0.522529790282231,NA,NA,NA,0.599184248383161,NA,3.62161890696939,0.066152496549252,NA
"7",1906,0.266385504972287,0.174854550124627,0.165172558284002,0.162362207936136,0.0894384791499236,0.686245987001058,NA,0.231528477792235,NA,0.264703162497055,0.0401430136407566,0.145213461402762,NA,NA,0.121591902712735,0.0969208377362774,0.093573468646715,NA,NA,NA,0.0874882478890481,NA,0.0524218390219652,0.0520458320605559,0.106196377519412,NA,NA,NA,0.0894192169647137,0.34734318087566,0.0325924569576811,0.260622232154406,0.118992807772377,0.0172095776004636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377589132711708,NA,0.00854822075281604,NA,NA,NA,0.514271796996814,NA,1.1145659102702,NA,0.0624663542763257,NA,NA,NA,0.0791087178955869,NA,NA,NA,NA,NA,0.570367408428959,NA,3.14836512589541,4.76065172283987,4.59166008631286,NA,1.89230824393901,NA,0.00182805357347865,NA,NA,NA,0.0765610661968659,0.208070733137264,NA,NA,0.0222043267637779,0.0101346280760745,0.0368010239229417,NA,NA,NA,NA,NA,NA,NA,3.90020497673627,0.0774468252283926,NA
"8",1907,0.306507766215026,0.197967507899722,0.18746578700945,0.183761411074162,0.0999820397001178,0.806515902248666,NA,0.256694616682695,NA,0.304408636871613,0.0466969750514924,NA,NA,NA,NA,0.102736088000454,0.100326193188231,NA,NA,NA,0.0984242788751791,NA,0.055698203960838,0.0585515610681254,0.112352689259668,NA,0.153574681492559,NA,0.099960506769497,0.395252585134371,0.0364840936093445,0.269930169017064,NA,0.0199268793268526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0429319433890576,0.00968798351985818,0.0489905714379013,NA,NA,0.523975038449584,NA,1.77504941265254,NA,NA,NA,NA,NA,0.0912792898795233,NA,NA,NA,NA,NA,NA,NA,3.39529572400486,5.13403617169006,4.95179028916093,NA,1.9151071384443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024054687327426,NA,0.0397256086055596,NA,0.731541706395123,NA,NA,NA,0.66576027598129,NA,4.45737711627002,0.096001793772695,NA
"9",1908,0.383134707768783,0.248883009085437,0.235092230195634,0.229277176478853,0.121796302907416,0.997532826465455,NA,0.332193033354076,NA,0.476465692494699,0.0516124461095443,0.157314583186326,0.0524949050659288,0.0553055613178861,0.145910283255282,0.116305005283533,0.110937617467755,0.26618290371448,0.26618290371448,NA,0.103892294368245,0.0311639070415301,0.0622509338385837,0.0650572900756949,0.126204390675243,0.480743703184989,0.1675360161737,NA,0.121770071882842,0.622822255363252,0.0452402760755872,0.286219058526714,NA,0.0226441810532415,0.241602894738521,NA,NA,NA,0.0573614003804412,NA,NA,NA,NA,NA,0.0755178265423415,NA,0.0108277462869003,NA,0.165759131708799,NA,0.659820418788366,NA,2.76577466622605,0.17039447861033,0.0720765626265296,NA,0.0575397951917544,0.056985282139509,0.0973645758714916,NA,NA,0.210357847800983,NA,NA,0.784255186589819,NA,4.38301811644263,6.53422785487825,6.30227854984118,0.244642672058552,1.93790603294959,NA,NA,0.0588477683698642,0.0596388422758351,NA,NA,0.212909587396271,NA,NA,0.0259050478910742,0.0120348708403385,0.0421627625077411,NA,0.940553622508015,0.360731625730803,NA,0.490244657610517,0.765624317378483,NA,4.7359631860369,0.110523073503019,NA
"10",1909,0.446606809570821,0.290754309402637,0.275963149525622,0.270377233299506,0.13815700031289,1.30174496503293,NA,0.382525311134997,0.17030728241854,0.555876641243815,0.0565279171675961,NA,NA,NA,0.170228663797829,0.123412533384193,0.116725667074768,NA,NA,NA,NA,NA,0.0688036637163294,0.0715630190832644,0.132360702415499,NA,0.173120550046157,NA,0.13812724571785,0.778527819204065,0.0515641856345403,0.307161916467693,NA,0.0253614827796305,NA,NA,NA,NA,0.0611854937391372,NA,NA,NA,NA,NA,NA,0.0858638867781152,0.0119675090539425,NA,NA,NA,0.679226901693906,NA,4.12802188988963,NA,0.0816867709767336,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855551112643439,NA,5.06207726124361,7.56103508921626,7.29263660767337,NA,2.02910161097075,NA,NA,NA,NA,NA,NA,0.232265004432295,NA,NA,0.0296057690183705,NA,0.0463059241414498,NA,0.992806601536238,NA,NA,NA,NA,NA,5.29313532557065,0.124237615470546,NA
