"","Description","R_Squared","RMSE","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Temperature = Const. + Developed, Total + Deciduous Forest + Wetlands, Total",0.437,0.727,136.649,0.217,5.699,0.018,0.04,-0.092,1
"2","Temperature = Const. + Developed, Total + Wetlands, Total + Open Water",0.435,0.729,136.858,0.196,6.086,0.016,-0.114,-0.101,0.901
"3","Temperature = Const. + Developed, Total + Wetlands, Total",0.412,0.743,137.138,0.17,6.004,0.017,-0.12,NA,0.783
"4","Temperature = Const. + Developed, Total + Deciduous Forest",0.403,0.749,138.023,0.109,5.325,0.019,0.056,NA,0.503
"5","Temperature = Const. + Developed, Total + Agriculture, Total + Wetlands, Total",0.421,0.737,138.243,0.098,5.933,0.017,0.016,-0.127,0.451
"6","Temperature = Const. + Developed, Total + Deciduous Forest + Open Water",0.42,0.738,138.305,0.095,5.443,0.019,0.051,-0.089,0.437
"7","Temperature = Const. + Developed, Total + Deciduous Forest + Agriculture, Total",0.405,0.748,139.859,0.044,5.288,0.02,0.055,0.007,0.201
"8","Temperature = Const. + Developed, Total + Open Water",0.376,0.766,140.632,0.03,5.748,0.017,-0.114,NA,0.137
"9","Temperature = Const. + Developed, Total",0.346,0.783,141.284,0.021,5.636,0.018,NA,NA,0.099
"10","Temperature = Const. + Developed, Total + Agriculture, Total + Open Water",0.377,0.765,142.487,0.012,5.708,0.018,0.007,-0.112,0.054
"11","Temperature = Const. + Developed, Total + Agriculture, Total",0.349,0.782,143.018,0.009,5.584,0.018,0.009,NA,0.041
"12","Temperature = Const. + Wetlands, Total + Open Water",0.151,0.893,158.415,0,7.018,-0.152,-0.119,NA,0
"13","Temperature = Const. + Wetlands, Total",0.12,0.909,158.541,0,6.938,-0.16,NA,NA,0
"14","Temperature = Const. + Agriculture, Total + Wetlands, Total + Open Water",0.158,0.889,159.956,0,7.039,-0.014,-0.145,-0.124,0
"15","Temperature = Const. + Agriculture, Total + Wetlands, Total",0.124,0.907,160.25,0,6.952,-0.011,-0.154,NA,0
"16","Temperature = Const. + Deciduous Forest + Wetlands, Total + Open Water",0.152,0.892,160.383,0,7.05,-0.005,-0.155,-0.121,0
"17","Temperature = Const. + Deciduous Forest + Wetlands, Total",0.12,0.909,160.541,0,6.935,0.001,-0.159,NA,0
"18","Temperature = Const. + Deciduous Forest + Agriculture, Total + Wetlands, Total",0.124,0.907,162.235,0,6.931,0.004,-0.011,-0.151,0
"19","Temperature = Const. + Open Water",0.044,0.948,163.361,0,6.646,-0.139,NA,NA,0
"20","Temperature = Const. + Agriculture, Total + Open Water",0.065,0.937,164.061,0,6.716,-0.024,-0.145,NA,0
"21","Temperature = Const. + Agriculture, Total",0.017,0.961,164.928,0,6.588,-0.021,NA,NA,0
"22","Temperature = Const. + Deciduous Forest + Open Water",0.05,0.945,164.986,0,6.563,0.018,-0.131,NA,0
"23","Temperature = Const. + Deciduous Forest",0.012,0.963,165.238,0,6.425,0.025,NA,NA,0
"24","Temperature = Const. + Deciduous Forest + Agriculture, Total + Open Water",0.074,0.933,165.497,0,6.619,0.022,-0.025,-0.136,0
"25","Temperature = Const. + Deciduous Forest + Agriculture, Total",0.033,0.953,165.979,0,6.472,0.029,-0.024,NA,0
