Locator,Stream,"Developed, Total"
0311,Green,21.504119934986697
0317,Springbrook,91.24996066337289
0321,Crisp,26.735218508997434
0322,Newaukum,25.977994425851513
0430,Lyon,89.82681934323838
0434,Thornton,97.63369338081644
0438,Cedar,14.58473019852491
0440,May,51.87797851431033
0442,Coal,56.913652275379235
0444,Kelsey,87.34871593033553
0446,Juanita,91.39627947220418
0450CC,Sammamish,45.622220649089044
0470,Swamp,89.48448066095126
0474,North,87.45972105691948
0478,Little Bear,69.02979902979902
0484,Bear,56.03502917883969
0631,Issaquah,21.19044514402449
A315,Mill,81.29427430093209
A320,Soos,59.27426867896404
A432,McAleer,93.18773439223473
A456,Forbes,93.00605245460659
A499,Cochran Springs,66.14060258249641
A617,Lewis,73.12885802469137
A620,Idylwood,91.2292817679558
A630,Tibbetts,20.440616200099385
A670,Laughing Jacobs,74.55628350208457
A680,Pine Lake,64.31268882175226
A685,Ebright,70.2127659574468
A687,Zackuse,66.28664495114006
A690,Eden,72.2007722007722
AMES_1,Ames Creek,19.146091026314533
B484,Evans,56.515700318636135
B499,Yarrow,73.47665847665847
BSE_1MUDMTNRD,Boise,15.367180417044423
C320,Covington,57.4911147819993
C370,Longfellow,93.88598182318921
CHERRY_1,Cherry Creek,6.229265253195466
D320,Jenkins,67.72452918719475
G320,Little Soos,64.01834175556803
GRIFFIN,Griffin Creek,0.13583833148732524
HARRIS_1,Harris Creek,19.36350838274818
KSHZ06,Pipers,89.74499588703046
KTHA03,Venema,92.00217627856365
LSIN1,Rock,21.68002434817896
LSIN9,Ravensdale,11.571458464113832
N484,Cottage Lake Creek,59.866570737131276
NFK_SNQ,Snoqualmie - North Fork,1.406840644610876
PATTER_3,Patterson Creek,24.756537728139467
RAGING_MTH,Raging River,6.40850450295355
SFK_SNQ,Snoqualmie - South Fork,8.412622637782315
SNQDUVALL,Snoqualmie,6.192419136114957
TOLT_MTH,Tolt River,2.1303994949950402
VA12A,Shinglemill,28.833856528310665
VA37A,Tahlequah,17.88599640933573
VA41A,Fisher,16.23046165030898
VA42A,Judd,20.44967088233119
VA45A,Mileta,10.74104912572856
VA65A,Gorsuch,61.24223602484472
