"","Month","Year_mon","variable","value","Wtr_Year"
"1","October",Oct 1977,"0311",276.5405,1978
"2","November",Nov 1977,"0311",288.07445,1978
"3","December",Dec 1977,"0311",347.0438,1978
"4","January",Jan 1978,"0311",571.71215,1978
"5","February",Feb 1978,"0311",435.7415,1978
"6","March",Mar 1978,"0311",270.0425,1978
"7","April",Apr 1978,"0311",233.9786,1978
"8","May",May 1978,"0311",300.74555,1978
"9","June",Jun 1978,"0311",235.928,1978
"10","July",Jul 1978,"0311",332.4233,1978
"11","August",Aug 1978,"0311",284.17565,1978
"12","September",Sep 1978,"0311",263.2196,1978
"13","October",Oct 1978,"0311",294.41,1979
"14","November",Nov 1978,"0311",362.15165,1979
"15","December",Dec 1978,"0311",442.5644,1979
"16","January",Jan 1979,"0311",602.6461,1979
"17","February",Feb 1979,"0311",556.6043,1979
"18","March",Mar 1979,"0311",393.8294,1979
"19","April",Apr 1979,"0311",202.7882,1979
"20","May",May 1979,"0311",184.2689,1979
"21","June",Jun 1979,"0311",206.687,1979
"22","July",Jul 1979,"0311",355.32875,1979
"23","August",Aug 1979,"0311",313.41665,1979
"24","September",Sep 1979,"0311",403.5764,1979
"25","October",Oct 1979,"0311",300.74555,1980
"26","November",Nov 1979,"0311",411.374,1980
"27","December",Dec 1979,"0311",635.731,1980
"28","January",Jan 1980,"0311",782.9229,1980
"29","February",Feb 1980,"0311",529.80005,1980
"30","March",Mar 1980,"0311",461.7335,1980
"31","April",Apr 1980,"0311",232.51655,1980
"32","May",May 1980,"0311",482.34385,1980
"33","June",Jun 1980,"0311",506.40725,1980
"34","July",Jul 1980,"0311",339.2462,1980
"35","August",Aug 1980,"0311",413.3234,1980
"36","September",Sep 1980,"0311",185.2436,1980
"37","October",Oct 1980,"0311",455.8006,1981
"38","November",Nov 1980,"0311",483.98915,1981
"39","December",Dec 1980,"0311",522.5107,1981
"40","January",Jan 1981,"0311",628.9264,1981
"41","February",Feb 1981,"0311",581.9465,1981
"42","March",Mar 1981,"0311",571.71215,1981
"43","April",Apr 1981,"0311",384.0824,1981
"44","May",May 1981,"0311",193.0412,1981
"45","June",Jun 1981,"0311",217.4087,1981
"46","July",Jul 1981,"0311",345.0944,1981
"47","August",Aug 1981,"0311",423.0704,1981
"48","September",Sep 1981,"0311",415.76015,1981
"49","October",Oct 1981,"0311",343.63235,1982
"50","November",Nov 1981,"0311",457.1849,1982
"51","December",Dec 1981,"0311",1037.148,1982
"52","January",Jan 1982,"0311",684.6355,1982
"53","February",Feb 1982,"0311",524.92655,1982
"54","March",Mar 1982,"0311",562.4525,1982
"55","April",Apr 1982,"0311",1034.7451,1982
"56","May",May 1982,"0311",194.9906,1982
"57","June",Jun 1982,"0311",373.0909,1982
"58","July",Jul 1982,"0311",314.635025,1982
"59","August",Aug 1982,"0311",384.66722,1982
"60","September",Sep 1982,"0311",257.3714,1982
"61","October",Oct 1982,"0311",189.62975,1983
"62","November",Nov 1982,"0311",269.798825,1983
"63","December",Dec 1982,"0311",465.9572,1983
"64","January",Jan 1983,"0311",407.4752,1983
"65","February",Feb 1983,"0311",453.2861,1983
"66","March",Mar 1983,"0311",379.2089,1983
"67","April",Apr 1983,"0311",201.8135,1983
"68","May",May 1983,"0311",421.121,1983
"69","June",Jun 1983,"0311",296.84675,1983
"70","July",Jul 1983,"0311",284.17565,1983
"71","August",Aug 1983,"0311",265.75382,1983
"72","September",Sep 1983,"0311",294.41,1983
"73","October",Oct 1983,"0311",303.913325,1984
"74","November",Nov 1983,"0311",381.74312,1984
"75","December",Dec 1983,"0311",423.0704,1984
"76","January",Jan 1984,"0311",500.0717,1984
"77","February",Feb 1984,"0311",423.0704,1984
"78","March",Mar 1984,"0311",324.6257,1984
"79","April",Apr 1984,"0311",332.4233,1984
"80","May",May 1984,"0311",225.2063,1984
"81","June",Jun 1984,"0311",334.3727,1984
"82","July",Jul 1984,"0311",389.73566,1984
"83","August",Aug 1984,"0311",388.9559,1984
"84","September",Sep 1984,"0311",425.9945,1984
"85","October",Oct 1984,"0311",321.11678,1985
"86","November",Nov 1984,"0311",350.211575,1985
"87","December",Dec 1984,"0311",705.0606,1985
"88","January",Jan 1985,"0311",694.7415,1985
"89","February",Feb 1985,"0311",753.8418,1985
"90","March",Mar 1985,"0311",369.4619,1985
"91","April",Apr 1985,"0311",189.1424,1985
"92","May",May 1985,"0311",205.7123,1985
"93","June",Jun 1985,"0311",247.03958,1985
"94","July",Jul 1985,"0311",320.7269,1985
"95","August",Aug 1985,"0311",297.090425,1985
"96","September",Sep 1985,"0311",337.2968,1985
