"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"1",1900,339,227,209,206,126,41,NA,28,NA,6,17,3,1,2,3,77,52,1,1,1,5,NA,10,10,36,1,30,NA,126,18,41,49,NA,10,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,9,3,1,1,26,1,3,2,7,NA,3,2,4,NA,NA,2,NA,NA,2,2,12,12,12,NA,34,NA,NA,1,1,NA,5,12,NA,1,4,6,58,NA,7,1,NA,3,10,1,10,26,NA
"2",1901,48,25,23,22,12,5,NA,4,1,1,10,NA,NA,NA,NA,16,8,NA,NA,2,3,1,1,1,7,NA,7,NA,12,NA,5,5,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,1,NA,1,NA,1,NA,3,NA,NA,2,NA,NA,1,1,2,2,2,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,NA,13,NA
"3",1902,47,30,27,26,7,6,NA,NA,NA,1,3,NA,NA,NA,1,12,7,NA,NA,2,1,1,1,1,6,NA,4,NA,7,2,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,2,2,NA,3,NA,NA,NA,NA,NA,1,4,NA,NA,2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"4",1903,66,47,45,45,15,14,NA,3,NA,NA,6,2,NA,1,NA,11,9,NA,NA,NA,1,NA,1,1,5,NA,3,NA,15,3,4,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,2,NA,NA,1,3,11,NA,NA,NA,1,1,4,NA,2,8,NA
"5",1904,76,51,47,47,19,9,NA,4,1,4,2,2,NA,NA,NA,14,11,NA,NA,NA,NA,NA,NA,NA,9,NA,8,NA,19,1,5,10,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,14,NA,NA,2,3,29,NA,NA,NA,NA,NA,2,NA,NA,12,NA
"6",1905,88,50,48,45,17,8,NA,4,NA,4,5,1,NA,NA,NA,9,7,1,1,1,1,NA,2,2,4,NA,2,NA,17,2,6,6,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,NA,5,NA,NA,1,1,NA,2,5,NA,NA,1,NA,15,NA,3,NA,NA,NA,1,NA,1,12,NA
"7",1906,146,92,90,87,50,14,NA,3,NA,4,6,4,NA,NA,1,5,2,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,50,3,5,37,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,4,NA,14,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,24,24,24,NA,35,NA,1,NA,NA,NA,1,5,NA,NA,1,3,15,NA,NA,NA,NA,NA,NA,NA,1,14,NA
"8",1907,122,69,66,63,29,17,NA,5,NA,3,8,NA,NA,NA,NA,9,7,NA,NA,NA,2,NA,1,2,4,NA,1,NA,29,4,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,16,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,4,NA,NA,NA,2,NA,2,23,NA
"9",1908,233,152,141,134,60,27,NA,15,NA,13,6,1,1,2,1,21,11,3,3,NA,1,1,2,2,9,1,5,NA,60,19,18,7,NA,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,14,NA,24,1,2,NA,1,1,1,NA,NA,1,NA,NA,3,NA,16,15,15,1,1,NA,NA,1,1,NA,NA,1,NA,NA,1,3,10,NA,4,1,NA,2,3,NA,1,18,NA
"10",1909,193,125,121,121,45,43,NA,10,1,6,6,NA,NA,NA,1,11,6,NA,NA,NA,NA,NA,2,2,4,NA,2,NA,45,13,13,9,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,33,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,11,11,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,17,NA,1,NA,NA,NA,NA,NA,2,17,NA
