"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"1",1900,0.111487266895809,0.0760382813760352,0.0705952242972522,0.0699719975624351,0.0458099527353267,0.290062736773643,NA,0.140930377786578,NA,0.0794109487491164,0.0139271679978135,0.0363033653506905,0.0262474525329644,0.0221222245271544,0.0729551416276409,0.0497526967046224,0.0501630965941153,0.053236580742896,0.053236580742896,0.00635958378564597,0.0273400774653275,NA,0.0327636493887283,0.0325286450378474,0.055406805662302,0.240371851592495,0.0837680080868501,NA,0.0458000867380241,0.215592319164203,0.019944637839775,0.114022226567553,NA,0.00905767242129661,0.0604007236846303,NA,NA,NA,0.0152963734347843,NA,NA,NA,NA,NA,NA,NA,0.00512893245168962,0.0367429285784259,0.0552530439029329,0.00727926742872336,0.252284277772022,0.0225055253523029,0.123840656696689,0.113596319073553,0.0336357292257138,NA,0.0287698975958772,0.037990188093006,0.0243411439678729,NA,NA,0.084143139120393,NA,NA,0.14259185210724,0.022827290281003,0.740791794328333,1.12015334655056,1.0803906085442,NA,0.775162413179836,NA,NA,0.014711942092466,0.0149097105689588,NA,0.038280533098433,0.0580662511080738,NA,0.0165498130708921,0.00740144225459262,0.00380048552852795,0.0141354926326531,NA,0.365770853197561,0.180365812865402,NA,0.245122328805258,0.332880137990645,0.374897612232296,2.78586069766876,0.0209751818326897,NA
"2",1901,0.0157858077020614,0.00837426006344,0.00776885243462584,0.0074727376037552,0.00436285264145969,0.0353735044845906,NA,0.0201329111123683,0.0425768206046351,0.0132351581248527,0.00819245176341972,NA,NA,NA,NA,0.0103382226918696,0.00771739947601774,NA,NA,0.0127191675712919,0.0164040464791965,0.0103879690138434,0.00327636493887283,0.00325286450378474,0.0107735455454476,NA,0.0195458685535984,NA,0.00436191302266896,NA,0.00243227290728964,0.0116349210783217,0.0198321346287294,0.00181153448425932,NA,NA,NA,NA,0.0114722800760882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145585348574467,0.0485162072638504,NA,0.0412802188988963,NA,0.00480510417510198,NA,0.00958996586529241,NA,0.0182558579759047,NA,NA,0.084143139120393,NA,NA,0.0712959260536199,0.0114136451405015,0.123465299054722,0.186692224425093,0.180065101424034,NA,0.0227988945052893,NA,0.000914026786739324,NA,NA,NA,NA,0.00483885425900615,NA,NA,0.00185036056364816,0.000633414254754658,0.000974861560872628,NA,NA,NA,NA,NA,0.0332880137990645,NA,NA,0.0104875909163448,NA
"3",1902,0.0154569367082685,0.010049112076128,0.00911995720586512,0.00883141716807433,0.00254499737418482,0.0424482053815087,NA,NA,NA,0.0132351581248527,0.00245773552902592,NA,NA,NA,0.024318380542547,0.00775366701890219,0.00675272454151552,NA,NA,0.0127191675712919,0.00546801549306551,0.0103879690138434,0.00327636493887283,0.00325286450378474,0.00923446761038366,NA,0.0111690677449133,NA,0.00254444926322356,0.0239547021293558,0.000486454581457927,0.00698095264699303,NA,NA,NA,NA,NA,NA,0.00764818671739216,NA,NA,NA,NA,NA,NA,NA,0.000569881383521069,NA,0.0552530439029329,0.00727926742872336,0.00970324145277008,NA,0.0825604377977926,NA,0.00480510417510198,NA,NA,NA,0.00608528599196822,NA,NA,NA,NA,NA,0.14259185210724,NA,0.123465299054722,0.186692224425093,0.180065101424034,NA,0.0683966835158679,NA,NA,NA,NA,NA,0.00765610661968659,0.0193554170360246,NA,NA,0.00370072112729631,NA,0.00463059241414498,NA,NA,NA,NA,NA,NA,NA,NA,0.00887411539075332,NA
"4",1903,0.0217054855903345,0.0157436089192672,0.0151999286764419,0.0152851450985902,0.00545356580182461,0.0990458125568537,NA,0.0150996833342762,NA,NA,0.00491547105805183,0.024202243567127,NA,0.0110611122635772,NA,0.00710752810066034,0.00868207441051995,NA,NA,NA,0.00546801549306551,NA,0.00327636493887283,0.00325286450378474,0.00769538967531972,NA,0.00837680080868501,NA,0.0054523912783362,0.0359320531940338,0.00194581832583171,0.00465396843132868,NA,0.00181153448425932,NA,NA,NA,NA,0.00382409335869608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0776259316221607,NA,0.0412802188988963,NA,0.00480510417510198,NA,NA,NA,0.00608528599196822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227988945052893,NA,NA,0.014711942092466,0.0149097105689588,NA,0.00765610661968659,0.0096777085180123,NA,NA,0.00185036056364816,0.00190024276426397,0.00268086929239973,NA,NA,NA,0.100647303647182,0.0817074429350861,0.133152055196258,NA,0.557172139533753,0.00645390210236605,NA
"5",1904,0.0249941955282639,0.0170834905294176,0.0158754810620615,0.0159644848807498,0.0069078500156445,0.0636723080722631,NA,0.0201329111123683,0.0425768206046351,0.052940632499411,0.00163849035268394,0.024202243567127,NA,NA,NA,0.00904594485538589,0.0106114242795244,NA,NA,NA,NA,NA,NA,NA,0.0138517014155755,NA,0.0223381354898267,NA,0.00690636228589252,0.0119773510646779,0.00243227290728964,0.0232698421566434,0.0396642692574589,0.000905767242129662,NA,NA,NA,NA,0.0114722800760882,NA,NA,NA,NA,NA,NA,NA,0.000569881383521069,NA,NA,NA,0.0485162072638504,NA,0.165120875595585,NA,NA,NA,0.00958996586529241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0911955780211571,NA,NA,NA,NA,NA,NA,0.0677439596260861,NA,NA,0.00370072112729631,0.00190024276426397,0.00706774631632655,NA,NA,NA,NA,NA,0.066576027598129,NA,NA,0.00968085315354908,NA
"6",1905,0.0289406474537793,0.01674852012688,0.0162132572548713,0.0152851450985902,0.00618070790873455,0.056597607175345,NA,0.0201329111123683,NA,0.052940632499411,0.00409622588170986,0.0121011217835635,NA,NA,NA,0.00581525026417664,0.00675272454151552,0.053236580742896,0.053236580742896,0.00635958378564597,0.00546801549306551,NA,0.00655272987774565,0.00650572900756949,0.00615631174025577,NA,0.00558453387245667,NA,0.00617937678211436,0.0239547021293558,0.00291872748874756,0.0139619052939861,0.0396642692574589,0.00181153448425932,NA,NA,NA,NA,0.00382409335869608,NA,NA,NA,NA,NA,NA,0.0214659716945288,0.00113976276704214,NA,NA,0.00727926742872336,0.0388129658110803,NA,0.0825604377977926,NA,0.00961020835020395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679059144800972,1.02680723433801,0.990358057832186,NA,0.113994472526446,NA,NA,0.014711942092466,0.0149097105689588,NA,0.0153122132393732,0.0241942712950307,NA,NA,0.00185036056364816,NA,0.00365573085327235,NA,0.156758937084669,NA,NA,NA,0.0332880137990645,NA,0.278586069766876,0.00968085315354908,NA
"7",1906,0.0480151650937702,0.0308172770334592,0.0303998573528837,0.029551280523941,0.0181785526727487,0.0990458125568537,NA,0.0150996833342762,NA,0.052940632499411,0.00491547105805183,0.048404487134254,NA,NA,0.024318380542547,0.00323069459120925,0.00192934986900443,NA,NA,NA,0.00546801549306551,NA,0.00327636493887283,0.00325286450378474,0.00153907793506394,NA,NA,NA,0.018174637594454,0.0359320531940338,0.00243227290728964,0.0860984159795807,0.0198321346287294,0.00181153448425932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377589132711708,NA,0.00113976276704214,NA,NA,NA,0.0388129658110803,NA,0.577923064584548,NA,0.00480510417510198,NA,NA,NA,0.00608528599196822,NA,NA,NA,NA,NA,0.21388777816086,NA,1.48158358865667,2.24030669310112,2.16078121708841,NA,0.797961307685125,NA,0.000914026786739324,NA,NA,NA,0.00765610661968659,0.0241942712950307,NA,NA,0.00185036056364816,0.00190024276426397,0.00365573085327235,NA,NA,NA,NA,NA,NA,NA,0.278586069766876,0.0112943286791406,NA
"8",1907,0.0401222612427395,0.0231129577750944,0.0222932287254481,0.0213992031380263,0.0105435605501942,0.120269915247608,NA,0.0251661388904603,NA,0.0397054743745582,0.00655396141073578,NA,NA,NA,NA,0.00581525026417664,0.00675272454151552,NA,NA,NA,0.010936030986131,NA,0.00327636493887283,0.00650572900756949,0.00615631174025577,NA,0.00279226693622834,NA,0.0105412898047833,0.0479094042587117,0.00389163665166342,0.00930793686265737,NA,0.00271730172638898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0214659716945288,0.00113976276704214,0.0122476428594753,NA,NA,0.00970324145277008,NA,0.660483502382341,NA,NA,NA,NA,NA,0.0121705719839364,NA,NA,NA,NA,NA,NA,NA,0.246930598109444,0.373384448850186,0.360130202848068,NA,0.0227988945052893,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00185036056364816,NA,0.00292458468261788,NA,0.209011916112892,NA,NA,NA,0.066576027598129,NA,0.557172139533753,0.0185549685443024,NA
"9",1908,0.0766269415537566,0.0509155011857152,0.0476264431861845,0.0455157654046908,0.0218142632072984,0.191016924216789,NA,0.075498416671381,NA,0.172057055623086,0.00491547105805183,0.0121011217835635,0.0262474525329644,0.0221222245271544,0.024318380542547,0.0135689172830788,0.0106114242795244,0.159709742228688,0.159709742228688,NA,0.00546801549306551,0.0103879690138434,0.00655272987774565,0.00650572900756949,0.0138517014155755,0.240371851592495,0.0139613346811417,NA,0.0218095651133448,0.22756967022888,0.00875618246624269,0.0162888895096504,NA,0.00271730172638898,0.181202171053891,NA,NA,NA,0.00382409335869608,NA,NA,NA,NA,NA,0.0377589132711708,NA,0.00113976276704214,NA,0.0552530439029329,NA,0.135845380338781,NA,0.990725253573511,0.0567981595367767,0.00961020835020395,NA,0.00958996586529241,0.018995094046503,0.00608528599196822,NA,NA,0.0420715695601965,NA,NA,0.21388777816086,NA,0.987722392437777,1.4001916831882,1.35048826068025,0.244642672058552,0.0227988945052893,NA,NA,0.014711942092466,0.0149097105689588,NA,NA,0.00483885425900615,NA,NA,0.00185036056364816,0.00190024276426397,0.00243715390218157,NA,0.209011916112892,0.180365812865402,NA,0.163414885870172,0.0998640413971934,NA,0.278586069766876,0.0145212797303236,NA
"10",1909,0.0634721018020387,0.0418713003172,0.0408709193299881,0.0411000568206536,0.0163606974054738,0.304212138567479,NA,0.0503322777809207,0.0425768206046351,0.0794109487491164,0.00491547105805183,NA,NA,NA,0.024318380542547,0.00710752810066034,0.0057880496070133,NA,NA,NA,NA,NA,0.00655272987774565,0.00650572900756949,0.00615631174025577,NA,0.00558453387245667,NA,0.0163571738350086,0.155705563840813,0.00632390955895305,0.0209428579409791,NA,0.00271730172638898,NA,NA,NA,NA,0.00382409335869608,NA,NA,NA,NA,NA,NA,0.0429319433890576,0.00113976276704214,NA,NA,NA,0.0194064829055402,NA,1.36224722366358,NA,0.00961020835020395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0712959260536199,NA,0.679059144800972,1.02680723433801,0.990358057832186,NA,0.0911955780211571,NA,NA,NA,NA,NA,NA,0.0193554170360246,NA,NA,0.00370072112729631,NA,0.00414316163370867,NA,0.052252979028223,NA,NA,NA,NA,NA,0.557172139533753,0.0137145419675279,NA
