sitename,locator,latitude,longitude,site_type,area,geocoded_column
Jefferson Head,KSBP01D,NA,NA,Marine - Uncategorized,Central Puget Sound,
Jefferson Head,KSBP01V,NA,NA,Marine - Uncategorized,Central Puget Sound,
East Passage,NSEX01V,NA,NA,Marine - Uncategorized,Central Puget Sound,
Pritchard Island Beach,4903SB,47.529778,-122.26311,Swimming Beaches,Lake Washington,POINT (-122.26311 47.529778)
South Plant Outfall,LSEP01,47.6012001,-122.4260025,Marine Offshore,Central Puget Sound,POINT (-122.4260025 47.6012001)
Issaquah Creek upstream of hatchery,A631,47.52711111,-122.0384444,Streams and Rivers,Issaquah,POINT (-122.0384444 47.52711111)
Alki Outfall Beach,LSKR01,47.5746994,-122.4169998,Marine Intertidal,Central Puget Sound,POINT (-122.4169998 47.5746994)
Houghton Beach,A422SB,47.659447,-122.2075,Swimming Beaches,Lake Washington,POINT (-122.2075 47.659447)
Duwamish Head,LSFX01,47.59870806,-122.3879056,Marine Intertidal,Central Puget Sound,POINT (-122.3879056 47.59870806)
METRO,FFBLANK,NA,NA,Freshwater - Uncategorized,,
Lake Sammamish near Issaquah Creek,0614,47.56232,-122.06706,Large Lakes,Lake Sammamish,POINT (-122.06706 47.56232)
BELLEVUE  Enatai Park Beach,ENATAISB,47.578823,-122.19704,Swimming Beaches,Lake Washington,POINT (-122.19704 47.578823)
Raging River mouth near Dike Rd,RAGING_MTH,47.56694444,-121.8833333,Streams and Rivers,Raging River,POINT (-121.8833333 47.56694444)
Fauntleroy Cove Beach,LSVW01,47.5237999,-122.3939972,Marine Intertidal,Central Puget Sound,POINT (-122.3939972 47.5237999)
Lake Sammamish YSI Profiler Buoy,SAMMBUOY,47.580776,-122.09017,Large Lakes,Lake Sammamish,POINT (-122.09017 47.580776)
Cottage Lake Creek at Tolt Pipeline,N484,47.73644444,-122.0793611,Streams and Rivers,Cottage Lake Creek,POINT (-122.0793611 47.73644444)
Sammamish River mouth at 68th Ave NE,0450,47.75444444,-122.2499167,Streams and Rivers,Sammamish,POINT (-122.2499167 47.75444444)
Lake Washington near Henderson St,4903,47.522945,-122.262,Large Lakes,Lake Washington,POINT (-122.262 47.522945)
Seattle Aquarium,SEAQYSI,47.607858,-122.3435972,Marine Offshore,Central Puget Sound,POINT (-122.3435972 47.607858)
Forbes Creek backwater,0456,47.69691667,-122.2079444,Streams and Rivers,Forbes,POINT (-122.2079444 47.69691667)
Lake Washington off Chism Park,0847,47.601982,-122.23636,Large Lakes,Lake Washington,POINT (-122.23636 47.601982)
West Green Lake Swim Beach,A734WSB,47.682167,-122.33933,Swimming Beaches,Green Lake,POINT (-122.33933 47.682167)
Newcastle Beach,083930SB,47.56561,-122.191475,Swimming Beaches,Lake Washington,POINT (-122.191475 47.56561)
Christensen Creek mouth,VA23A,47.40295278,-122.5176111,Streams and Rivers,Christensen,POINT (-122.5176111 47.40295278)
Gene Coulon Park Beach,0828SB,47.5045,-122.202995,Swimming Beaches,Lake Washington,POINT (-122.202995 47.5045)
May Creek mouth at Lake Washington Blvd N,0440,47.52997222,-122.2013056,Streams and Rivers,May,POINT (-122.2013056 47.52997222)
Duwamish River - South Harbor Island,LTLF04,47.5670013,-122.3479996,Marine Offshore,Central Puget Sound,POINT (-122.3479996 47.5670013)
Tahlequah Creek mouth at SW Pohl Rd,VA37A,47.334575,-122.5086028,Streams and Rivers,Tahlequah,POINT (-122.5086028 47.334575)
Logboom Park,0801SB,47.757637,-122.26559,Swimming Beaches,Lake Washington,POINT (-122.26559 47.757637)
SAM Sculpture Park,LTBD27,47.6171989,-122.3580017,Marine Intertidal,Central Puget Sound,POINT (-122.3580017 47.6171989)
Constellation Park,LSKS01,47.5719986,-122.4140015,Marine Intertidal,Central Puget Sound,POINT (-122.4140015 47.5719986)
Duwamish at Spokane St Bridge,0305,47.569263,-122.351234,Streams and Rivers,Duwamish,POINT (-122.351234 47.569263)
Ship Canal under I-5 bridge,0536,47.653347,-122.32237,Large Lakes,Lake Union/Ship Canal,POINT (-122.32237 47.653347)
Lake Washington east of Mercer Island,0840,47.53871,-122.20633,Large Lakes,Lake Washington,POINT (-122.20633 47.53871)
Fey Bainbridge Park,KRJY01,47.7042007,-122.5059967,Marine Intertidal,Central Puget Sound,POINT (-122.5059967 47.7042007)
George Davis Creek mouth at E Lake Sammamish Pkwy,A690,47.61547222,-122.0681667,Streams and Rivers,George Davis,POINT (-122.0681667 47.61547222)
Sammamish River at NE 145th St,0450CC,47.73283333,-122.1455556,Streams and Rivers,Sammamish,POINT (-122.1455556 47.73283333)
Lake Union east shore,0532,47.642597,-122.33124,Large Lakes,Lake Union/Ship Canal,POINT (-122.33124 47.642597)
Sammamish River at NE Marymoor Way,0486,47.66236111,-122.1244444,Streams and Rivers,Sammamish,POINT (-122.1244444 47.66236111)
Coal Creek upstream of 119th Ave SE,0442,47.56641667,-122.1790833,Streams and Rivers,Coal,POINT (-122.1790833 47.56641667)
