CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Nitrite + Nitrate Nitrogen,1.64,mg/L,,0.01,0.04,,1.64,FALSE
2017-04-12T18:08:00Z,2017,4,L67511-4,321,NA,Nitrite + Nitrate Nitrogen,0.673,mg/L,,0.01,0.04,,0.673,FALSE
2017-04-12T18:08:00Z,2017,4,L67511-4,321,NA,Total Suspended Solids,2.6,mg/L,,0.5,1,,2.6,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Orthophosphate Phosphorus,0.213,mg/L,,0.005,0.02,,0.213,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Total Suspended Solids,7.6,mg/L,,0.5,1,,7.6,FALSE
2017-04-12T18:08:00Z,2017,4,L67511-4,321,NA,Orthophosphate Phosphorus,0.0211,mg/L,,5e-4,0.002,,0.0211,FALSE
2001-12-14T18:00:00Z,2001,12,L22976-26,322,NA,Nitrite + Nitrate Nitrogen,2.200392,mg/L,,0.02,0.04,,2.32,FALSE
2013-03-05T19:20:00Z,2013,3,L57468-8,322,NA,Orthophosphate Phosphorus,0.0555,mg/L,,0.002,0.005,,0.0555,FALSE
2004-09-13T20:23:00Z,2004,9,L32954-7,322,NA,Orthophosphate Phosphorus,0.050253120072910655,mg/L,,0.002,0.005,,0.0509,FALSE
2019-08-14T17:31:00Z,2019,8,L72764-4,321,NA,Total Suspended Solids,0.8,mg/L,<RDL,0.5,1,,0.8,FALSE
1982-01-21T08:00:00Z,1982,1,8215066,322,1,Total Suspended Solids,8.67,mg/L,,NA,NA,8.67||King County Nstream Database/RS3,8.67,FALSE
2009-06-01T18:56:00Z,2009,6,L48153-5,322,NA,Orthophosphate Phosphorus,0.0318,mg/L,,0.002,0.005,,0.0318,FALSE
1989-11-15T08:00:00Z,1989,11,8910511,322,1,Nitrite + Nitrate Nitrogen,2.4442980000000003,mg/L,,NA,NA,2.580||King County Nstream Database/B53311,2.58,FALSE
2013-06-04T18:29:00Z,2013,6,L58012-8,322,NA,Orthophosphate Phosphorus,0.0338,mg/L,,0.002,0.005,,0.0338,FALSE
1995-12-12T17:30:00Z,1995,12,L7505-4,321,NA,Nitrite + Nitrate Nitrogen,1.24353,mg/L,,0.05,0.1,,1.3,FALSE
2006-04-12T17:57:00Z,2006,4,L38672-7,322,NA,Orthophosphate Phosphorus,0.033934570171340536,mg/L,,0.002,0.005,,0.0334,FALSE
2005-09-14T17:10:00Z,2005,9,L36785-4,321,NA,Orthophosphate Phosphorus,0.03489589692642365,mg/L,,0.002,0.005,,0.0345,FALSE
1993-11-16T18:44:00Z,1993,11,L2467-7,321,NA,Orthophosphate Phosphorus,0.026435322017208565,mg/L,,0.002,0.005,,0.025,FALSE
1992-02-20T08:00:00Z,1992,2,9207198,322,1,Orthophosphate Phosphorus,0.19273292752433893,mg/L,,NA,NA,.200||King County Nstream Database/B40176,0.2,FALSE
1998-03-10T19:00:00Z,1998,3,L12825-7,322,NA,Total Suspended Solids,18.9,mg/L,,0.5,1,,18.9,FALSE
1997-10-02T18:24:00Z,1997,10,L11980-7,322,NA,Nitrite + Nitrate Nitrogen,1.384245,mg/L,,0.05,0.1,,1.45,FALSE
1994-11-08T19:15:00Z,1994,11,L4867-13,322,NA,Orthophosphate Phosphorus,0.042677716673934905,mg/L,,0.002,0.005,,0.0431,FALSE
1997-06-10T18:49:00Z,1997,6,L11276-7,322,NA,Nitrite + Nitrate Nitrogen,1.80639,mg/L,,0.05,0.1,,1.9,FALSE
1973-06-14T07:00:00Z,1973,6,7315469,322,1,Total Suspended Solids,7,mg/L,,NA,NA,7.00||King County Nstream Database/RBC,7,FALSE
2003-10-13T17:42:00Z,2003,10,L29849-4,321,NA,Nitrite + Nitrate Nitrogen,0.6741033,mg/L,,0.02,0.04,,0.693,FALSE
2012-06-04T18:38:00Z,2012,6,L55755-5,322,NA,Nitrite + Nitrate Nitrogen,1.35,mg/L,,0.01,0.04,,1.35,FALSE
2014-07-02T17:44:00Z,2014,7,L60576-5,321,NA,Orthophosphate Phosphorus,0.0205,mg/L,,5e-4,0.002,,0.0205,FALSE
1982-01-21T08:00:00Z,1982,1,8215065,321,1,Total Suspended Solids,5.67,mg/L,,NA,NA,5.67||King County Nstream Database/RS3,5.67,FALSE
1997-05-13T18:55:00Z,1997,5,L11070-7,322,NA,Nitrite + Nitrate Nitrogen,1.918962,mg/L,,0.05,0.1,,2.02,FALSE
2017-02-15T18:22:00Z,2017,2,L67023-4,321,NA,Nitrite + Nitrate Nitrogen,0.857,mg/L,,0.01,0.04,,0.857,FALSE
1995-03-09T19:25:00Z,1995,3,L5621-7,322,NA,Orthophosphate Phosphorus,0.1794720066208834,mg/L,,0.002,0.005,,0.186,FALSE
1991-08-20T07:00:00Z,1991,8,9111368,322,1,Orthophosphate Phosphorus,0.04049500775362021,mg/L,,NA,NA,.041||King County Nstream Database/B53311,0.041,FALSE
2013-11-05T19:05:00Z,2013,11,L59043-8,322,NA,Orthophosphate Phosphorus,0.089,mg/L,,0.005,0.02,,0.089,FALSE
2021-07-14T17:16:00Z,2021,7,L77285-16,322,NA,Nitrite + Nitrate Nitrogen,0.846,mg/L,,0.01,0.04,,0.846,FALSE
2013-11-07T19:05:00Z,2013,11,L59167-2,322,NA,Total Suspended Solids,40.8,mg/L,,1,2,,40.8,FALSE
1997-09-09T16:15:00Z,1997,9,L11820-12,322,NA,Nitrite + Nitrate Nitrogen,1.7688660000000003,mg/L,,0.05,0.1,,1.86,FALSE
