CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Ammonia Nitrogen,1.52,mg/L,,0.02,0.1,,1.52,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Nitrite + Nitrate Nitrogen,1.64,mg/L,,0.01,0.04,,1.64,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,"Conductivity, Field",167,umhos/cm,,0.5,10,,167,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,"pH, Field",7.83,pH,,NA,NA,,7.83,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,"Dissolved Oxygen, Field",11,mg/L,,0.5,1,,11,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Total Nitrogen,4.33,mg/L,,0.05,0.1,,4.33,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Orthophosphate Phosphorus,0.213,mg/L,,0.005,0.02,,0.213,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Total Suspended Solids,7.6,mg/L,,0.5,1,,7.6,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Total Alkalinity,57.9,mg CaCO3/L,,1,5,,57.9,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Total Phosphorus,0.402,mg/L,,0.005,0.01,,0.402,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Temperature,10.1,deg C,,NA,NA,,10.1,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Fecal Coliform,1300,CFU/100ml,,NA,NA,,1300,FALSE
2017-04-12T19:03:00Z,2017,4,L67511-7,322,NA,Turbidity,9.44,NTU,,0.2,0.5,,9.44,FALSE
2001-12-14T18:00:00Z,2001,12,L22976-26,322,NA,Nitrite + Nitrate Nitrogen,2.200392,mg/L,,0.02,0.04,,2.32,FALSE
1997-10-14T16:15:00Z,1997,10,L11963-7,322,NA,Ammonia Nitrogen,0.028,mg/L,<RDL,0.02,0.04,,0.028,FALSE
2013-03-05T19:20:00Z,2013,3,L57468-8,322,NA,Orthophosphate Phosphorus,0.0555,mg/L,,0.002,0.005,,0.0555,FALSE
2002-12-12T18:08:00Z,2002,12,L26467-11,322,NA,Fecal Coliform,3400,CFU/100ml,,NA,NA,,3400,FALSE
2005-08-10T17:13:00Z,2005,8,L36340-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
2004-09-13T20:23:00Z,2004,9,L32954-7,322,NA,Orthophosphate Phosphorus,0.050253120072910655,mg/L,,0.002,0.005,,0.0509,FALSE
2012-01-03T19:19:00Z,2012,1,L54851-5,322,NA,"pH, Field",7.58,pH,,NA,NA,,7.58,FALSE
2003-10-17T18:27:00Z,2003,10,L27769-11,322,NA,Fecal Coliform,130,CFU/100ml,,NA,NA,,130,FALSE
2003-11-18T23:09:00Z,2003,11,L30143-12,322,NA,E. coli,1000,CFU/100ml,,NA,NA,,1000,FALSE
1977-08-10T07:00:00Z,1977,8,7715267,322,1,"pH, Field",6.2,pH,,NA,NA,6.2||King County Nstream Database/BSN,6.2,FALSE
1993-12-13T18:50:00Z,1993,12,L2454-7,322,NA,Enterococcus,53,CFU/100ml,,NA,NA,,53,FALSE
2001-12-11T19:00:00Z,2001,12,L23019-7,322,NA,Total Phosphorus,0.34645554410857177,mg/L,,0.01,0.02,,0.294,FALSE
2004-12-07T19:45:00Z,2004,12,L34113-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
1996-01-17T17:40:00Z,1996,1,L7619-7,322,NA,Turbidity,4.2,NTU,,0.5,1,,4.2,FALSE
1982-01-21T08:00:00Z,1982,1,8215066,322,1,Total Suspended Solids,8.67,mg/L,,NA,NA,8.67||King County Nstream Database/RS3,8.67,FALSE
2001-12-14T10:00:00Z,2001,12,L22976-24,322,NA,E. coli,2400,CFU/100ml,,NA,NA,,2400,FALSE
2001-11-14T20:15:00Z,2001,11,L22470-7,322,NA,Conductivity,113,umhos/cm,,0.5,10,,113,FALSE
2003-08-12T17:49:00Z,2003,8,L29169-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
1989-08-02T07:00:00Z,1989,8,8907533,322,1,Dissolved Oxygen,10.8,mg/L,,NA,NA,10.80||King County Nstream Database/B53311,10.8,FALSE
1999-07-13T18:11:00Z,1999,7,L15911-7,322,NA,Ammonia Nitrogen,0.011,mg/L,<RDL,0.01,0.02,,0.011,FALSE
1991-01-30T08:00:00Z,1991,1,9104108,322,1,Total Phosphorus,0.0650850515040468,mg/L,,NA,NA,.072||King County Nstream Database/B53311,0.072,FALSE
2009-02-02T18:55:00Z,2009,2,L47318-5,322,NA,"Dissolved Oxygen, Field",12.3,mg/L,,0.5,1,,12.3,FALSE
2022-05-11T18:26:00Z,2022,5,L79129-7,322,NA,Temperature,10.9,deg C,,NA,NA,,10.9,FALSE
