CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Total Alkalinity,85.3,mg CaCO3/L,,1,5,,85.3,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Temperature,11,deg C,,NA,NA,,11,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,"pH, Field",8.05,pH,,NA,NA,,8.05,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Turbidity,3.69,NTU,,0.2,0.5,,3.69,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Orthophosphate Phosphorus,0.0384,mg/L,,5e-4,0.002,,0.0384,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Total Nitrogen,2.3,mg/L,,0.05,0.1,,2.3,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Silica,35.4,mg/L,,0.2,0.5,,35.4,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Total Suspended Solids,7.6,mg/L,,0.5,1,,7.6,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Total Phosphorus,0.0558,mg/L,,0.005,0.01,,0.0558,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Fecal Coliform,3,CFU/100ml,,NA,NA,,3,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,"Dissolved Oxygen, Field",11,mg/L,,0.5,1,,11,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Nitrite + Nitrate Nitrogen,2.22,mg/L,,0.01,0.04,,2.22,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,Ammonia Nitrogen,0.0113,mg/L,,0.002,0.01,,0.0113,FALSE
2017-04-11T21:40:00Z,2017,4,L67486-11,A499,NA,"Conductivity, Field",235,umhos/cm,,0.5,10,,235,FALSE
2007-08-06T22:00:00Z,2007,8,L43330-13,A499,NA,Orthophosphate Phosphorus,0.0502,mg/L,,0.002,0.005,,0.0502,FALSE
2008-07-07T21:10:00Z,2008,7,L45852-13,A499,NA,Total Phosphorus,0.0563,mg/L,,0.005,0.01,,0.0563,FALSE
2001-11-14T20:25:00Z,2001,11,L22468-10,A499,NA,Turbidity,22.4,NTU,,0.5,2,,22.4,FALSE
2000-10-09T19:53:00Z,2000,10,L18938-15,A499,NA,Ammonia Nitrogen,0.102,mg/L,,0.01,0.02,,0.102,FALSE
1994-08-10T21:10:00Z,1994,8,L4249-11,A499,NA,Temperature,14.4,deg C,,NA,NA,,14.4,FALSE
2018-01-09T22:17:00Z,2018,1,L69272-11,A499,NA,Orthophosphate Phosphorus,0.0296,mg/L,,5e-4,0.002,,0.0296,FALSE
2016-04-12T20:52:00Z,2016,4,L65153-11,A499,NA,Turbidity,5.82,NTU,,0.2,0.5,,5.82,FALSE
2018-10-09T20:20:00Z,2018,10,L71062-11,A499,NA,Silica,36.6,mg/L,,0.2,0.5,,36.6,FALSE
1982-08-18T07:00:00Z,1982,8,8215532,A499,1,Ammonia Nitrogen,0.021,mg/L,,NA,NA,.021||King County Nstream Database/RS4,0.021,FALSE
2003-01-15T20:49:00Z,2003,1,L26873-15,A499,NA,Orthophosphate Phosphorus,0.046856648148107194,mg/L,,0.002,0.005,,0.0474,FALSE
1986-04-16T08:00:00Z,1986,4,8604209,A499,1,Total Phosphorus,0.06606982819024372,mg/L,,NA,NA,.073||King County Nstream Database/B53311,0.073,FALSE
1982-07-21T07:00:00Z,1982,7,8215462,A499,1,Turbidity,2.2,NTU,,NA,NA,2.2||King County Nstream Database/RS4,2.2,FALSE
1993-04-12T19:20:00Z,1993,4,L811-11,A499,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
2015-04-14T21:25:00Z,2015,4,L62508-11,A499,NA,Total Nitrogen,2.46,mg/L,,0.05,0.1,,2.46,FALSE
2001-02-12T21:02:00Z,2001,2,L19751-15,A499,NA,Total Suspended Solids,11.4,mg/L,,0.5,1,,11.4,FALSE
1997-10-29T20:05:00Z,1997,10,L12030-10,A499,NA,Turbidity,4,NTU,,0.5,1,,4,FALSE
2007-03-05T21:17:00Z,2007,3,L41986-13,A499,NA,Orthophosphate Phosphorus,0.0496,mg/L,,0.002,0.005,,0.0496,FALSE
1998-01-05T20:40:00Z,1998,1,L12554-10,A499,NA,Ammonia Nitrogen,0.029,mg/L,<RDL,0.02,0.04,,0.029,FALSE
1993-06-14T20:15:00Z,1993,6,L1272-11,A499,NA,Enterococcus,540,CFU/100ml,,NA,NA,,540,FALSE
2001-02-12T21:02:00Z,2001,2,L19751-15,A499,NA,"Dissolved Oxygen, Field",12,mg/L,,NA,NA,,12,FALSE
2004-03-08T20:55:00Z,2004,3,L31214-15,A499,NA,Total Suspended Solids,8.8,mg/L,,0.5,1,,8.8,FALSE
2001-09-10T20:19:00Z,2001,9,L21987-15,A499,NA,Enterococcus,70,CFU/100ml,,NA,NA,,70,FALSE
2015-12-08T21:51:00Z,2015,12,L64297-11,A499,NA,Ammonia Nitrogen,0.0117,mg/L,,0.002,0.01,,0.0117,FALSE
2006-10-09T20:35:00Z,2006,10,L40571-13,A499,NA,Ammonia Nitrogen,0.013,mg/L,<RDL,0.01,0.02,,0.013,FALSE
1980-05-28T07:00:00Z,1980,5,8015337,A499,1,Total Phosphorus,0.172229277578367,mg/L,,NA,NA,.176||King County Nstream Database/RS2,0.176,FALSE
1995-09-18T19:10:00Z,1995,9,L6821-11,A499,NA,Conductivity,212,umhos/cm,,0.5,1,,212,FALSE
