"","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0470","0474","0478","0484","0486","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A680","A685","A690","B319","B484","BB470","C320","C370","C484","D320","D474","G320","KSHZ06","KTHA01","KTHA02","KTHA03","N484","S478","S484","X630","Year"
"10",374.579075,1126.2675,713.5035,1712.58,1173.1725,1281.054,962.1,319.7522,603.3899,1374.864,926.4522,774.48,631.6562,588.28205,175.4966,655.049,336.565775,771.6657,266.387375,805.90635,1381.89975,200.35145,1501.5075,NA,NA,765.099,NA,NA,NA,178.664375,422.0957,NA,509.33135,942.3999,634.19575,906.7521,718.194,222.2822,NA,NA,NA,NA,585.8453,NA,NA,NA,1979
"11",483.1665,1262.292,700.3701,1712.58,1206.006,1168.482,1055.91,684.4224,541.0091,1468.674,810.1278,546.8573,600.4658,466.9319,359.22755,885.1758,480.334025,618.9851,454.2608,712.5654,1309.197,359.22755,1628.151,NA,NA,900.1854,NA,NA,NA,251.03585,382.133,NA,502.0211,911.4426,429.8933,816.6945,679.7319,501.0464,NA,NA,NA,NA,607.2887,NA,NA,NA,1980
"12",399.921275,913.78785,618.0104,1712.58,1121.577,1187.244,1168.482,847.6518,582.43385,1327.959,942.3999,747.2751,841.0851,613.1369,377.2595,1055.91,506.8946,606.80135,354.8414,788.5515,1309.197,245.18765,1750.104,NA,NA,1102.815,NA,NA,NA,235.928,558.5537,NA,424.0451,990.243,857.0328,853.2804,NA,250.06115,NA,NA,NA,NA,642.3779,NA,412.3487,NA,1981
"13",378.87906,990.243,861.7233,2115.963,1229.4585,1238.8395,1271.673,388.9559,670.3509,1581.246,1023.0765,868.75905,765.0925,499.097,379.2089,864.5376,399.319774166667,462.0584,260.2955,904.8759,1407.6975,236.9027,1731.342,NA,NA,918.9474,NA,NA,NA,168.6737,448.89995,NA,582.9212,1060.6005,599.00375,884.2377,NA,194.9906,NA,NA,NA,NA,664.789,NA,448.89995,NA,1982
"14",325.7709725,686.2986,NA,1614.0795,1229.4585,1187.244,1032.4575,375.3101,591.20615,1285.7445,1004.3145,788.08245,620.44715,511.7681,276.37805,886.58295,297.3259775,389.9306,251.03585,710.6892,1154.4105,206.19965,1703.199,NA,NA,814.34925,NA,NA,NA,178.4207,400.16495,NA,390.41795,NA,570.2501,786.6753,NA,147.2303,NA,1524.96,NA,NA,731.3274,NA,464.49515,NA,1983
"15",369.5837375,675.2362,NA,1698.5085,1220.0775,1191.9345,1238.8395,796.64695,653.58695,1370.1735,985.5525,827.48265,702.9766,567.326,281.7389,883.2996,358.2122375,464.9825,329.4992,789.95865,1187.244,216.92135,1679.7465,NA,NA,927.85935,NA,NA,NA,209.6111,417.70955,NA,467.9066,NA,618.49775,835.4565,NA,335.3474,NA,NA,NA,NA,727.575,NA,521.5151,NA,1984
"16",335.591075,670.3509,NA,1843.914,1149.72,1177.863,1243.53,609.2381,691.9272,1384.245,900.1854,829.8279,774.48,519.5657,151.1291,818.5707,340.5458,499.097,249.5738,902.9997,1346.721,213.5099,2003.391,NA,NA,962.1,NA,NA,NA,172.5725,410.3993,NA,387.9812,NA,578.0477,990.243,NA,190.1171,NA,NA,NA,NA,882.3615,NA,478.6283,NA,1985
"17",360.175175,668.7244,NA,1918.962,1084.053,1149.72,1215.387,551.24345,614.1116,1318.578,912.3807,784.7991,597.5417,521.5151,173.05985,837.3327,484.593816666667,427.9439,265.169,880.95435,1346.721,182.80685,1642.2225,NA,NA,842.49225,NA,NA,NA,178.90805,425.9945,NA,466.9319,NA,562.93985,949.9047,NA,218.3834,NA,NA,NA,NA,812.9421,NA,507.38195,NA,1986
"18",388.46855,641.4032,NA,1679.7465,1116.8865,1248.2205,1342.0305,354.8414,612.64955,1379.5545,994.9335,818.10165,708.813,653.65315,97.03325,706.702275,412.6736,480.5777,296.84675,851.4042,1313.8875,189.62975,1904.8905,NA,NA,729.4512,237.39005,NA,1590.627,194.50325,399.6776,NA,682.47325,NA,682.8325,966.7905,NA,120.9134,NA,NA,NA,NA,916.60215,NA,571.71215,NA,1987
"19",370.8021125,528.338,NA,1637.532,1041.8385,1093.434,1196.625,613.1369,582.9212,1309.197,918.9474,777.2943,864.5376,632.669775,122.8628,782.9229,390.5804,514.6922,276.8654,883.2996,1154.4105,226.181,1726.6515,NA,NA,851.4042,NA,NA,NA,178.4207,443.05175,NA,401.627,NA,705.52965,1046.529,NA,248.5991,1224.768,NA,1243.53,1262.292,673.63425,NA,589.25675,NA,1988
"20",417.2222,619.401525,NA,1811.0805,1051.2195,1088.7435,1252.911,881.9755,787.323125,1501.5075,859.8471,803.5611,841.71235,583.40855,191.0918,980.39295,424.0451,682.07715,303.1823,935.8332,1208.35125,237.633725,1825.152,NA,NA,1046.529,NA,NA,NA,211.5605,465.9572,NA,614.1116,NA,667.71115,1084.053,NA,284.663,1215.387,NA,1285.7445,1252.911,784.7991,NA,703.1844,NA,1989
"21",323.651,421.121,NA,1712.58,938.6475,1149.72,943.338,587.398333333333,500.0717,1243.53,643.858,591.6935,675.9795,567.326,304.157,727.575,313.904,469.856,294.41,868.29,1051.2195,196.94,1806.39,NA,NA,727.575,NA,NA,NA,203.438,294.41,NA,460.109,NA,604.321,1055.91,NA,148.205,1290.435,NA,1196.625,1243.53,840.147,NA,577.073,NA,1990
"22",352.892,489.35,NA,1571.865,1149.72,1290.435,1431.15,425.9945,696.677,1478.055,844.8375,830.766,835.4565,582.601666666667,279.7895,765.099,367.5125,713.5035,274.916,812.004,1196.625,209.12375,1900.2,NA,NA,877.671,NA,NA,NA,196.94,270.0425,NA,736.956,NA,620.9345,943.338,NA,206.687,1431.15,NA,1431.15,1337.34,863.5995,NA,577.073,NA,1991
"23",294.41,425.9945,NA,1626.5875,889.39725,1079.3625,1290.435,406.5005,518.591,1290.435,671.818,676.244,613.62425,484.4765,143.3315,708.813,270.0425,663.169,231.0545,826.0755,1149.72,172.5725,1712.58,NA,NA,807.3135,NA,NA,NA,182.3195,196.94,NA,802.623,NA,547.832,1055.91,NA,143.3315,1243.53,NA,1337.34,1290.435,704.1225,NA,547.832,NA,1992
"24",309.0305,494.2235,708.813,1829.8425,1033.3525,1055.91,1149.72,765.099,577.073,1337.34,760.856,807.3135,734.41775,550.26875,167.699,910.5045,267.60575,479.603,192.0665,924.576,1137.212,187.193,1900.2,NA,NA,962.1,NA,NA,NA,148.205,313.904,NA,620.9345,746.337,591.6935,1102.815,NA,352.892,1290.435,NA,1337.34,1290.435,727.575,NA,533.2115,NA,1993
"25",340.70825,439.15295,812.004,1801.6995,963.9762,1048.87425,1257.6015,905.755125,524.92655,1351.4115,925.5141,792.3039,761.112075,632.753683333333,180.85745,1098.59355,352.892,499.58435,284.663,974.76435,1215.387,255.422,1900.2,NA,NA,986.02155,NA,NA,NA,191.57915,275.40335,NA,704.1225,831.7041,726.16785,1290.435,NA,187.193,1412.388,NA,1417.0785,1304.5065,732.2655,NA,688.98505,NA,1994
"26",378.2342,435.497825,838.2708,1921.30725,1012.26723333333,1074.672,1148.078325,665.02075,427.700225,1051.2195,711.6273,822.557625,739.58405,514.20485,204.25025,891.0385,366.05045,373.84805,289.5365,1013.6955,1122.280575,230.810825,1839.2235,898.77825,NA,943.338,379.452575,NA,1904.8905,217.89605,245.675,NA,943.338,870.63525,756.6561,1220.0775,NA,190.1171,1449.912,NA,1529.6505,1407.6975,936.7713,NA,597.05435,NA,1995
"27",394.8041,568.3007,779.1705,2026.06175,1119.23175,1248.2205,1449.912,902.475266666667,548.8067,1496.817,804.4992,826.54455,755.24895,492.76145,337.78415,886.348425,386.0318,503.48315,308.0558,973.82625,1177.863,238.36475,2069.058,976.4842,612.1622,1018.386,469.36865,1252.911,1706.326,199.8641,251.03585,NA,970.5429,980.862,653.58695,1055.91,NA,283.6883,1564.82925,NA,1637.532,1463.9835,885.64485,NA,617.0357,NA,1996
"28",356.7908,426.6443,657.86035,1987.756,1323.2685,1290.435,1037.148,605.971966666667,638.235425,1567.1745,817.867125,838.73985,850.93515,525.57635,310.0052,871.1043,377.503175,451.0118,288.07445,802.15395,1403.007,231.0545,2181.63,858.91055,568.3007,1009.005,532.72415,1198.97025,1689.1275,208.392725,244.7003,NA,542.47115,1069.9815,717.2559,1023.0765,NA,249.5738,1686.78225,NA,1679.7465,1506.198,720.0702,NA,454.74815,900.1854,1997
"29",372.386,511.28075,678.32475,1635.18675,1229.4585,1208.35125,1098.1245,530.2874,648.83455,1370.1735,733.67265,859.8471,793.08565,530.043725,193.0412,907.22115,385.300775,583.42575,288.5618,840.147,1300.14483333333,195.9653,2040.915,742.5846,588.7694,904.2505,440.615,1420.98725,1886.1285,204.25025,244.7003,NA,698.96295,1055.91,630.6815,1037.148,NA,154.0532,1506.198,1984.629,1571.865,1440.531,748.2132,NA,530.2874,700.42655,1998
"30",357.7655,459.62165,757.5942,1590.627,1163.7915,1084.053,1177.863,509.672175,627.27005,1342.0305,675.32095,803.09205,767.44425,527.3633,328.5245,850.93515,377.74685,585.92415,310.9799,925.5141,1220.0775,196.45265,2148.7965,729.039575,602.4152,1299.816,520.5404,1318.578,1890.819,230.56715,263.70695,884.2377,833.11125,1206.006,618.741425,1234.149,814.8183,142.3568,1534.341,1595.3175,1600.008,1435.8405,706.46775,NA,558.797375,904.677125,1999
