"","Locator","YRBUILT","ParcelsBuilt","ParcelsBuiltCume","ParcelsBuiltPer100Acres","ParcelsBuiltPer100AcresCume"
"1","0305",1900,339,339,0.111487266895809,0.111487266895809
"2","0305",1901,48,387,0.0157858077020614,0.12727307459787
"3","0305",1902,47,434,0.0154569367082685,0.142730011306139
"4","0305",1903,66,500,0.0217054855903345,0.164435496896473
"5","0305",1904,76,576,0.0249941955282639,0.189429692424737
"6","0305",1905,88,664,0.0289406474537793,0.218370339878517
"7","0305",1906,146,810,0.0480151650937702,0.266385504972287
"8","0305",1907,122,932,0.0401222612427395,0.306507766215026
"9","0305",1908,233,1165,0.0766269415537566,0.383134707768783
"10","0305",1909,193,1358,0.0634721018020387,0.446606809570821
"11","0305",1910,343,1701,0.112802750870981,0.559409560441802
"12","0305",1911,136,1837,0.0447264551558407,0.604136015597643
"13","0305",1912,206,2043,0.067747424721347,0.67188344031899
"14","0305",1913,214,2257,0.0703783926716906,0.74226183299068
"15","0305",1914,118,2375,0.0388067772675677,0.781068610258248
"16","0305",1915,144,2519,0.0473574231061843,0.828426033364432
"17","0305",1916,132,2651,0.043410971180669,0.871837004545101
"18","0305",1917,88,2739,0.0289406474537793,0.900777651998881
"19","0305",1918,346,3085,0.11378936385236,1.01456701585124
"20","0305",1919,236,3321,0.0776135545351354,1.09218057038638
"21","0305",1920,427,3748,0.140427914349588,1.23260848473596
"22","0305",1921,198,3946,0.0651164567710034,1.29772494150697
"23","0305",1922,271,4217,0.0891240393178885,1.38684898082486
"24","0305",1923,214,4431,0.0703783926716906,1.45722737349655
"25","0305",1924,242,4673,0.0795867804978931,1.53681415399444
"26","0305",1925,264,4937,0.0868219423613379,1.62363609635578
"27","0305",1926,255,5192,0.0838621034172014,1.70749819977298
"28","0305",1927,226,5418,0.0743248445972059,1.78182304437018
"29","0305",1928,319,5737,0.10490984701995,1.88673289139013
"30","0305",1929,211,5948,0.0693917796903117,1.95612467108045
"31","0305",1930,394,6342,0.129575171554421,2.08569984263487
"32","0305",1931,185,6527,0.0608411338516951,2.14654097648656
"33","0305",1932,175,6702,0.0575524239137657,2.20409340040033
"34","0305",1933,108,6810,0.0355180673296382,2.23961146772997
"35","0305",1934,129,6939,0.0424243581992901,2.28203582592926
"36","0305",1935,150,7089,0.049330649068942,2.3313664749982
"37","0305",1936,241,7330,0.0792579095041001,2.4106243845023
"38","0305",1937,246,7576,0.0809022644730649,2.49152664897536
"39","0305",1938,299,7875,0.098332427144091,2.58985907611945
"40","0305",1939,295,8170,0.0970169431689192,2.68687601928837
"41","0305",1940,533,8703,0.175288239691641,2.86216425898001
"42","0305",1941,784,9487,0.25783485913367,3.11999911811368
"43","0305",1942,796,10283,0.261781311059185,3.38178042917287
"44","0305",1943,689,10972,0.22659211472334,3.60837254389621
"45","0305",1944,414,11386,0.13615259143028,3.74452513532649
"46","0305",1945,305,11691,0.100305653106849,3.84483078843334
"47","0305",1946,418,12109,0.137468075405452,3.98229886383879
"48","0305",1947,781,12890,0.256848246152291,4.23914710999108
"49","0305",1948,736,13626,0.242049051431609,4.48119616142269
"50","0305",1949,628,14254,0.20653098410197,4.68772714552466
"51","0305",1950,821,15075,0.270003085904009,4.95773023142867
"52","0305",1951,530,15605,0.174301626710262,5.13203185813893
"53","0305",1952,642,16247,0.211135178015072,5.343167036154
"54","0305",1953,691,16938,0.227249856710926,5.57041689286493
"55","0305",1954,946,17884,0.311111960128127,5.88152885299306
"56","0305",1955,1024,18908,0.336763897643977,6.21829275063703
"57","0305",1956,758,19666,0.249284213295054,6.46757696393209
"58","0305",1957,826,20492,0.271647440872974,6.73922440480506
"59","0305",1958,994,21486,0.326897767830189,7.06612217263525
"60","0305",1959,1419,22905,0.466667940192191,7.53279011282744
"61","0305",1960,1101,24006,0.362086964166034,7.89487707699348
"62","0305",1961,1224,25230,0.402538096402567,8.29741517339604
"63","0305",1962,1949,27179,0.640969566902453,8.9383847402985
"64","0305",1963,1556,28735,0.511723266341825,9.45010800664032
"65","0305",1964,1023,29758,0.336435026650184,9.7865430332905
"66","0305",1965,1128,30886,0.370966480998444,10.1575095142889
"67","0305",1966,1580,32466,0.519616170192856,10.6771256844818
"68","0305",1967,2134,34600,0.701810700754148,11.378936385236
"69","0305",1968,2556,37156,0.840594260134771,12.2195306453707
"70","0305",1969,2006,39162,0.659715213548651,12.8792458589194
"71","0305",1970,1010,40172,0.332159703730876,13.2114055626503
"72","0305",1971,481,40653,0.158186948014407,13.3695925106647
"73","0305",1972,500,41153,0.164435496896473,13.5340280075611
"74","0305",1973,698,41851,0.229551953667477,13.7635799612286
"75","0305",1974,861,42712,0.283157925655727,14.0467378868843
"76","0305",1975,1157,43869,0.380503739818439,14.4272416267028
"77","0305",1976,1461,45330,0.480480521931495,14.9077221486343
"78","0305",1977,2299,47629,0.756074414729984,15.6637965633643
"79","0305",1978,2424,50053,0.797183288954103,16.4609798523184
"80","0305",1979,1683,51736,0.553489882553529,17.0144697348719
"81","0305",1980,1601,53337,0.526522461062507,17.5409921959344
"82","0305",1981,1510,54847,0.496595200627349,18.0375873965617
"83","0305",1982,569,55416,0.187127595468187,18.2247149920299
"84","0305",1983,1330,56746,0.437398421744619,18.6621134137745
"85","0305",1984,1366,58112,0.449237777521165,19.1113511912957
"86","0305",1985,1364,59476,0.448580035533579,19.5599312268293
"87","0305",1986,1476,60952,0.485413586838389,20.0453448136677
"88","0305",1987,1572,62524,0.516985202242512,20.5623300159102
"89","0305",1988,1580,64104,0.519616170192856,21.081946186103
"90","0305",1989,1647,65751,0.541650526776983,21.62359671288
"91","0305",1990,2265,68016,0.744892800941024,22.3684895138211
"92","0305",1991,1367,69383,0.449566648514958,22.818056162336
"93","0305",1992,1663,71046,0.54691246267767,23.3649686250137
"94","0305",1993,1421,72467,0.467325682179777,23.8322943071935
"95","0305",1994,1826,74293,0.60051843466592,24.4328127418594
"96","0305",1995,1046,75339,0.343999059507422,24.7768118013668
"97","0305",1996,1190,76529,0.391356482613606,25.1681682839804
"98","0305",1997,1090,77619,0.358469383234312,25.5266376672147
"99","0305",1998,1222,78841,0.401880354414981,25.9285180216297
"100","0305",1999,1162,80003,0.382148094787404,26.3106661164171
"101","0305",2000,874,80877,0.287433248575035,26.5980993649921
"102","0305",2001,1191,82068,0.391685353607399,26.9897847185995
"103","0305",2002,1356,83424,0.445949067583236,27.4357337861828
"104","0305",2003,1897,85321,0.62386827522522,28.059602061408
"105","0305",2004,1932,87253,0.635378760007973,28.694980821416
"106","0305",2005,1807,89060,0.594269885783854,29.2892507071998
"107","0305",2006,1784,90844,0.586705852926617,29.8759565601264
"108","0305",2007,1318,92162,0.433451969819104,30.3094085299455
"109","0305",2008,928,93090,0.305192282239854,30.6146008121854
"110","0305",2009,593,93683,0.195020499319217,30.8096213115046
"111","0305",2010,572,94255,0.188114208449565,30.9977355199542
"112","0305",2011,604,94859,0.19863808025094,31.1963736002051
"113","0305",2012,863,95722,0.283815667643313,31.4801892678484
"114","0305",2013,849,96571,0.279211473730212,31.7594007415786
"115","0305",2014,717,97288,0.235800502549543,31.9952012441282
"116","0305",2015,654,97942,0.215081629940587,32.2102828740688
"117","0305",2016,739,98681,0.243035664412988,32.4533185384818
"118","0305",2017,855,99536,0.281184699692969,32.7345032381747
"119","0305",2018,1115,100651,0.366691158079135,33.1011943962539
"120","0305",2019,1024,101675,0.336763897643977,33.4379582938978
