"","Locator","min_year","max_year"
"1","0305",1900,2022
"2","0307",1900,2022
"3","0308",1900,2022
"4","0309",1900,2022
"5","0311",1900,2022
"6","0317",1900,2022
"7","0321",1923,2022
"8","0322",1900,2022
"9","0430",1897,2021
"10","0434",1900,2022
"11","0438",1900,2022
"12","0440",1900,2022
"13","0442",1900,2022
"14","0444",1900,2022
"15","0446",1900,2022
"16","0450",1873,2022
"17","0450CC",1894,2022
"18","0456",1900,2022
"19","0456A",1900,2022
"20","0470",1897,2022
"21","0474",1873,2020
"22","0478",1901,2020
"23","0484",1900,2022
"24","0484A",1900,2022
"25","0486",1894,2022
"26","0498",1900,2021
"27","0631",1900,2021
"28","0632",1910,2021
"29","3106",1900,2022
"30","A315",1900,2021
"31","A319",1900,2022
"32","A320",1900,2022
"33","A432",1901,2021
"34","A438",1900,2021
"35","A456",1900,2022
"36","A499",1947,2021
"37","A617",1925,2021
"38","A620",1920,2021
"39","A631",1900,2021
"40","A632",1910,2021
"41","A670",1918,2021
"42","A680",1911,2021
"43","A685",1894,2020
"44","A687",1930,2020
"45","A690",1906,2021
"46","AMES_1",1905,2021
"47","B319",1900,2022
"48","B484",1900,2022
"49","B499",1900,2021
"50","BB470",1897,2018
"51","BSE_1MUDMTNRD",1900,2022
"52","C320",1900,2022
"53","C370",1900,2022
"54","C446",1900,2021
"55","C484",1900,2022
"56","CHERRY_1",1923,2021
"57","D320",1900,2022
"58","D444",1900,2021
"59","D474",1890,2018
"60","F321",1935,2022
"61","FF321",1935,2022
"62","G320",1900,2022
"63","GRIFFIN",1980,2021
"64","HARRIS_1",1915,2021
"65","J370",1900,2022
"66","J484",1900,2021
"67","KSHZ06",1900,2022
"68","KTHA01",1900,2021
"69","KTHA02",1900,2021
"70","KTHA03",1908,2022
"71","LSIN1",1900,2021
"72","LSIN9",1920,2021
"73","MFK_SNQ",1901,2022
"74","N484",1900,2021
"75","N484A",1900,2021
"76","NFK_SNQ",1910,2022
"77","PATTER_3",1900,2021
"78","RAGING_MTH",1900,2021
"79","S478",1920,2018
"80","S484",1900,2022
"81","SFK_SNQ",1900,2022
"82","SKYKOMISH",1900,2020
"83","SNQDUVALL",1900,2022
"84","TOLT_MTH",1912,2021
"85","VA12A",1900,2021
"86","VA23A",1900,2019
"87","VA37A",1903,2021
"88","VA41A",1900,2019
"89","VA42A",1900,2021
"90","VA45A",1900,2019
"91","VA65A",1900,2017
"92","X438",1900,2022
"93","X630",1920,2021
