"","Description","R_Squared","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Total Developed + Deciduous Forest + Open Water",0.334032589394641,1065.16839599592,0.650153765658501,254.127957068783,6.04266584085569,39.9291183650203,-65.0066715338578,1
"2","Total Developed + Deciduous Forest + Total Agricultural",0.303179420126955,1068.42907609649,0.127341040701957,105.314168067628,7.09088464440042,41.8791129606409,12.5682558277955,0.195862959546164
"3","Total Developed + Deciduous Forest",0.282614802917203,1068.52319399617,0.121487320260996,161.732148068806,6.46247464500624,43.1845666188855,NA,0.186859365703972
"4","Total Developed + Deciduous Forest + Total Wetlands",0.296353783007679,1069.13091317688,0.0896533266983038,263.316830845945,6.22891903437412,38.8766682229633,-27.1176385537127,0.137895573991638
"5","Total Developed + Open Water",0.222193208551715,1074.34549001834,0.00661051713634897,470.018184350582,5.10977904958211,-76.5348418213067,NA,0.0101676210852268
"6","Total Developed + Total Wetlands",0.198212589124415,1076.53179490953,0.00221556941050157,523.534010501864,5.27036109243788,-48.5823534247401,NA,0.00340776217493343
"7","Total Developed + Total Agricultural",0.179076734121041,1078.22999712357,0.000947819053902244,305.773873482651,6.30088485235464,14.9325393135562,NA,0.00145783828990401
"8","Total Developed Area",0.149876111870983,1078.74657343249,0.000732069502455814,380.668325582873,5.52042631677897,NA,NA,0.0011259944048995
"9","Developed, Medium Intensity",0.138393486531417,1079.71256834059,0.000451636658689314,498.134103451579,10.2059954157714,NA,NA,0.000694661297903703
"10","Total Forested Area",0.132361827346652,1080.21484685098,0.000351334495717342,901.710492675138,-6.08189751892472,NA,NA,0.000540386773521947
"11","Deciduous Forest",0.0837605493702948,1084.13906022481,4.93842754109441e-05,515.605102898999,33.7539465023583,NA,NA,7.59578395441973e-05
"12","Developed, High Intensity",0.017098159355775,1089.19572957413,3.94045968310991e-06,609.015292203783,9.10850899729081,NA,NA,6.06081190519424e-06
"13","Total Agricultural Area",0.00199360951554273,1090.29375991092,2.27568753275954e-06,641.574778391198,3.71578961353525,NA,NA,3.50022971943357e-06
