Year,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,100.48700244358064,101.51190827630643,99.2041092850577,NA,NA,NA,NA,NA,NA,NA,NA,96.05198644991836,99.28493474682377,97.541029443418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.8044633589299,94.91533083282076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.54512977434585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,110.23562479964535,101.69484207449129,92.69708081501142,NA,NA,NA,NA,NA,NA,NA,NA,93.58745993511013,103.30549049130909,98.53881438422502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.96732487349921,107.50278817866533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.58976403152776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,93.3146870257865,NA,NA,NA,NA,NA,NA,NA,87.31744652580595,89.60367745103775,93.88448598915464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.03092398813328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.69367017325128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,78.85439428827088,NA,NA,NA,NA,NA,103.15853689505172,NA,NA,NA,97.83463208952683,90.49140576863114,NA,NA,NA,NA,NA,NA,100.52320945633646,NA,NA,NA,NA,97.35634359122072,NA,NA,99.39172322046522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.38075983911614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,92.27022972622773,NA,NA,NA,NA,NA,101.87060479141392,NA,NA,NA,91.1914034804988,90.7500429535384,NA,NA,NA,NA,NA,NA,93.87501943603453,NA,NA,NA,NA,99.53562836542183,NA,NA,98.45321586149619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.14651958491217,NA,NA,NA,NA,NA,NA,90.61060129432727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,87.87731927417639,NA,NA,NA,NA,NA,100.32013172454077,101.79315930911154,NA,NA,NA,96.5806630292309,NA,NA,NA,NA,NA,NA,87.29836482509437,NA,NA,NA,NA,97.81260615865631,NA,NA,99.26420454612878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.88608848036587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,90.0109028985966,62.50017887249686,82.6786343106008,82.3679804188863,94.68393640973754,87.67408813492601,101.18571628117483,95.96292753025574,94.33258302376547,85.32846091035266,85.00032380855609,87.36863391103908,NA,87.18490283889166,93.63544029751736,86.88221950470945,84.58771746174054,NA,93.72472747460054,81.25966646777123,88.40903829894103,82.3402244813053,79.24680467014669,97.80505182610393,81.87169952288306,90.7083686490972,96.4043439474169,91.47918057031129,87.2462127324642,NA,NA,83.07183006529857,91.32637952966837,NA,NA,NA,NA,NA,NA,100.8144587084465,89.66565100365499,NA,NA,NA,80.63391767322555,93.54189565038659,97.18301826001043,84.4123044727176,NA,85.93178836595607,100.74188600025842,88.53040353657602,NA,81.32754277148986,NA,NA,NA,84.81827495684115,NA,NA,NA,NA,NA,NA,89.47861973468957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
