Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1970,5.634789603169249,5.389849644182411,NA,5.1340653330620185,4.534929842216207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.633318433280377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,6.024676114367422,6.437799203792354,NA,5.095987338744772,5.072707779598297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.119660813488769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.130115044610976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,5.8071897800857,5.804963497877063,5.647996586827649,5.079401177406934,4.561581839201898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.676827536853698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.544099019970504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,5.324136953911411,5.039337561715614,5.1484486903737094,4.924290059766262,4.1057742914971165,NA,3.860128382884543,5.453894580866498,4.787491742782046,NA,NA,NA,NA,NA,NA,NA,NA,5.302053373967388,6.461468176353717,4.700480365792417,NA,NA,NA,NA,NA,NA,3.8242787747221225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.995732273553991,6.069966421512815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.347253334543219,NA,NA,NA,NA,NA,4.760447141814091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,5.5069790522564475,5.099643107710977,5.367398382494271,4.396530473574467,3.712415170574884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.483201945698495,NA,NA,NA,NA,NA,NA,NA,3.43102419433199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.941642422609304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,5.299013272079684,5.272670719354261,6.458669087569513,5.285599283954598,4.632500351965458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.740565288378873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.915848344148557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,4.770584314355235,5.294062615255639,NA,4.993651486614052,4.1306400646832255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.754917836155106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.397972192695229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,4.0745762446415,5.2040979537339735,NA,5.517288695857816,3.9363576720501285,NA,NA,NA,NA,NA,3.684410052529306,NA,NA,NA,5.298317366548036,5.632232052835864,NA,NA,NA,NA,NA,NA,2.995732273553991,NA,NA,NA,3.945501835156994,NA,3.3062480413222586,NA,NA,3.4552021247643934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.995732273553991,NA,NA,NA,NA,NA,NA,5.247024072160486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.552489928159178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,4.730430665745571,4.867534450455582,NA,4.743953769144809,4.49733942050185,NA,NA,6.013916332027897,NA,NA,3.5760128270521054,5.001666443752923,NA,NA,NA,5.66871850177909,NA,NA,NA,NA,NA,NA,2.962127898707266,NA,NA,NA,4.3464016190220605,NA,3.0079298145963493,NA,NA,3.0546237913821823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.302585092994046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.010632711701815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,4.573230478779664,4.851475086316347,NA,5.110890629024601,4.780617121775575,7.265429723253953,3.4011973816621555,5.940171252720432,5.886104031450156,5.8289456176102075,3.788640589190247,4.0058433645639235,4.007333185232471,6.0867747269123065,5.438079308923196,5.594065778470652,NA,5.220355825078324,6.063785208687608,5.598421958998375,5.8289456176102075,NA,2.9747781520307135,5.703782474656201,5.247024072160486,4.867534450455582,4.670439891802394,5.703782474656201,3.8820112462847822,4.204692619390966,5.886104031450156,3.187424603661631,5.298317366548036,2.995732273553991,NA,NA,5.075173815233827,4.941642422609304,NA,NA,NA,NA,NA,NA,2.5249280036247685,5.651102216827288,NA,NA,NA,3.332204510175204,5.0106352940962555,5.91350300563827,5.560681631015528,NA,4.07753744390572,NA,5.8289456176102075,NA,5.991464547107982,NA,NA,NA,4.941642422609304,NA,5.144993743813362,NA,NA,NA,NA,5.075173815233827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
