Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1970,10.3,11.2,NA,10.9,10.149999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,11.024999999999999,11,NA,10.383333333333333,9.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,9.575,9.425,8.983333333333334,9.283333333333333,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.816666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,9.6,9.633333333333333,10.55,10.25,9.758333333333333,NA,9,8,11.05,NA,NA,NA,NA,NA,NA,NA,NA,10.75,11.95,10.75,NA,NA,NA,NA,NA,NA,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.233333333333333,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,10.350000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,9.4375,9.5875,9,8.725,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,10.325,10.787500000000001,10.275,10.45,9.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,9.55,8.95,NA,8.850000000000001,8.558333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.341666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,11.125,11.075,NA,10.925,9.85,NA,NA,NA,NA,NA,10.3,NA,NA,NA,8.2,11.9,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA,10.05,NA,10.325,NA,NA,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,11.325000000000001,11.15,NA,10.875,10.541666666666666,NA,NA,9.5,NA,NA,9.2,12.1,NA,NA,NA,11.675,NA,NA,NA,NA,NA,NA,12.475000000000001,NA,NA,NA,10.7,NA,9.6,NA,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,10.825,11.125,NA,10.850000000000001,10.3,14.5,10,12.8,12.1,14.2,9.875,10.2,12.8,14.6,12.1,12.4,NA,14.25,14.3,13.15,13.8,NA,12.175,14.1,11.2,11,10.274999999999999,12.5,9.275,12,12.2,9.425,12.1,11.2,NA,NA,11,10.8,NA,NA,NA,NA,NA,NA,8.8,13,NA,NA,NA,10.3,13,12.7,13.75,NA,10.3,NA,13.600000000000001,NA,13.5,NA,NA,NA,13.8,NA,10.325,NA,NA,NA,NA,12.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,9.3,9.600000000000001,NA,9.1,10,12.45,9.85,9.55,10.15,10.4,7.35,11.45,11.2,10.5,10.5,8.6,NA,11.45,11.2,10.25,11,NA,8.8,12.8,9.5,10.2,10.083333333333334,11.65,6.8,10.15,11,7.2,11.4,10.95,NA,NA,8.8,9.6,NA,NA,NA,NA,NA,NA,6.575,10.5,NA,NA,NA,10.1,11.1,10.85,10.7,NA,10.2,13,10.8,NA,9.75,NA,NA,NA,11.1,NA,12.024999999999999,NA,NA,NA,NA,11.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,12.15,12,NA,11.75,9.725,12.3,10.5,10.5,10.8,11.45,10.5,10,10.65,10.3,12.05,13.05,NA,10.100000000000001,10.45,9.85,9.899999999999999,NA,14.8,12.45,9.6,11,10.075,12.7,10.3,10.9,11.25,9.95,11.3,10.05,NA,NA,9.5,9.2,NA,NA,NA,NA,NA,NA,10.05,9.65,NA,NA,NA,12.3,11.350000000000001,12.600000000000001,10.05,NA,11.55,9.8,NA,NA,14,NA,NA,NA,9.7,NA,11.850000000000001,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,10.55,10.65,NA,10.7,9.524999999999999,10.4,8,9.7,8.9,8.85,7.2,9.15,10.35,9.149999999999999,9.3,10.3,NA,8.35,8.3,8.05,9.35,NA,11.9,9.75,8.05,8.65,9.733333333333334,10.3,9.05,9.4,9.15,8.55,9.149999999999999,9.149999999999999,NA,NA,8.3,8.6,NA,NA,NA,NA,NA,NA,9.45,9.399999999999999,NA,NA,NA,10.4,9.3,12.15,8.8,NA,10.2,9.05,NA,NA,11,NA,NA,NA,9.1,NA,9.850000000000001,NA,NA,NA,NA,9.8,NA,NA,NA,NA,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,13.05,13.149999999999999,NA,12.45,10.9625,11.2,NA,10.6,10.899999999999999,10.6,NA,10.8,10.3,10.45,11.2,13.5,NA,11.1,11,10.8,10.5,NA,15.2,14.3,10.65,10.95,11.316666666666666,11.6,10.6,10.7,10.6,11.45,11.1,11.1,NA,NA,10.5,10.399999999999999,NA,NA,NA,NA,NA,NA,10.7,9.4,NA,NA,NA,12,NA,11.4,10.899999999999999,NA,10.5,11.35,NA,NA,10.7,NA,NA,NA,12.2,NA,11.45,NA,NA,NA,NA,11.35,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,10.45,10.100000000000001,NA,9.649999999999999,10.01,10.6,NA,9.3,10.1,10.45,NA,9.649999999999999,9.6,10.3,10.5,10.5,NA,9.6,9.6,9.2,9.5,NA,12.25,12.3,9.399999999999999,10.6,10.043333333333333,10.55,10.15,9.6,10.600000000000001,9.5,10.1,10.45,NA,NA,9.85,9.55,NA,NA,NA,NA,NA,NA,8.65,9.3,NA,NA,NA,9.45,NA,10.3,9.5,NA,9.45,10.65,NA,NA,10.100000000000001,NA,NA,NA,9.2,NA,10.4,NA,NA,NA,NA,9.350000000000001,NA,NA,NA,NA,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,9.9,9.75,NA,9.55,9.3,9.6,NA,7.9,9.2,9,NA,8.25,8.35,8.65,10.15,10.5,NA,8.95,9.3,7.55,10.4,NA,10.850000000000001,11.45,8.399999999999999,9,9.276666666666667,8.8,7.85,8.35,9.2,8.15,9.850000000000001,10,NA,NA,8.350000000000001,8.35,NA,NA,NA,NA,NA,NA,7.95,8.899999999999999,NA,NA,NA,8.4,NA,10,8.5,NA,8.7,9.35,NA,NA,9.3,NA,NA,NA,8.3,NA,10.649999999999999,NA,NA,NA,NA,9.1,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,11.6,11.983333333333334,NA,11.3,10.120000000000001,11.5,NA,9.1,10.2,9.9,NA,8.9,9,9.5,10.9,11.7,NA,9.8,9.6,9,9.8,NA,12.3,12.8,9.3,10,10.116666666666667,10.7,9.2,9.7,10.5,8.8,10.4,10.1,NA,NA,8.9,9.4,NA,NA,NA,NA,NA,NA,9.1,9.8,NA,NA,NA,10.4,NA,10.4,9.5,NA,10.3,9.7,NA,NA,11.1,NA,NA,NA,9.6,NA,10.8,NA,NA,NA,NA,9.5,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
