"","Description","R_Squared","AICc","AICwt","Intercept","coef_1","coef_2","coef_3","relLik"
"1","Total Developed + Open Water + Total Agricultural",0.577,543.624,0.51,4.208,0.354,-1.822,0.886,1
"2","Total Developed + Deciduous Forest + Total Agricultural",0.575,544.064,0.409,-1.658,0.38,0.731,0.892,0.803
"3","Total Developed + Total Agricultural",0.541,547.532,0.072,1.84,0.366,0.934,NA,0.142
"4","Total Developed + Deciduous Forest + Open Water",0.52,552.781,0.005,4.989,0.323,0.73,-1.858,0.01
"5","Total Developed + Open Water",0.487,555.601,0.001,8.938,0.306,-2.069,NA,0.003
"6","Total Developed + Deciduous Forest",0.483,556.171,0.001,2.347,0.335,0.823,NA,0.002
"7","Total Forested Area",0.455,557.86,0,37.662,-0.379,NA,NA,0.001
"8","Total Developed + Deciduous Forest + Total Wetlands",0.483,558.129,0,2.854,0.334,0.802,-0.135,0.001
"9","Total Developed Area",0.44,559.902,0,6.522,0.317,NA,NA,0
"10","Total Developed + Evergreen Forest",0.452,560.27,0,13.026,0.241,-0.132,NA,0
"11","Total Developed + Total Wetlands",0.446,561.117,0,8.222,0.314,-0.578,NA,0
"12","Developed, Medium Intensity",0.403,564.529,0,13.311,0.584,NA,NA,0
"13","Developed, High Intensity",0.33,572.78,0,15.896,1.343,NA,NA,0
"14","Total Agricultural Area",0.01,600.873,0,21.348,0.282,NA,NA,0
