site_no	datetime	148608_00060_00003_cd
15s	20d	10s
12069550	1/1/2006	200
12069550	1/2/2006	176
12069550	1/3/2006	149
12069550	1/4/2006	150
12069550	1/5/2006	155
12069550	1/6/2006	316
12069550	1/7/2006	246
12069550	1/8/2006	168
12069550	1/9/2006	209
12069550	1/10/2006	420
12069550	1/11/2006	324
12069550	1/12/2006	241
12069550	1/13/2006	342
12069550	1/14/2006	258
12069550	1/15/2006	179
12069550	1/16/2006	165
12069550	1/17/2006	267
12069550	1/18/2006	191
12069550	1/19/2006	142
12069550	1/20/2006	144
12069550	1/21/2006	124
12069550	1/22/2006	105
12069550	1/23/2006	94.4
12069550	1/24/2006	87.3
12069550	1/25/2006	81.3
12069550	1/26/2006	81.8
12069550	1/27/2006	90.3
12069550	1/28/2006	152
12069550	1/29/2006	193
12069550	1/30/2006	558
12069550	1/31/2006	252
12069550	2/1/2006	195
12069550	2/2/2006	158
12069550	2/3/2006	129
12069550	2/4/2006	194
12069550	2/5/2006	147
12069550	2/6/2006	102
12069550	2/7/2006	79.1
12069550	2/8/2006	65.5
12069550	2/9/2006	55.9
12069550	2/10/2006	48.8
12069550	2/11/2006	43.2
12069550	2/12/2006	39
12069550	2/13/2006	36.7
12069550	2/14/2006	35.7
12069550	2/15/2006	33.5
12069550	2/16/2006	31.5
12069550	2/17/2006	29
12069550	2/18/2006	27
12069550	2/19/2006	27
12069550	2/20/2006	26
12069550	2/21/2006	25
12069550	2/22/2006	24
12069550	2/23/2006	24
12069550	2/24/2006	23
12069550	2/25/2006	22.8
12069550	2/26/2006	22.9
12069550	2/27/2006	27.8
12069550	2/28/2006	28.9
12069550	3/1/2006	26.9
12069550	3/2/2006	25.5
12069550	3/3/2006	23.9
12069550	3/4/2006	22.9
12069550	3/5/2006	23.2
12069550	3/6/2006	23.3
12069550	3/7/2006	23.6
12069550	3/8/2006	34.3
12069550	3/9/2006	45.6
12069550	3/10/2006	37.2
12069550	3/11/2006	32.6
12069550	3/12/2006	29.2
12069550	3/13/2006	26.7
12069550	3/14/2006	26.6
12069550	3/15/2006	27.5
12069550	3/16/2006	33.4
12069550	3/17/2006	35
12069550	3/18/2006	34.3
12069550	3/19/2006	31.7
12069550	3/20/2006	28.9
12069550	3/21/2006	27.9
12069550	3/22/2006	42.6
12069550	3/23/2006	55.8
12069550	3/24/2006	61.3
12069550	3/25/2006	56.5
12069550	3/26/2006	46.3
12069550	3/27/2006	40.3
12069550	3/28/2006	38.4
12069550	3/29/2006	35.8
12069550	3/30/2006	32.9
12069550	3/31/2006	32.9
12069550	4/1/2006	33.6
12069550	4/2/2006	32.1
12069550	4/3/2006	30.4
12069550	4/4/2006	29.5
12069550	4/5/2006	28.1
12069550	4/6/2006	27.2
12069550	4/7/2006	26.1
12069550	4/8/2006	25.8
12069550	4/9/2006	25.8
12069550	4/10/2006	26
12069550	4/11/2006	25.8
12069550	4/12/2006	25.2
12069550	4/13/2006	24.7
12069550	4/14/2006	27.1
12069550	4/15/2006	31.9
12069550	4/16/2006	43
12069550	4/17/2006	30.8
12069550	4/18/2006	24.6
12069550	4/19/2006	21.4
12069550	4/20/2006	19.4
12069550	4/21/2006	19.6
12069550	4/22/2006	18.9
12069550	4/23/2006	17.4
12069550	4/24/2006	16.2
12069550	4/25/2006	15.6
12069550	4/26/2006	15.1
12069550	4/27/2006	14.6
12069550	4/28/2006	14.3
12069550	4/29/2006	16
12069550	4/30/2006	18.1
12069550	5/1/2006	16.7
12069550	5/2/2006	15
12069550	5/3/2006	13.8
12069550	5/4/2006	13.2
12069550	5/5/2006	12.7
12069550	5/6/2006	12.3
12069550	5/7/2006	12.3
12069550	5/8/2006	12
12069550	5/9/2006	11.9
12069550	5/10/2006	11.6
12069550	5/11/2006	11.6
12069550	5/12/2006	11.3
12069550	5/13/2006	11
12069550	5/14/2006	10.7
12069550	5/15/2006	10.6
12069550	5/16/2006	10.4
12069550	5/17/2006	10
12069550	5/18/2006	9.8
12069550	5/19/2006	9.63
12069550	5/20/2006	9.64
12069550	5/21/2006	9.54
12069550	5/22/2006	10
12069550	5/23/2006	11.5
12069550	5/24/2006	13.1
12069550	5/25/2006	12.8
12069550	5/26/2006	11.9
12069550	5/27/2006	12.3
12069550	5/28/2006	13.1
12069550	5/29/2006	12.3
12069550	5/30/2006	11.3
12069550	5/31/2006	10.7
12069550	6/1/2006	11.2
12069550	6/2/2006	11.7
12069550	6/3/2006	11.1
12069550	6/4/2006	12.6
12069550	6/5/2006	12.1
12069550	6/6/2006	11.4
12069550	6/7/2006	10.6
12069550	6/8/2006	10.4
12069550	6/9/2006	11.8
12069550	6/10/2006	11.5
12069550	6/11/2006	10.7
12069550	6/12/2006	10.2
12069550	6/13/2006	9.96
12069550	6/14/2006	9.4
12069550	6/15/2006	8.81
12069550	6/16/2006	9.17
12069550	6/17/2006	8.34
12069550	6/18/2006	7.87
12069550	6/19/2006	7.97
12069550	6/20/2006	8.05
12069550	6/21/2006	7.83
12069550	6/22/2006	8.21
12069550	6/23/2006	7.35
12069550	6/24/2006	7.09
12069550	6/25/2006	6.97
12069550	6/26/2006	6.92
12069550	6/27/2006	6.76
12069550	6/28/2006	6.41
12069550	6/29/2006	5.99
12069550	6/30/2006	5.89
12069550	7/1/2006	5.8
12069550	7/2/2006	5.65
12069550	7/3/2006	5.63
12069550	7/4/2006	5.38
12069550	7/5/2006	5.46
12069550	7/6/2006	5.46
12069550	7/7/2006	5.32
12069550	7/8/2006	5.27
12069550	7/9/2006	5.12
12069550	7/10/2006	5.04
12069550	7/11/2006	5.04
12069550	7/12/2006	5.01
12069550	7/13/2006	5.08
12069550	7/14/2006	4.84
12069550	7/15/2006	4.69
12069550	7/16/2006	4.59
12069550	7/17/2006	4.66
12069550	7/18/2006	4.49
12069550	7/19/2006	4.7
12069550	7/20/2006	4.5
12069550	7/21/2006	4.4
12069550	7/22/2006	4.4
12069550	7/23/2006	4.3
12069550	7/24/2006	4.3
12069550	7/25/2006	4.3
12069550	7/26/2006	4.3
12069550	7/27/2006	4.3
12069550	7/28/2006	4.3
12069550	7/29/2006	4.3
12069550	7/30/2006	4.2
12069550	7/31/2006	4.1
12069550	8/1/2006	4.1
12069550	8/2/2006	4.1
12069550	8/3/2006	4.1
12069550	8/4/2006	4
12069550	8/5/2006	4
12069550	8/6/2006	4
12069550	8/7/2006	4
12069550	8/8/2006	4
12069550	8/9/2006	4.2
12069550	8/10/2006	4.2
12069550	8/11/2006	4.1
12069550	8/12/2006	4
12069550	8/13/2006	3.9
12069550	8/14/2006	3.8
12069550	8/15/2006	3.8
