site_no	datetime	148640_00060_00003_cd
15s	20d	10s
12080010	1/1/2006	1790
12080010	1/2/2006	1450
12080010	1/3/2006	1250
12080010	1/4/2006	1090
12080010	1/5/2006	989
12080010	1/6/2006	1300
12080010	1/7/2006	1730
12080010	1/8/2006	1640
12080010	1/9/2006	1490
12080010	1/10/2006	2950
12080010	1/11/2006	4630
12080010	1/12/2006	3200
12080010	1/13/2006	2200
12080010	1/14/2006	2180
12080010	1/15/2006	1530
12080010	1/16/2006	1210
12080010	1/17/2006	1410
12080010	1/18/2006	1410
12080010	1/19/2006	1100
12080010	1/20/2006	1210
12080010	1/21/2006	1310
12080010	1/22/2006	1010
12080010	1/23/2006	839
12080010	1/24/2006	730
12080010	1/25/2006	662
12080010	1/26/2006	661
12080010	1/27/2006	693
12080010	1/28/2006	1020
12080010	1/29/2006	1570
12080010	1/30/2006	3350
12080010	1/31/2006	4690
12080010	2/1/2006	2130
12080010	2/2/2006	1750
12080010	2/3/2006	1590
12080010	2/4/2006	1690
12080010	2/5/2006	1990
12080010	2/6/2006	1410
12080010	2/7/2006	1120
12080010	2/8/2006	952
12080010	2/9/2006	847
12080010	2/10/2006	771
12080010	2/11/2006	708
12080010	2/12/2006	657
12080010	2/13/2006	615
12080010	2/14/2006	582
12080010	2/15/2006	547
12080010	2/16/2006	517
12080010	2/17/2006	491
12080010	2/18/2006	466
12080010	2/19/2006	445
12080010	2/20/2006	434
12080010	2/21/2006	423
12080010	2/22/2006	410
12080010	2/23/2006	430
12080010	2/24/2006	446
12080010	2/25/2006	422
12080010	2/26/2006	412
12080010	2/27/2006	467
12080010	2/28/2006	633
12080010	3/1/2006	614
12080010	3/2/2006	547
12080010	3/3/2006	485
12080010	3/4/2006	440
12080010	3/5/2006	422
12080010	3/6/2006	406
12080010	3/7/2006	449
12080010	3/8/2006	486
12080010	3/9/2006	656
12080010	3/10/2006	591
12080010	3/11/2006	541
12080010	3/12/2006	509
12080010	3/13/2006	486
12080010	3/14/2006	473
12080010	3/15/2006	468
12080010	3/16/2006	476
12080010	3/17/2006	500
12080010	3/18/2006	528
12080010	3/19/2006	497
12080010	3/20/2006	467
12080010	3/21/2006	430
12080010	3/22/2006	444
12080010	3/23/2006	493
12080010	3/24/2006	534
12080010	3/25/2006	573
12080010	3/26/2006	524
12080010	3/27/2006	471
12080010	3/28/2006	444
12080010	3/29/2006	431
12080010	3/30/2006	416
12080010	3/31/2006	404
12080010	4/1/2006	424
12080010	4/2/2006	427
12080010	4/3/2006	409
12080010	4/4/2006	400
12080010	4/5/2006	380
12080010	4/6/2006	350
12080010	4/7/2006	330
12080010	4/8/2006	340
12080010	4/9/2006	355
12080010	4/10/2006	375
12080010	4/11/2006	375
12080010	4/12/2006	370
12080010	4/13/2006	360
12080010	4/14/2006	600
12080010	4/15/2006	1000
12080010	4/16/2006	780
12080010	4/17/2006	620
12080010	4/18/2006	525
12080010	4/19/2006	470
12080010	4/20/2006	435
12080010	4/21/2006	415
12080010	4/22/2006	395
12080010	4/23/2006	365
12080010	4/24/2006	350
12080010	4/25/2006	300
12080010	4/26/2006	280
12080010	4/27/2006	275
12080010	4/28/2006	270
12080010	4/29/2006	275
12080010	4/30/2006	280
12080010	5/1/2006	260
12080010	5/2/2006	245
12080010	5/3/2006	235
12080010	5/4/2006	225
12080010	5/5/2006	215
12080010	5/6/2006	205
12080010	5/7/2006	210
12080010	5/8/2006	210
12080010	5/9/2006	200
12080010	5/10/2006	190
12080010	5/11/2006	185
12080010	5/12/2006	185
12080010	5/13/2006	180
12080010	5/14/2006	180
12080010	5/15/2006	175
12080010	5/16/2006	175
12080010	5/17/2006	170
12080010	5/18/2006	170
12080010	5/19/2006	165
12080010	5/20/2006	165
12080010	5/21/2006	160
12080010	5/22/2006	180
12080010	5/23/2006	190
12080010	5/24/2006	190
12080010	5/25/2006	210
12080010	5/26/2006	205
12080010	5/27/2006	200
12080010	5/28/2006	205
12080010	5/29/2006	210
12080010	5/30/2006	190
12080010	5/31/2006	170
12080010	6/1/2006	165
12080010	6/2/2006	260
12080010	6/3/2006	340
12080010	6/4/2006	300
12080010	6/5/2006	270
12080010	6/6/2006	250
12080010	6/7/2006	235
12080010	6/8/2006	215
12080010	6/9/2006	210
12080010	6/10/2006	200
12080010	6/11/2006	195
12080010	6/12/2006	190
12080010	6/13/2006	190
12080010	6/14/2006	192
12080010	6/15/2006	188
12080010	6/16/2006	184
12080010	6/17/2006	177
12080010	6/18/2006	171
12080010	6/19/2006	168
12080010	6/20/2006	168
12080010	6/21/2006	164
12080010	6/22/2006	164
12080010	6/23/2006	163
12080010	6/24/2006	156
12080010	6/25/2006	148
12080010	6/26/2006	143
12080010	6/27/2006	140
12080010	6/28/2006	138
12080010	6/29/2006	136
12080010	6/30/2006	134
12080010	7/1/2006	132
12080010	7/2/2006	132
12080010	7/3/2006	131
12080010	7/4/2006	130
12080010	7/5/2006	131
12080010	7/6/2006	131
12080010	7/7/2006	131
12080010	7/8/2006	129
12080010	7/9/2006	127
12080010	7/10/2006	125
12080010	7/11/2006	125
12080010	7/12/2006	129
12080010	7/13/2006	133
12080010	7/14/2006	125
12080010	7/15/2006	117
12080010	7/16/2006	112
12080010	7/17/2006	109
12080010	7/18/2006	108
12080010	7/19/2006	105
12080010	7/20/2006	105
12080010	7/21/2006	102
12080010	7/22/2006	101
12080010	7/23/2006	98.8
12080010	7/24/2006	96.3
12080010	7/25/2006	94.5
12080010	7/26/2006	96.8
12080010	7/27/2006	96.6
12080010	7/28/2006	97.2
12080010	7/29/2006	95
12080010	7/30/2006	95.6
12080010	7/31/2006	97.1
12080010	8/1/2006	98
12080010	8/2/2006	97.7
12080010	8/3/2006	96
12080010	8/4/2006	95
12080010	8/5/2006	94
12080010	8/6/2006	91
12080010	8/7/2006	89.6
12080010	8/8/2006	89.2
12080010	8/9/2006	89.5
12080010	8/10/2006	90.1
12080010	8/11/2006	91.6
12080010	8/12/2006	90.4
12080010	8/13/2006	89.6
12080010	8/14/2006	87.9
12080010	8/15/2006	87.7
12080010	8/16/2006	87.7
12080010	8/17/2006	87.8
12080010	8/18/2006	87.4
12080010	8/19/2006	86.8
12080010	8/20/2006	86
12080010	8/21/2006	84.7
12080010	8/22/2006	83.7
12080010	8/23/2006	84.3
12080010	8/24/2006	85.1
12080010	8/25/2006	78.3
12080010	8/26/2006	65.9
12080010	8/27/2006	64.8
12080010	8/28/2006	63.4
12080010	8/29/2006	58.8
12080010	8/30/2006	53.6
12080010	8/31/2006	53.6
12080010	9/1/2006	51.8
12080010	9/2/2006	49.4
12080010	9/3/2006	49.2
12080010	9/4/2006	48.1
12080010	9/5/2006	47.8
12080010	9/6/2006	47.2
12080010	9/7/2006	46.2
12080010	9/8/2006	46.1
12080010	9/9/2006	46.6
12080010	9/10/2006	46.2
12080010	9/11/2006	45.4
12080010	9/12/2006	44.9
12080010	9/13/2006	44.7
12080010	9/14/2006	45.3
12080010	9/15/2006	46.6
12080010	9/16/2006	47.3
12080010	9/17/2006	48.2
12080010	9/18/2006	55.3
12080010	9/19/2006	52.6
12080010	9/20/2006	65.8
12080010	9/21/2006	84.2
