site_no	datetime	148527_00060_00003_cd
15s	20d	10s
12045500	1/1/2006	3580
12045500	1/2/2006	3490
12045500	1/3/2006	2800
12045500	1/4/2006	2460
12045500	1/5/2006	4850
12045500	1/6/2006	8200
12045500	1/7/2006	6150
12045500	1/8/2006	4290
12045500	1/9/2006	4490
12045500	1/10/2006	6710
12045500	1/11/2006	5410
12045500	1/12/2006	4610
12045500	1/13/2006	6270
12045500	1/14/2006	4780
12045500	1/15/2006	3660
12045500	1/16/2006	3530
12045500	1/17/2006	5560
12045500	1/18/2006	3850
12045500	1/19/2006	3120
12045500	1/20/2006	2850
12045500	1/21/2006	2420
12045500	1/22/2006	2150
12045500	1/23/2006	1960
12045500	1/24/2006	1850
12045500	1/25/2006	1800
12045500	1/26/2006	1780
12045500	1/27/2006	1640
12045500	1/28/2006	1830
12045500	1/29/2006	1960
12045500	1/30/2006	4700
12045500	1/31/2006	3240
12045500	2/1/2006	3290
12045500	2/2/2006	3070
12045500	2/3/2006	2690
12045500	2/4/2006	4550
12045500	2/5/2006	3450
12045500	2/6/2006	2760
12045500	2/7/2006	2400
12045500	2/8/2006	2190
12045500	2/9/2006	1960
12045500	2/10/2006	1830
12045500	2/11/2006	1670
12045500	2/12/2006	1550
12045500	2/13/2006	1530
12045500	2/14/2006	1450
12045500	2/15/2006	1340
12045500	2/16/2006	1300
12045500	2/17/2006	1200
12045500	2/18/2006	1140
12045500	2/19/2006	1090
12045500	2/20/2006	1060
12045500	2/21/2006	1000
12045500	2/22/2006	976
12045500	2/23/2006	976
12045500	2/24/2006	898
12045500	2/25/2006	887
12045500	2/26/2006	874
12045500	2/27/2006	1080
12045500	2/28/2006	1030
12045500	3/1/2006	940
12045500	3/2/2006	922
12045500	3/3/2006	892
12045500	3/4/2006	832
12045500	3/5/2006	824
12045500	3/6/2006	1010
12045500	3/7/2006	1040
12045500	3/8/2006	1140
12045500	3/9/2006	1160
12045500	3/10/2006	997
12045500	3/11/2006	905
12045500	3/12/2006	849
12045500	3/13/2006	817
12045500	3/14/2006	778
12045500	3/15/2006	772
12045500	3/16/2006	770
12045500	3/17/2006	743
12045500	3/18/2006	720
12045500	3/19/2006	685
12045500	3/20/2006	673
12045500	3/21/2006	660
12045500	3/22/2006	834
12045500	3/23/2006	1080
