site_no	datetime	148674_00060_00003_cd
15s	20d	10s
12089500	1/1/2006	3280
12089500	1/2/2006	2940
12089500	1/3/2006	2750
12089500	1/4/2006	2570
12089500	1/5/2006	2440
12089500	1/6/2006	2610
12089500	1/7/2006	2830
12089500	1/8/2006	3090
12089500	1/9/2006	4360
12089500	1/10/2006	9480
12089500	1/11/2006	14700
12089500	1/12/2006	13000
12089500	1/13/2006	10300
12089500	1/14/2006	7970
12089500	1/15/2006	5720
12089500	1/16/2006	5490
12089500	1/17/2006	5460
12089500	1/18/2006	3330
12089500	1/19/2006	2900
12089500	1/20/2006	2940
12089500	1/21/2006	2910
12089500	1/22/2006	2700
12089500	1/23/2006	2500
12089500	1/24/2006	2380
12089500	1/25/2006	2330
12089500	1/26/2006	2290
12089500	1/27/2006	2570
12089500	1/28/2006	3810
12089500	1/29/2006	3950
12089500	1/30/2006	7820
12089500	1/31/2006	8770
12089500	2/1/2006	6750
12089500	2/2/2006	3820
12089500	2/3/2006	4410
12089500	2/4/2006	5060
12089500	2/5/2006	3910
12089500	2/6/2006	2910
12089500	2/7/2006	2640
12089500	2/8/2006	2480
12089500	2/9/2006	2380
12089500	2/10/2006	2280
12089500	2/11/2006	2200
12089500	2/12/2006	2140
12089500	2/13/2006	2110
12089500	2/14/2006	2080
12089500	2/15/2006	2000
12089500	2/16/2006	1930
12089500	2/17/2006	1900
12089500	2/18/2006	1830
12089500	2/19/2006	1820
12089500	2/20/2006	1830
12089500	2/21/2006	1870
12089500	2/22/2006	1840
12089500	2/23/2006	1890
12089500	2/24/2006	1820
12089500	2/25/2006	1640
12089500	2/26/2006	1600
12089500	2/27/2006	1720
12089500	2/28/2006	2120
12089500	3/1/2006	2070
12089500	3/2/2006	1920
12089500	3/3/2006	1380
12089500	3/4/2006	1230
12089500	3/5/2006	1170
12089500	3/6/2006	1130
12089500	3/7/2006	1140
12089500	3/8/2006	1160
12089500	3/9/2006	1320
12089500	3/10/2006	1250
12089500	3/11/2006	1210
12089500	3/12/2006	1170
12089500	3/13/2006	1130
12089500	3/14/2006	949
12089500	3/15/2006	870
12089500	3/16/2006	854
12089500	3/17/2006	863
12089500	3/18/2006	885
12089500	3/19/2006	898
12089500	3/20/2006	884
12089500	3/21/2006	860
12089500	3/22/2006	851
12089500	3/23/2006	775
12089500	3/24/2006	774
12089500	3/25/2006	787
12089500	3/26/2006	732
12089500	3/27/2006	699
12089500	3/28/2006	692
12089500	3/29/2006	701
12089500	3/30/2006	711
12089500	3/31/2006	699
12089500	4/1/2006	850
12089500	4/2/2006	908
12089500	4/3/2006	822
12089500	4/4/2006	828
12089500	4/5/2006	783
12089500	4/6/2006	740
12089500	4/7/2006	702
12089500	4/8/2006	719
12089500	4/9/2006	871
12089500	4/10/2006	834
12089500	4/11/2006	817
12089500	4/12/2006	817
12089500	4/13/2006	823
12089500	4/14/2006	916
12089500	4/15/2006	1280
12089500	4/16/2006	1200
12089500	4/17/2006	1010
12089500	4/18/2006	929
12089500	4/19/2006	821
12089500	4/20/2006	737
12089500	4/21/2006	718
12089500	4/22/2006	682
12089500	4/23/2006	656
12089500	4/24/2006	631
12089500	4/25/2006	624
12089500	4/26/2006	621
12089500	4/27/2006	627
12089500	4/28/2006	632
12089500	4/29/2006	644
12089500	4/30/2006	705
12089500	5/1/2006	642
12089500	5/2/2006	628
12089500	5/3/2006	629
12089500	5/4/2006	627
12089500	5/5/2006	631
12089500	5/6/2006	628
12089500	5/7/2006	631
12089500	5/8/2006	638
12089500	5/9/2006	624
12089500	5/10/2006	633
12089500	5/11/2006	645
12089500	5/12/2006	638
12089500	5/13/2006	627
12089500	5/14/2006	620
12089500	5/15/2006	626
12089500	5/16/2006	690
12089500	5/17/2006	784
12089500	5/18/2006	825
12089500	5/19/2006	966
12089500	5/20/2006	954
12089500	5/21/2006	830
12089500	5/22/2006	760
12089500	5/23/2006	786
12089500	5/24/2006	822
12089500	5/25/2006	802
12089500	5/26/2006	827
12089500	5/27/2006	888
12089500	5/28/2006	1700
12089500	5/29/2006	1790
12089500	5/30/2006	1280
12089500	5/31/2006	1230
12089500	6/1/2006	1270
12089500	6/2/2006	1710
12089500	6/3/2006	2150
12089500	6/4/2006	2010
12089500	6/5/2006	1910
12089500	6/6/2006	1790
12089500	6/7/2006	1710
12089500	6/8/2006	1650
12089500	6/9/2006	1400
12089500	6/10/2006	1220
12089500	6/11/2006	1190
12089500	6/12/2006	1180
12089500	6/13/2006	1300
12089500	6/14/2006	1490
12089500	6/15/2006	1480
12089500	6/16/2006	1290
12089500	6/17/2006	1170
12089500	6/18/2006	1150
12089500	6/19/2006	1110
12089500	6/20/2006	903
12089500	6/21/2006	783
12089500	6/22/2006	705
12089500	6/23/2006	691
12089500	6/24/2006	682
12089500	6/25/2006	675
12089500	6/26/2006	668
12089500	6/27/2006	657
12089500	6/28/2006	652
12089500	6/29/2006	671
12089500	6/30/2006	668
12089500	7/1/2006	662
12089500	7/2/2006	659
12089500	7/3/2006	652
12089500	7/4/2006	650
12089500	7/5/2006	654
12089500	7/6/2006	651
12089500	7/7/2006	649
12089500	7/8/2006	649
12089500	7/9/2006	644
12089500	7/10/2006	640
12089500	7/11/2006	641
12089500	7/12/2006	648
12089500	7/13/2006	652
12089500	7/14/2006	644
12089500	7/15/2006	633
12089500	7/16/2006	632
12089500	7/17/2006	634
12089500	7/18/2006	624
12089500	7/19/2006	596
12089500	7/20/2006	560
12089500	7/21/2006	550
12089500	7/22/2006	545
12089500	7/23/2006	544
12089500	7/24/2006	542
12089500	7/25/2006	540
12089500	7/26/2006	538
12089500	7/27/2006	534
12089500	7/28/2006	534
12089500	7/29/2006	534
12089500	7/30/2006	538
12089500	7/31/2006	535
12089500	8/1/2006	836
12089500	8/2/2006	975
12089500	8/3/2006	951
12089500	8/4/2006	935
12089500	8/5/2006	934
12089500	8/6/2006	931
12089500	8/7/2006	928
12089500	8/8/2006	925
12089500	8/9/2006	860
12089500	8/10/2006	548
12089500	8/11/2006	450
12089500	8/12/2006	412
12089500	8/13/2006	392
12089500	8/14/2006	383
12089500	8/15/2006	385
12089500	8/16/2006	387
12089500	8/17/2006	396
12089500	8/18/2006	405
12089500	8/19/2006	405
12089500	8/20/2006	405
12089500	8/21/2006	402
12089500	8/22/2006	399
12089500	8/23/2006	404
12089500	8/24/2006	405
12089500	8/25/2006	408
12089500	8/26/2006	407
12089500	8/27/2006	412
12089500	8/28/2006	408
12089500	8/29/2006	404
12089500	8/30/2006	404
12089500	8/31/2006	406
12089500	9/1/2006	405
12089500	9/2/2006	409
12089500	9/3/2006	409
12089500	9/4/2006	405
12089500	9/5/2006	399
12089500	9/6/2006	399
12089500	9/7/2006	398
12089500	9/8/2006	408
12089500	9/9/2006	405
12089500	9/10/2006	406
12089500	9/11/2006	401
12089500	9/12/2006	401
12089500	9/13/2006	454
12089500	9/14/2006	470
12089500	9/15/2006	437
12089500	9/16/2006	398
12089500	9/17/2006	397
12089500	9/18/2006	403
12089500	9/19/2006	398
12089500	9/20/2006	398
12089500	9/21/2006	418
12089500	9/22/2006	439
12089500	9/23/2006	396
12089500	9/24/2006	394
12089500	9/25/2006	392
12089500	9/26/2006	387
12089500	9/27/2006	385
12089500	9/28/2006	385
12089500	9/29/2006	386
12089500	9/30/2006	453
12089500	10/1/2006	574
12089500	10/2/2006	581
12089500	10/3/2006	580
12089500	10/4/2006	577
12089500	10/5/2006	576
12089500	10/6/2006	578
12089500	10/7/2006	579
12089500	10/8/2006	580
12089500	10/9/2006	575
12089500	10/10/2006	574
12089500	10/11/2006	573
12089500	10/12/2006	573
12089500	10/13/2006	572
12089500	10/14/2006	572
12089500	10/15/2006	614
12089500	10/16/2006	687
12089500	10/17/2006	612
12089500	10/18/2006	596
12089500	10/19/2006	633
12089500	10/20/2006	641
12089500	10/21/2006	627
12089500	10/22/2006	591
12089500	10/23/2006	588
12089500	10/24/2006	588
12089500	10/25/2006	591
12089500	10/26/2006	591
12089500	10/27/2006	589
12089500	10/28/2006	595
12089500	10/29/2006	600
12089500	10/30/2006	612
12089500	10/31/2006	623
12089500	11/1/2006	605
12089500	11/2/2006	618
12089500	11/3/2006	747
12089500	11/4/2006	766
12089500	11/5/2006	859
12089500	11/6/2006	1570
12089500	11/7/2006	9330
12089500	11/8/2006	8640
12089500	11/9/2006	4890
12089500	11/10/2006	4770
12089500	11/11/2006	5630
12089500	11/12/2006	5530
12089500	11/13/2006	6840
12089500	11/14/2006	7900
12089500	11/15/2006	6620
12089500	11/16/2006	5650
12089500	11/17/2006	3100
12089500	11/18/2006	2470
12089500	11/19/2006	2690
12089500	11/20/2006	3830
12089500	11/21/2006	3590
12089500	11/22/2006	3630
12089500	11/23/2006	2870
12089500	11/24/2006	2950
12089500	11/25/2006	2740
12089500	11/26/2006	2570
12089500	11/27/2006	2590
12089500	11/28/2006	2340
12089500	11/29/2006	2180
12089500	11/30/2006	2210
12089500	12/1/2006	2200
12089500	12/2/2006	2120
12089500	12/3/2006	2050
12089500	12/4/2006	2010
12089500	12/5/2006	2090
12089500	12/6/2006	2080
12089500	12/7/2006	2100
12089500	12/8/2006	2150
12089500	12/9/2006	2150
12089500	12/10/2006	2140
12089500	12/11/2006	2390
12089500	12/12/2006	3080
12089500	12/13/2006	3220
12089500	12/14/2006	4040
12089500	12/15/2006	8480
12089500	12/16/2006	5700
12089500	12/17/2006	4970
12089500	12/18/2006	4370
12089500	12/19/2006	2900
12089500	12/20/2006	2440
12089500	12/21/2006	2500
12089500	12/22/2006	2530
12089500	12/23/2006	2810
12089500	12/24/2006	2790
12089500	12/25/2006	3990
12089500	12/26/2006	3410
12089500	12/27/2006	4180
12089500	12/28/2006	3670
12089500	12/29/2006	3190
12089500	12/30/2006	2880
12089500	12/31/2006	2660
12089500	1/1/2007	2610
12089500	1/2/2007	4060
12089500	1/3/2007	7270
12089500	1/4/2007	7130
12089500	1/5/2007	6690
12089500	1/6/2007	6740
12089500	1/7/2007	5750
12089500	1/8/2007	5340
12089500	1/9/2007	3890
12089500	1/10/2007	3550
12089500	1/11/2007	3170
12089500	1/12/2007	2870
12089500	1/13/2007	2660
12089500	1/14/2007	2520
12089500	1/15/2007	2410
12089500	1/16/2007	2370
12089500	1/17/2007	2310
12089500	1/18/2007	2270
12089500	1/19/2007	2270
12089500	1/20/2007	2360
12089500	1/21/2007	2280
12089500	1/22/2007	2230
12089500	1/23/2007	2220
12089500	1/24/2007	2200
12089500	1/25/2007	2180
12089500	1/26/2007	1530
12089500	1/27/2007	970
12089500	1/28/2007	916
12089500	1/29/2007	884
12089500	1/30/2007	845
12089500	1/31/2007	822
12089500	2/1/2007	801
12089500	2/2/2007	782
12089500	2/3/2007	772
12089500	2/4/2007	812
12089500	2/5/2007	826
12089500	2/6/2007	840
12089500	2/7/2007	842
12089500	2/8/2007	849
12089500	2/9/2007	833
12089500	2/10/2007	822
12089500	2/11/2007	819
12089500	2/12/2007	839
12089500	2/13/2007	806
12089500	2/14/2007	787
12089500	2/15/2007	862
12089500	2/16/2007	1310
12089500	2/17/2007	1070
12089500	2/18/2007	1080
12089500	2/19/2007	1080
12089500	2/20/2007	1790
12089500	2/21/2007	2050
12089500	2/22/2007	1780
12089500	2/23/2007	1610
12089500	2/24/2007	1580
12089500	2/25/2007	1670
12089500	2/26/2007	1540
12089500	2/27/2007	1450
12089500	2/28/2007	1500
12089500	3/1/2007	1680
12089500	3/2/2007	1650
12089500	3/3/2007	2170
12089500	3/4/2007	2280
12089500	3/5/2007	2150
12089500	3/6/2007	2050
12089500	3/7/2007	2150
12089500	3/8/2007	2390
12089500	3/9/2007	2520
12089500	3/10/2007	3070
12089500	3/11/2007	3990
12089500	3/12/2007	4660
12089500	3/13/2007	4690
12089500	3/14/2007	3390
12089500	3/15/2007	2740
12089500	3/16/2007	2470
12089500	3/17/2007	2380
12089500	3/18/2007	2490
12089500	3/19/2007	2420
12089500	3/20/2007	2810
12089500	3/21/2007	2710
12089500	3/22/2007	2530
12089500	3/23/2007	2470
12089500	3/24/2007	4530
12089500	3/25/2007	9460
12089500	3/26/2007	6690
12089500	3/27/2007	4800
12089500	3/28/2007	3330
12089500	3/29/2007	2800
12089500	3/30/2007	2580
12089500	3/31/2007	2540
12089500	4/1/2007	2510
12089500	4/2/2007	2400
12089500	4/3/2007	2310
12089500	4/4/2007	2250
12089500	4/5/2007	2210
12089500	4/6/2007	2160
12089500	4/7/2007	2140
12089500	4/8/2007	2160
12089500	4/9/2007	2240
12089500	4/10/2007	2310
12089500	4/11/2007	2230
12089500	4/12/2007	2160
12089500	4/13/2007	2120
12089500	4/14/2007	2110
12089500	4/15/2007	2120
12089500	4/16/2007	2100
12089500	4/17/2007	2120
12089500	4/18/2007	2130
12089500	4/19/2007	1660
12089500	4/20/2007	1160
12089500	4/21/2007	1010
12089500	4/22/2007	996
12089500	4/23/2007	970
12089500	4/24/2007	934
12089500	4/25/2007	920
12089500	4/26/2007	898
12089500	4/27/2007	873
12089500	4/28/2007	861
12089500	4/29/2007	847
12089500	4/30/2007	829
12089500	5/1/2007	674
12089500	5/2/2007	632
12089500	5/3/2007	647
12089500	5/4/2007	629
12089500	5/5/2007	630
12089500	5/6/2007	621
12089500	5/7/2007	629
12089500	5/8/2007	625
12089500	5/9/2007	670
12089500	5/10/2007	673
12089500	5/11/2007	645
12089500	5/12/2007	638
12089500	5/13/2007	644
12089500	5/14/2007	641
12089500	5/15/2007	630
12089500	5/16/2007	732
12089500	5/17/2007	763
12089500	5/18/2007	741
12089500	5/19/2007	655
12089500	5/20/2007	648
12089500	5/21/2007	679
12089500	5/22/2007	673
12089500	5/23/2007	646
12089500	5/24/2007	633
12089500	5/25/2007	621
12089500	5/26/2007	628
12089500	5/27/2007	623
12089500	5/28/2007	627
12089500	5/29/2007	637
12089500	5/30/2007	628
12089500	5/31/2007	631
12089500	6/1/2007	575
12089500	6/2/2007	530
12089500	6/3/2007	529
12089500	6/4/2007	532
12089500	6/5/2007	549
12089500	6/6/2007	543
12089500	6/7/2007	535
12089500	6/8/2007	528
12089500	6/9/2007	528
12089500	6/10/2007	537
12089500	6/11/2007	549
12089500	6/12/2007	534
12089500	6/13/2007	525
12089500	6/14/2007	522
12089500	6/15/2007	526
12089500	6/16/2007	528
12089500	6/17/2007	530
12089500	6/18/2007	530
12089500	6/19/2007	527
12089500	6/20/2007	519
12089500	6/21/2007	542
12089500	6/22/2007	537
12089500	6/23/2007	539
12089500	6/24/2007	541
12089500	6/25/2007	558
12089500	6/26/2007	531
12089500	6/27/2007	520
12089500	6/28/2007	525
12089500	6/29/2007	548
12089500	6/30/2007	550
12089500	7/1/2007	533
12089500	7/2/2007	517
12089500	7/3/2007	526
12089500	7/4/2007	554
12089500	7/5/2007	570
12089500	7/6/2007	547
12089500	7/7/2007	524
12089500	7/8/2007	527
12089500	7/9/2007	519
12089500	7/10/2007	536
12089500	7/11/2007	547
12089500	7/12/2007	537
12089500	7/13/2007	535
12089500	7/14/2007	535
12089500	7/15/2007	530
12089500	7/16/2007	528
12089500	7/17/2007	531
12089500	7/18/2007	536
12089500	7/19/2007	538
12089500	7/20/2007	531
12089500	7/21/2007	533
12089500	7/22/2007	532
12089500	7/23/2007	529
12089500	7/24/2007	536
12089500	7/25/2007	534
12089500	7/26/2007	530
12089500	7/27/2007	527
12089500	7/28/2007	523
12089500	7/29/2007	523
12089500	7/30/2007	522
12089500	7/31/2007	572
12089500	8/1/2007	558
12089500	8/2/2007	406
12089500	8/3/2007	402
12089500	8/4/2007	405
12089500	8/5/2007	404
12089500	8/6/2007	410
12089500	8/7/2007	420
12089500	8/8/2007	407
12089500	8/9/2007	406
12089500	8/10/2007	405
12089500	8/11/2007	407
12089500	8/12/2007	401
12089500	8/13/2007	487
12089500	8/14/2007	637
12089500	8/15/2007	668
12089500	8/16/2007	666
12089500	8/17/2007	576
12089500	8/18/2007	452
12089500	8/19/2007	418
12089500	8/20/2007	416
12089500	8/21/2007	408
12089500	8/22/2007	411
12089500	8/23/2007	415
12089500	8/24/2007	408
12089500	8/25/2007	405
12089500	8/26/2007	404
12089500	8/27/2007	405
12089500	8/28/2007	402
12089500	8/29/2007	407
12089500	8/30/2007	404
12089500	8/31/2007	404
