site_no	datetime	149551_00060_00003_cd
15s	20d	10s
12213100	1/1/2006	7530
12213100	1/2/2006	6480
12213100	1/3/2006	5710
12213100	1/4/2006	5360
12213100	1/5/2006	5540
12213100	1/6/2006	13100
12213100	1/7/2006	12800
12213100	1/8/2006	10600
12213100	1/9/2006	9590
12213100	1/10/2006	15800
12213100	1/11/2006	16000
12213100	1/12/2006	12600
12213100	1/13/2006	13700
12213100	1/14/2006	14400
12213100	1/15/2006	10100
12213100	1/16/2006	8160
12213100	1/17/2006	11300
12213100	1/18/2006	9200
12213100	1/19/2006	7320
12213100	1/20/2006	6790
12213100	1/21/2006	6110
12213100	1/22/2006	5400
12213100	1/23/2006	5150
12213100	1/24/2006	4990
12213100	1/25/2006	4740
12213100	1/26/2006	5150
12213100	1/27/2006	4900
12213100	1/28/2006	4620
12213100	1/29/2006	4660
12213100	1/30/2006	10400
12213100	1/31/2006	9270
12213100	2/1/2006	7630
12213100	2/2/2006	7480
12213100	2/3/2006	6750
12213100	2/4/2006	7580
12213100	2/5/2006	9510
12213100	2/6/2006	7250
12213100	2/7/2006	6010
12213100	2/8/2006	5490
12213100	2/9/2006	5110
12213100	2/10/2006	4560
12213100	2/11/2006	4170
12213100	2/12/2006	3850
12213100	2/13/2006	3680
12213100	2/14/2006	3510
12213100	2/15/2006	3230
12213100	2/16/2006	3020
12213100	2/17/2006	2790
12213100	2/18/2006	2640
12213100	2/19/2006	2580
12213100	2/20/2006	2480
12213100	2/21/2006	2410
12213100	2/22/2006	2360
12213100	2/23/2006	2780
12213100	2/24/2006	2870
12213100	2/25/2006	2510
12213100	2/26/2006	2420
12213100	2/27/2006	2770
12213100	2/28/2006	3330
12213100	3/1/2006	3080
12213100	3/2/2006	2830
12213100	3/3/2006	2760
12213100	3/4/2006	2580
12213100	3/5/2006	2440
12213100	3/6/2006	2380
12213100	3/7/2006	2380
12213100	3/8/2006	2450
12213100	3/9/2006	2710
12213100	3/10/2006	2660
12213100	3/11/2006	2520
12213100	3/12/2006	2330
12213100	3/13/2006	2220
12213100	3/14/2006	2150
12213100	3/15/2006	2120
12213100	3/16/2006	2070
12213100	3/17/2006	2080
12213100	3/18/2006	2050
12213100	3/19/2006	1980
12213100	3/20/2006	1920
12213100	3/21/2006	1890
12213100	3/22/2006	1880
12213100	3/23/2006	2060
12213100	3/24/2006	2300
12213100	3/25/2006	2850
12213100	3/26/2006	2450
12213100	3/27/2006	2230
12213100	3/28/2006	2160
12213100	3/29/2006	2300
12213100	3/30/2006	2270
12213100	3/31/2006	2320
12213100	4/1/2006	2400
12213100	4/2/2006	2610
12213100	4/3/2006	2430
12213100	4/4/2006	2560
12213100	4/5/2006	2710
12213100	4/6/2006	2680
12213100	4/7/2006	2590
12213100	4/8/2006	2540
12213100	4/9/2006	2890
12213100	4/10/2006	3160
12213100	4/11/2006	3050
12213100	4/12/2006	2980
12213100	4/13/2006	3640
12213100	4/14/2006	4320
12213100	4/15/2006	5080
12213100	4/16/2006	4330
12213100	4/17/2006	3760
12213100	4/18/2006	3340
12213100	4/19/2006	3110
12213100	4/20/2006	3030
12213100	4/21/2006	3600
12213100	4/22/2006	3900
12213100	4/23/2006	3400
12213100	4/24/2006	3330
12213100	4/25/2006	3620
12213100	4/26/2006	3850
12213100	4/27/2006	3670
12213100	4/28/2006	3700
12213100	4/29/2006	4780
12213100	4/30/2006	5340
12213100	5/1/2006	4260
12213100	5/2/2006	3670
12213100	5/3/2006	3300
12213100	5/4/2006	3240
12213100	5/5/2006	3520
12213100	5/6/2006	4020
12213100	5/7/2006	3940
12213100	5/8/2006	4210
12213100	5/9/2006	3530
12213100	5/10/2006	3190
12213100	5/11/2006	3220
12213100	5/12/2006	3290
12213100	5/13/2006	3100
12213100	5/14/2006	3010
12213100	5/15/2006	3520
12213100	5/16/2006	6130
12213100	5/17/2006	8340
12213100	5/18/2006	8850
12213100	5/19/2006	8670
12213100	5/20/2006	7920
12213100	5/21/2006	7320
12213100	5/22/2006	6900
12213100	5/23/2006	7270
12213100	5/24/2006	6480
12213100	5/25/2006	6860
12213100	5/26/2006	6200
12213100	5/27/2006	5700
12213100	5/28/2006	5630
12213100	5/29/2006	5390
12213100	5/30/2006	5260
12213100	5/31/2006	5050
12213100	6/1/2006	5890
12213100	6/2/2006	7850
12213100	6/3/2006	8280
12213100	6/4/2006	6450
12213100	6/5/2006	8550
12213100	6/6/2006	7030
12213100	6/7/2006	5920
12213100	6/8/2006	5400
12213100	6/9/2006	5050
12213100	6/10/2006	4730
12213100	6/11/2006	4720
12213100	6/12/2006	5130
12213100	6/13/2006	5450
12213100	6/14/2006	5860
12213100	6/15/2006	5560
12213100	6/16/2006	4940
12213100	6/17/2006	6230
12213100	6/18/2006	5430
12213100	6/19/2006	4550
12213100	6/20/2006	4140
12213100	6/21/2006	3790
12213100	6/22/2006	3530
12213100	6/23/2006	3450
12213100	6/24/2006	3570
12213100	6/25/2006	3960
12213100	6/26/2006	4850
12213100	6/27/2006	5350
12213100	6/28/2006	5060
12213100	6/29/2006	4200
12213100	6/30/2006	3970
12213100	7/1/2006	3890
12213100	7/2/2006	3820
12213100	7/3/2006	3800
12213100	7/4/2006	3920
12213100	7/5/2006	4010
12213100	7/6/2006	3840
12213100	7/7/2006	3290
12213100	7/8/2006	2970
12213100	7/9/2006	3080
12213100	7/10/2006	3290
12213100	7/11/2006	3160
12213100	7/12/2006	2710
12213100	7/13/2006	3730
12213100	7/14/2006	3570
12213100	7/15/2006	3050
