site_no	datetime	148849_00060_00003_cd
15s	20d	10s
12101500	1/1/2006	7780
12101500	1/2/2006	6700
12101500	1/3/2006	6050
12101500	1/4/2006	5590
12101500	1/5/2006	5640
12101500	1/6/2006	7310
12101500	1/7/2006	8260
12101500	1/8/2006	7730
12101500	1/9/2006	7650
12101500	1/10/2006	14600
12101500	1/11/2006	19400
12101500	1/12/2006	16200
12101500	1/13/2006	12300
12101500	1/14/2006	10300
12101500	1/15/2006	7540
12101500	1/16/2006	6430
12101500	1/17/2006	8080
12101500	1/18/2006	5970
12101500	1/19/2006	4940
12101500	1/20/2006	5300
12101500	1/21/2006	5730
12101500	1/22/2006	6360
12101500	1/23/2006	6030
12101500	1/24/2006	5780
12101500	1/25/2006	5700
12101500	1/26/2006	4690
12101500	1/27/2006	4230
12101500	1/28/2006	4280
12101500	1/29/2006	4520
12101500	1/30/2006	11100
12101500	1/31/2006	10300
12101500	2/1/2006	8100
12101500	2/2/2006	7180
12101500	2/3/2006	6830
12101500	2/4/2006	7300
12101500	2/5/2006	6480
12101500	2/6/2006	5440
12101500	2/7/2006	4800
12101500	2/8/2006	4380
12101500	2/9/2006	3940
12101500	2/10/2006	3530
12101500	2/11/2006	3100
12101500	2/12/2006	2880
12101500	2/13/2006	2830
12101500	2/14/2006	2810
12101500	2/15/2006	2530
12101500	2/16/2006	2340
12101500	2/17/2006	2130
12101500	2/18/2006	2040
12101500	2/19/2006	2220
12101500	2/20/2006	2200
12101500	2/21/2006	2220
12101500	2/22/2006	2300
12101500	2/23/2006	2450
12101500	2/24/2006	2580
12101500	2/25/2006	2130
12101500	2/26/2006	2040
12101500	2/27/2006	2460
12101500	2/28/2006	3590
12101500	3/1/2006	3280
12101500	3/2/2006	2940
12101500	3/3/2006	2650
12101500	3/4/2006	2430
12101500	3/5/2006	2240
12101500	3/6/2006	2110
12101500	3/7/2006	2060
12101500	3/8/2006	2110
12101500	3/9/2006	2280
12101500	3/10/2006	2100
12101500	3/11/2006	2000
12101500	3/12/2006	1870
12101500	3/13/2006	1790
12101500	3/14/2006	1780
12101500	3/15/2006	1780
12101500	3/16/2006	1730
12101500	3/17/2006	1750
12101500	3/18/2006	2000
12101500	3/19/2006	1970
12101500	3/20/2006	1840
12101500	3/21/2006	1780
12101500	3/22/2006	1740
12101500	3/23/2006	1640
12101500	3/24/2006	1730
12101500	3/25/2006	1760
12101500	3/26/2006	1670
12101500	3/27/2006	1590
12101500	3/28/2006	1630
12101500	3/29/2006	1640
12101500	3/30/2006	1650
12101500	3/31/2006	1650
12101500	4/1/2006	2000
12101500	4/2/2006	2070
12101500	4/3/2006	1920
12101500	4/4/2006	2170
12101500	4/5/2006	2070
12101500	4/6/2006	1910
12101500	4/7/2006	1830
12101500	4/8/2006	1880
12101500	4/9/2006	2260
12101500	4/10/2006	2160
12101500	4/11/2006	2050
12101500	4/12/2006	2050
12101500	4/13/2006	2150
12101500	4/14/2006	3380
12101500	4/15/2006	3980
12101500	4/16/2006	3330
12101500	4/17/2006	2890
12101500	4/18/2006	2680
12101500	4/19/2006	2550
12101500	4/20/2006	2550
12101500	4/21/2006	2790
12101500	4/22/2006	2770
12101500	4/23/2006	2590
12101500	4/24/2006	2520
12101500	4/25/2006	2530
12101500	4/26/2006	2530
12101500	4/27/2006	2550
12101500	4/28/2006	2730
12101500	4/29/2006	3710
12101500	4/30/2006	4290
12101500	5/1/2006	3610
12101500	5/2/2006	3060
12101500	5/3/2006	2740
12101500	5/4/2006	2590
12101500	5/5/2006	2620
12101500	5/6/2006	2760
12101500	5/7/2006	2830
12101500	5/8/2006	2870
12101500	5/9/2006	2570
12101500	5/10/2006	2380
12101500	5/11/2006	2430
12101500	5/12/2006	2540
12101500	5/13/2006	2440
12101500	5/14/2006	2360
12101500	5/15/2006	2680
12101500	5/16/2006	4170
12101500	5/17/2006	5690
12101500	5/18/2006	6830
12101500	5/19/2006	6770
12101500	5/20/2006	6370
12101500	5/21/2006	5440
12101500	5/22/2006	5070
12101500	5/23/2006	5260
12101500	5/24/2006	5320
12101500	5/25/2006	4990
12101500	5/26/2006	4710
12101500	5/27/2006	4900
12101500	5/28/2006	8350
12101500	5/29/2006	8260
12101500	5/30/2006	5940
12101500	5/31/2006	4990
12101500	6/1/2006	5060
12101500	6/2/2006	7580
12101500	6/3/2006	8470
12101500	6/4/2006	7530
12101500	6/5/2006	7600
12101500	6/6/2006	6200
12101500	6/7/2006	5410
12101500	6/8/2006	4890
12101500	6/9/2006	4510
12101500	6/10/2006	4230
12101500	6/11/2006	4070
12101500	6/12/2006	4260
12101500	6/13/2006	5200
12101500	6/14/2006	4990
12101500	6/15/2006	4730
12101500	6/16/2006	4740
12101500	6/17/2006	4730
12101500	6/18/2006	4130
12101500	6/19/2006	3690
12101500	6/20/2006	3450
12101500	6/21/2006	3320
12101500	6/22/2006	3160
12101500	6/23/2006	3090
12101500	6/24/2006	3130
12101500	6/25/2006	3380
12101500	6/26/2006	3780
12101500	6/27/2006	4220
12101500	6/28/2006	4160
12101500	6/29/2006	3580
12101500	6/30/2006	3180
12101500	7/1/2006	3280
12101500	7/2/2006	3240
12101500	7/3/2006	3260
12101500	7/4/2006	3450
12101500	7/5/2006	3490
12101500	7/6/2006	3250
12101500	7/7/2006	2810
12101500	7/8/2006	2560
12101500	7/9/2006	2650
12101500	7/10/2006	2810
12101500	7/11/2006	2580
12101500	7/12/2006	2400
12101500	7/13/2006	2640
12101500	7/14/2006	2450
12101500	7/15/2006	2440
12101500	7/16/2006	2240
12101500	7/17/2006	2220
12101500	7/18/2006	2120
12101500	7/19/2006	2030
12101500	7/20/2006	2020
12101500	7/21/2006	2350
12101500	7/22/2006	2780
12101500	7/23/2006	2830
12101500	7/24/2006	2770
12101500	7/25/2006	2590
12101500	7/26/2006	2410
12101500	7/27/2006	2420
12101500	7/28/2006	2330
12101500	7/29/2006	2080
12101500	7/30/2006	1810
12101500	7/31/2006	1650
12101500	8/1/2006	1530
12101500	8/2/2006	1490
12101500	8/3/2006	1550
12101500	8/4/2006	1640
12101500	8/5/2006	1630
12101500	8/6/2006	1640
12101500	8/7/2006	1770
12101500	8/8/2006	2030
12101500	8/9/2006	1830
12101500	8/10/2006	1830
12101500	8/11/2006	1640
12101500	8/12/2006	1590
12101500	8/13/2006	1570
12101500	8/14/2006	1630
12101500	8/15/2006	1670
12101500	8/16/2006	1570
12101500	8/17/2006	1530
