site_no	datetime	149446_00060_00003_cd
15s	20d	10s
12201500	1/1/2006	480
12201500	1/2/2006	426
12201500	1/3/2006	422
12201500	1/4/2006	391
12201500	1/5/2006	470
12201500	1/6/2006	840
12201500	1/7/2006	747
12201500	1/8/2006	820
12201500	1/9/2006	788
12201500	1/10/2006	1900
12201500	1/11/2006	1810
12201500	1/12/2006	1370
12201500	1/13/2006	1200
12201500	1/14/2006	1130
12201500	1/15/2006	879
12201500	1/16/2006	789
12201500	1/17/2006	934
12201500	1/18/2006	733
12201500	1/19/2006	663
12201500	1/20/2006	712
12201500	1/21/2006	615
12201500	1/22/2006	524
12201500	1/23/2006	497
12201500	1/24/2006	440
12201500	1/25/2006	402
12201500	1/26/2006	374
12201500	1/27/2006	351
12201500	1/28/2006	351
12201500	1/29/2006	452
12201500	1/30/2006	1350
12201500	1/31/2006	963
12201500	2/1/2006	780
12201500	2/2/2006	773
12201500	2/3/2006	692
12201500	2/4/2006	723
12201500	2/5/2006	955
12201500	2/6/2006	735
12201500	2/7/2006	585
12201500	2/8/2006	521
12201500	2/9/2006	455
12201500	2/10/2006	396
12201500	2/11/2006	353
12201500	2/12/2006	319
12201500	2/13/2006	302
12201500	2/14/2006	284
12201500	2/15/2006	262
12201500	2/16/2006	243
12201500	2/17/2006	223
12201500	2/18/2006	208
12201500	2/19/2006	197
12201500	2/20/2006	191
12201500	2/21/2006	187
12201500	2/22/2006	189
12201500	2/23/2006	604
12201500	2/24/2006	414
12201500	2/25/2006	316
12201500	2/26/2006	274
12201500	2/27/2006	271
12201500	2/28/2006	270
12201500	3/1/2006	257
12201500	3/2/2006	240
12201500	3/3/2006	225
12201500	3/4/2006	210
12201500	3/5/2006	198
12201500	3/6/2006	191
12201500	3/7/2006	195
12201500	3/8/2006	214
12201500	3/9/2006	226
12201500	3/10/2006	273
12201500	3/11/2006	240
12201500	3/12/2006	211
12201500	3/13/2006	196
12201500	3/14/2006	188
12201500	3/15/2006	180
12201500	3/16/2006	175
12201500	3/17/2006	169
12201500	3/18/2006	163
12201500	3/19/2006	156
12201500	3/20/2006	151
12201500	3/21/2006	146
12201500	3/22/2006	138
12201500	3/23/2006	135
