site_no	datetime	149429_00060_00003_cd
15s	20d	10s
12200500	1/1/2006	22600
12200500	1/2/2006	20300
12200500	1/3/2006	19000
12200500	1/4/2006	17700
12200500	1/5/2006	18900
12200500	1/6/2006	31000
12200500	1/7/2006	38800
12200500	1/8/2006	33300
12200500	1/9/2006	31000
12200500	1/10/2006	46000
12200500	1/11/2006	57400
12200500	1/12/2006	49300
12200500	1/13/2006	39900
12200500	1/14/2006	37800
12200500	1/15/2006	31200
12200500	1/16/2006	27200
12200500	1/17/2006	34200
12200500	1/18/2006	31400
12200500	1/19/2006	26600
12200500	1/20/2006	25400
12200500	1/21/2006	23800
12200500	1/22/2006	21900
12200500	1/23/2006	20900
12200500	1/24/2006	20500
12200500	1/25/2006	20400
12200500	1/26/2006	19700
12200500	1/27/2006	19500
12200500	1/28/2006	19900
12200500	1/29/2006	20200
12200500	1/30/2006	30200
12200500	1/31/2006	31500
12200500	2/1/2006	27700
12200500	2/2/2006	29200
12200500	2/3/2006	27100
12200500	2/4/2006	28100
12200500	2/5/2006	28400
12200500	2/6/2006	24600
12200500	2/7/2006	22500
12200500	2/8/2006	21400
12200500	2/9/2006	20700
12200500	2/10/2006	19700
12200500	2/11/2006	18700
12200500	2/12/2006	18600
12200500	2/13/2006	18200
12200500	2/14/2006	17900
12200500	2/15/2006	17400
12200500	2/16/2006	17000
12200500	2/17/2006	16700
12200500	2/18/2006	16500
12200500	2/19/2006	15000
12200500	2/20/2006	14800
12200500	2/21/2006	15800
12200500	2/22/2006	15000
12200500	2/23/2006	15600
12200500	2/24/2006	17300
12200500	2/25/2006	16300
12200500	2/26/2006	13600
12200500	2/27/2006	14200
12200500	2/28/2006	16700
12200500	3/1/2006	17300
12200500	3/2/2006	15200
12200500	3/3/2006	16000
12200500	3/4/2006	14700
12200500	3/5/2006	13000
12200500	3/6/2006	12800
12200500	3/7/2006	15400
12200500	3/8/2006	14700
12200500	3/9/2006	15800
12200500	3/10/2006	15500
12200500	3/11/2006	13300
12200500	3/12/2006	12500
12200500	3/13/2006	12700
12200500	3/14/2006	12100
12200500	3/15/2006	12300
12200500	3/16/2006	13600
12200500	3/17/2006	13900
12200500	3/18/2006	11900
12200500	3/19/2006	10200
12200500	3/20/2006	10600
12200500	3/21/2006	10900
12200500	3/22/2006	10800
12200500	3/23/2006	9880
12200500	3/24/2006	11000
12200500	3/25/2006	11400
12200500	3/26/2006	12600
12200500	3/27/2006	13700
12200500	3/28/2006	12100
12200500	3/29/2006	9660
12200500	3/30/2006	8710
12200500	3/31/2006	11200
12200500	4/1/2006	11300
12200500	4/2/2006	11700
12200500	4/3/2006	10500
12200500	4/4/2006	8890
12200500	4/5/2006	9100
12200500	4/6/2006	9160
12200500	4/7/2006	9210
12200500	4/8/2006	8990
12200500	4/9/2006	9800
12200500	4/10/2006	10200
12200500	4/11/2006	10100
12200500	4/12/2006	9600
12200500	4/13/2006	10900
12200500	4/14/2006	13100
12200500	4/15/2006	14900
12200500	4/16/2006	12600
12200500	4/17/2006	11100
12200500	4/18/2006	10200
12200500	4/19/2006	9640
12200500	4/20/2006	9540
12200500	4/21/2006	10500
12200500	4/22/2006	11000
12200500	4/23/2006	10200
12200500	4/24/2006	10000
12200500	4/25/2006	11300
12200500	4/26/2006	12500
12200500	4/27/2006	11900
12200500	4/28/2006	11800
12200500	4/29/2006	14100
12200500	4/30/2006	16200
12200500	5/1/2006	14100
12200500	5/2/2006	13700
12200500	5/3/2006	13300
12200500	5/4/2006	11200
12200500	5/5/2006	12100
12200500	5/6/2006	13500
12200500	5/7/2006	15300
12200500	5/8/2006	16000
12200500	5/9/2006	15300
12200500	5/10/2006	13600
12200500	5/11/2006	11000
12200500	5/12/2006	12300
12200500	5/13/2006	13200
12200500	5/14/2006	11700
12200500	5/15/2006	15100
12200500	5/16/2006	21600
12200500	5/17/2006	31100
12200500	5/18/2006	37500
12200500	5/19/2006	38700
12200500	5/20/2006	33600
12200500	5/21/2006	30200
12200500	5/22/2006	26300
12200500	5/23/2006	26800
12200500	5/24/2006	24100
12200500	5/25/2006	20300
12200500	5/26/2006	19800
12200500	5/27/2006	20100
12200500	5/28/2006	16400
12200500	5/29/2006	15200
12200500	5/30/2006	16300
12200500	5/31/2006	18200
12200500	6/1/2006	20100
12200500	6/2/2006	26100
12200500	6/3/2006	27900
12200500	6/4/2006	22800
12200500	6/5/2006	29100
12200500	6/6/2006	29000
12200500	6/7/2006	25600
12200500	6/8/2006	25600
12200500	6/9/2006	23100
12200500	6/10/2006	20900
12200500	6/11/2006	20800
12200500	6/12/2006	22000
12200500	6/13/2006	26800
12200500	6/14/2006	27300
12200500	6/15/2006	26400
12200500	6/16/2006	24000
12200500	6/17/2006	25600
12200500	6/18/2006	24500
12200500	6/19/2006	19200
12200500	6/20/2006	18200
12200500	6/21/2006	16500
12200500	6/22/2006	16000
12200500	6/23/2006	15200
12200500	6/24/2006	14600
12200500	6/25/2006	15800
12200500	6/26/2006	21600
12200500	6/27/2006	25900
12200500	6/28/2006	25400
12200500	6/29/2006	20700
12200500	6/30/2006	18800
12200500	7/1/2006	18900
12200500	7/2/2006	19200
12200500	7/3/2006	18800
12200500	7/4/2006	19600
12200500	7/5/2006	19900
12200500	7/6/2006	19100
12200500	7/7/2006	18400
12200500	7/8/2006	17900
12200500	7/9/2006	17600
12200500	7/10/2006	18100
12200500	7/11/2006	18000
12200500	7/12/2006	16200
12200500	7/13/2006	17600
12200500	7/14/2006	16200
12200500	7/15/2006	15100
12200500	7/16/2006	12800
12200500	7/17/2006	12000
12200500	7/18/2006	11900
12200500	7/19/2006	11700
12200500	7/20/2006	10900
12200500	7/21/2006	10500
12200500	7/22/2006	12600
12200500	7/23/2006	13300
12200500	7/24/2006	12900
12200500	7/25/2006	13000
12200500	7/26/2006	11900
12200500	7/27/2006	11300
12200500	7/28/2006	11400
12200500	7/29/2006	8880
12200500	7/30/2006	7820
12200500	7/31/2006	8710
12200500	8/1/2006	8640
12200500	8/2/2006	8480
