site_no	datetime	148595_00060_00003_cd
15s	20d	10s
12061500	1/1/2006	5680
12061500	1/2/2006	5030
12061500	1/3/2006	3000
12061500	1/4/2006	2540
12061500	1/5/2006	5630
12061500	1/6/2006	17600
12061500	1/7/2006	10700
12061500	1/8/2006	5800
12061500	1/9/2006	10700
12061500	1/10/2006	16600
12061500	1/11/2006	12800
12061500	1/12/2006	11300
12061500	1/13/2006	17200
12061500	1/14/2006	14500
12061500	1/15/2006	9110
12061500	1/16/2006	7810
12061500	1/17/2006	12600
12061500	1/18/2006	4910
12061500	1/19/2006	3120
12061500	1/20/2006	2940
12061500	1/21/2006	2390
12061500	1/22/2006	2030
12061500	1/23/2006	1820
12061500	1/24/2006	1670
12061500	1/25/2006	1570
12061500	1/26/2006	1760
12061500	1/27/2006	1820
12061500	1/28/2006	2220
12061500	1/29/2006	2600
12061500	1/30/2006	14300
12061500	1/31/2006	6490
12061500	2/1/2006	6630
12061500	2/2/2006	8110
12061500	2/3/2006	4670
12061500	2/4/2006	11200
12061500	2/5/2006	6720
12061500	2/6/2006	3260
12061500	2/7/2006	2380
12061500	2/8/2006	1950
12061500	2/9/2006	1710
12061500	2/10/2006	1500
12061500	2/11/2006	1330
12061500	2/12/2006	1200
12061500	2/13/2006	1110
12061500	2/14/2006	1050
12061500	2/15/2006	972
12061500	2/16/2006	917
12061500	2/17/2006	863
12061500	2/18/2006	814
12061500	2/19/2006	779
12061500	2/20/2006	745
12061500	2/21/2006	716
12061500	2/22/2006	690
12061500	2/23/2006	705
12061500	2/24/2006	682
12061500	2/25/2006	647
12061500	2/26/2006	632
12061500	2/27/2006	881
12061500	2/28/2006	977
12061500	3/1/2006	867
12061500	3/2/2006	819
12061500	3/3/2006	780
12061500	3/4/2006	734
12061500	3/5/2006	718
12061500	3/6/2006	752
12061500	3/7/2006	1150
12061500	3/8/2006	1240
12061500	3/9/2006	1290
12061500	3/10/2006	1080
12061500	3/11/2006	943
12061500	3/12/2006	869
12061500	3/13/2006	822
12061500	3/14/2006	823
12061500	3/15/2006	900
12061500	3/16/2006	1200
12061500	3/17/2006	1390
12061500	3/18/2006	1210
12061500	3/19/2006	1060
12061500	3/20/2006	968
12061500	3/21/2006	936
12061500	3/22/2006	1560
12061500	3/23/2006	3120
12061500	3/24/2006	2880
12061500	3/25/2006	2200
12061500	3/26/2006	1630
12061500	3/27/2006	1330
12061500	3/28/2006	1180
12061500	3/29/2006	1100
12061500	3/30/2006	1040
12061500	3/31/2006	1060
12061500	4/1/2006	1230
12061500	4/2/2006	1270
12061500	4/3/2006	1280
12061500	4/4/2006	1210
12061500	4/5/2006	1090
12061500	4/6/2006	1020
12061500	4/7/2006	955
12061500	4/8/2006	927
12061500	4/9/2006	971
12061500	4/10/2006	942
12061500	4/11/2006	887
12061500	4/12/2006	853
12061500	4/13/2006	868
12061500	4/14/2006	1340
12061500	4/15/2006	1370
12061500	4/16/2006	1380
12061500	4/17/2006	1270
12061500	4/18/2006	1170
12061500	4/19/2006	1090
12061500	4/20/2006	1050
12061500	4/21/2006	1060
12061500	4/22/2006	1000
12061500	4/23/2006	932
12061500	4/24/2006	894
12061500	4/25/2006	896
12061500	4/26/2006	893
12061500	4/27/2006	853
12061500	4/28/2006	853
12061500	4/29/2006	932
12061500	4/30/2006	885
12061500	5/1/2006	799
12061500	5/2/2006	745
12061500	5/3/2006	707
12061500	5/4/2006	687
12061500	5/5/2006	698
12061500	5/6/2006	722
12061500	5/7/2006	736
12061500	5/8/2006	724
12061500	5/9/2006	673
12061500	5/10/2006	640
12061500	5/11/2006	629
12061500	5/12/2006	628
12061500	5/13/2006	607
12061500	5/14/2006	586
12061500	5/15/2006	600
12061500	5/16/2006	715
12061500	5/17/2006	797
12061500	5/18/2006	799
12061500	5/19/2006	762
12061500	5/20/2006	706
12061500	5/21/2006	664
12061500	5/22/2006	705
12061500	5/23/2006	724
12061500	5/24/2006	765
12061500	5/25/2006	852
12061500	5/26/2006	781
12061500	5/27/2006	720
12061500	5/28/2006	669
12061500	5/29/2006	635
12061500	5/30/2006	602
12061500	5/31/2006	588
12061500	6/1/2006	679
12061500	6/2/2006	855
12061500	6/3/2006	765
12061500	6/4/2006	813
12061500	6/5/2006	967
12061500	6/6/2006	804
12061500	6/7/2006	719
12061500	6/8/2006	665
12061500	6/9/2006	635
12061500	6/10/2006	618
12061500	6/11/2006	586
12061500	6/12/2006	625
12061500	6/13/2006	586
12061500	6/14/2006	562
12061500	6/15/2006	551
12061500	6/16/2006	550
12061500	6/17/2006	557
12061500	6/18/2006	531
12061500	6/19/2006	504
12061500	6/20/2006	483
12061500	6/21/2006	465
12061500	6/22/2006	450
12061500	6/23/2006	434
12061500	6/24/2006	420
12061500	6/25/2006	409
12061500	6/26/2006	408
12061500	6/27/2006	405
12061500	6/28/2006	395
12061500	6/29/2006	381
12061500	6/30/2006	367
12061500	7/1/2006	357
12061500	7/2/2006	349
12061500	7/3/2006	343
12061500	7/4/2006	338
12061500	7/5/2006	335
12061500	7/6/2006	331
12061500	7/7/2006	324
12061500	7/8/2006	315
12061500	7/9/2006	307
12061500	7/10/2006	302
12061500	7/11/2006	301
12061500	7/12/2006	305
12061500	7/13/2006	309
12061500	7/14/2006	299
12061500	7/15/2006	288
12061500	7/16/2006	281
12061500	7/17/2006	277
12061500	7/18/2006	275
12061500	7/19/2006	270
12061500	7/20/2006	265
12061500	7/21/2006	261
12061500	7/22/2006	258
12061500	7/23/2006	256
12061500	7/24/2006	252
12061500	7/25/2006	251
12061500	7/26/2006	250
12061500	7/27/2006	246
12061500	7/28/2006	243
12061500	7/29/2006	242
12061500	7/30/2006	241
12061500	7/31/2006	239
12061500	8/1/2006	237
12061500	8/2/2006	235
12061500	8/3/2006	231
12061500	8/4/2006	229
12061500	8/5/2006	227
12061500	8/6/2006	225
12061500	8/7/2006	222
12061500	8/8/2006	221
12061500	8/9/2006	221
12061500	8/10/2006	220
12061500	8/11/2006	220
12061500	8/12/2006	218
12061500	8/13/2006	216
12061500	8/14/2006	213
12061500	8/15/2006	212
12061500	8/16/2006	210
12061500	8/17/2006	210
12061500	8/18/2006	211
12061500	8/19/2006	211
12061500	8/20/2006	209
12061500	8/21/2006	208
12061500	8/22/2006	207
12061500	8/23/2006	206
12061500	8/24/2006	207
12061500	8/25/2006	207
12061500	8/26/2006	204
12061500	8/27/2006	202
12061500	8/28/2006	199
12061500	8/29/2006	196
12061500	8/30/2006	196
12061500	8/31/2006	195
12061500	9/1/2006	193
12061500	9/2/2006	190
12061500	9/3/2006	189
12061500	9/4/2006	188
12061500	9/5/2006	188
12061500	9/6/2006	187
12061500	9/7/2006	187
12061500	9/8/2006	186
12061500	9/9/2006	186
12061500	9/10/2006	186
12061500	9/11/2006	187
12061500	9/12/2006	182
12061500	9/13/2006	177
12061500	9/14/2006	178
12061500	9/15/2006	178
12061500	9/16/2006	178
12061500	9/17/2006	180
12061500	9/18/2006	189
12061500	9/19/2006	195
12061500	9/20/2006	208
12061500	9/21/2006	214
12061500	9/22/2006	205
12061500	9/23/2006	195
12061500	9/24/2006	188
12061500	9/25/2006	184
12061500	9/26/2006	180
12061500	9/27/2006	176
12061500	9/28/2006	174
12061500	9/29/2006	172
12061500	9/30/2006	172
12061500	10/1/2006	171
12061500	10/2/2006	169
12061500	10/3/2006	168
12061500	10/4/2006	168
12061500	10/5/2006	166
12061500	10/6/2006	167
12061500	10/7/2006	167
12061500	10/8/2006	166
12061500	10/9/2006	164
12061500	10/10/2006	163
12061500	10/11/2006	163
12061500	10/12/2006	162
12061500	10/13/2006	162
12061500	10/14/2006	160
12061500	10/15/2006	177
12061500	10/16/2006	184
12061500	10/17/2006	179
12061500	10/18/2006	173
12061500	10/19/2006	176
12061500	10/20/2006	175
12061500	10/21/2006	174
12061500	10/22/2006	169
12061500	10/23/2006	167
12061500	10/24/2006	164
12061500	10/25/2006	163
12061500	10/26/2006	163
12061500	10/27/2006	161
12061500	10/28/2006	163
12061500	10/29/2006	162
12061500	10/30/2006	160
12061500	10/31/2006	159
12061500	11/1/2006	159
12061500	11/2/2006	210
12061500	11/3/2006	1850
12061500	11/4/2006	6760
12061500	11/5/2006	5480
12061500	11/6/2006	18400
12061500	11/7/2006	16800
12061500	11/8/2006	5140
12061500	11/9/2006	2670
12061500	11/10/2006	4890
12061500	11/11/2006	5220
12061500	11/12/2006	6510
12061500	11/13/2006	10400
12061500	11/14/2006	4050
12061500	11/15/2006	8170
12061500	11/16/2006	13800
12061500	11/17/2006	4220
12061500	11/18/2006	3260
12061500	11/19/2006	3920
12061500	11/20/2006	3800
12061500	11/21/2006	7290
12061500	11/22/2006	5720
12061500	11/23/2006	4220
12061500	11/24/2006	3040
12061500	11/25/2006	2220
12061500	11/26/2006	1920
12061500	11/27/2006	1580
12061500	11/28/2006	1300
12061500	11/29/2006	1130
12061500	11/30/2006	1130
12061500	12/1/2006	995
12061500	12/2/2006	921
12061500	12/3/2006	859
12061500	12/4/2006	846
12061500	12/5/2006	891
12061500	12/6/2006	899
12061500	12/7/2006	937
12061500	12/8/2006	1010
12061500	12/9/2006	1200
12061500	12/10/2006	1610
12061500	12/11/2006	6490
12061500	12/12/2006	9040
12061500	12/13/2006	10400
12061500	12/14/2006	8720
12061500	12/15/2006	15700
12061500	12/16/2006	5340
12061500	12/17/2006	2970
12061500	12/18/2006	2190
12061500	12/19/2006	1860
12061500	12/20/2006	1930
12061500	12/21/2006	4380
12061500	12/22/2006	3090
12061500	12/23/2006	2380
12061500	12/24/2006	2680
12061500	12/25/2006	6500
12061500	12/26/2006	3380
12061500	12/27/2006	2970
12061500	12/28/2006	2170
12061500	12/29/2006	1760
12061500	12/30/2006	1480
12061500	12/31/2006	1270
12061500	1/1/2007	1320
12061500	1/2/2007	12200
12061500	1/3/2007	11300
12061500	1/4/2007	4190
12061500	1/5/2007	3470
12061500	1/6/2007	7390
12061500	1/7/2007	8690
12061500	1/8/2007	6340
12061500	1/9/2007	4100
12061500	1/10/2007	3630
12061500	1/11/2007	2510
12061500	1/12/2007	1920
12061500	1/13/2007	1590
12061500	1/14/2007	1360
12061500	1/15/2007	1200
12061500	1/16/2007	1090
12061500	1/17/2007	982
12061500	1/18/2007	956
12061500	1/19/2007	975
12061500	1/20/2007	984
12061500	1/21/2007	913
12061500	1/22/2007	975
12061500	1/23/2007	1740
12061500	1/24/2007	1510
12061500	1/25/2007	1230
12061500	1/26/2007	1050
12061500	1/27/2007	942
12061500	1/28/2007	874
12061500	1/29/2007	814
12061500	1/30/2007	772
12061500	1/31/2007	732
12061500	2/1/2007	695
12061500	2/2/2007	659
12061500	2/3/2007	632
12061500	2/4/2007	614
12061500	2/5/2007	640
12061500	2/6/2007	700
12061500	2/7/2007	739
12061500	2/8/2007	884
12061500	2/9/2007	912
12061500	2/10/2007	957
12061500	2/11/2007	1090
12061500	2/12/2007	1610
12061500	2/13/2007	1330
12061500	2/14/2007	1100
12061500	2/15/2007	1500
12061500	2/16/2007	1810
12061500	2/17/2007	1350
12061500	2/18/2007	1290
12061500	2/19/2007	1530
12061500	2/20/2007	3940
12061500	2/21/2007	2250
12061500	2/22/2007	1640
12061500	2/23/2007	1340
12061500	2/24/2007	1270
12061500	2/25/2007	1630
12061500	2/26/2007	1810
12061500	2/27/2007	1480
12061500	2/28/2007	1210
12061500	3/1/2007	1020
12061500	3/2/2007	941
12061500	3/3/2007	909
12061500	3/4/2007	957
12061500	3/5/2007	1080
12061500	3/6/2007	1220
12061500	3/7/2007	1740
12061500	3/8/2007	2050
12061500	3/9/2007	3260
12061500	3/10/2007	3240
12061500	3/11/2007	11400
12061500	3/12/2007	15500
12061500	3/13/2007	5550
12061500	3/14/2007	3110
12061500	3/15/2007	2290
12061500	3/16/2007	1890
12061500	3/17/2007	1680
12061500	3/18/2007	1610
12061500	3/19/2007	1680
12061500	3/20/2007	2210
12061500	3/21/2007	1730
12061500	3/22/2007	1450
12061500	3/23/2007	1500
12061500	3/24/2007	4890
12061500	3/25/2007	4390
12061500	3/26/2007	2480
12061500	3/27/2007	1910
12061500	3/28/2007	1530
12061500	3/29/2007	1310
12061500	3/30/2007	1160
12061500	3/31/2007	1070
12061500	4/1/2007	989
12061500	4/2/2007	923
12061500	4/3/2007	871
12061500	4/4/2007	832
12061500	4/5/2007	794
12061500	4/6/2007	777
12061500	4/7/2007	824
12061500	4/8/2007	889
12061500	4/9/2007	1220
12061500	4/10/2007	1140
12061500	4/11/2007	965
12061500	4/12/2007	893
12061500	4/13/2007	870
12061500	4/14/2007	1040
12061500	4/15/2007	991
12061500	4/16/2007	921
12061500	4/17/2007	893
12061500	4/18/2007	845
12061500	4/19/2007	806
12061500	4/20/2007	766
12061500	4/21/2007	747
12061500	4/22/2007	890
12061500	4/23/2007	849
12061500	4/24/2007	825
12061500	4/25/2007	838
12061500	4/26/2007	909
12061500	4/27/2007	1230
12061500	4/28/2007	1500
12061500	4/29/2007	1150
12061500	4/30/2007	963
12061500	5/1/2007	877
12061500	5/2/2007	908
12061500	5/3/2007	979
12061500	5/4/2007	923
12061500	5/5/2007	853
12061500	5/6/2007	795
12061500	5/7/2007	768
12061500	5/8/2007	778
12061500	5/9/2007	768
12061500	5/10/2007	721
12061500	5/11/2007	688
12061500	5/12/2007	667
12061500	5/13/2007	652
12061500	5/14/2007	623
12061500	5/15/2007	602
12061500	5/16/2007	612
12061500	5/17/2007	605
12061500	5/18/2007	585
12061500	5/19/2007	571
12061500	5/20/2007	715
12061500	5/21/2007	867
12061500	5/22/2007	686
12061500	5/23/2007	630
12061500	5/24/2007	601
12061500	5/25/2007	589
12061500	5/26/2007	586
12061500	5/27/2007	577
12061500	5/28/2007	554
12061500	5/29/2007	529
12061500	5/30/2007	516
12061500	5/31/2007	534
12061500	6/1/2007	545
12061500	6/2/2007	545
12061500	6/3/2007	545
12061500	6/4/2007	543
12061500	6/5/2007	523
12061500	6/6/2007	496
12061500	6/7/2007	473
12061500	6/8/2007	456
12061500	6/9/2007	466
12061500	6/10/2007	503
12061500	6/11/2007	485
12061500	6/12/2007	453
12061500	6/13/2007	430
12061500	6/14/2007	421
12061500	6/15/2007	409
12061500	6/16/2007	396
12061500	6/17/2007	386
12061500	6/18/2007	382
12061500	6/19/2007	376
12061500	6/20/2007	368
12061500	6/21/2007	371
12061500	6/22/2007	369
12061500	6/23/2007	363
12061500	6/24/2007	367
12061500	6/25/2007	377
12061500	6/26/2007	360
12061500	6/27/2007	351
12061500	6/28/2007	353
12061500	6/29/2007	405
12061500	6/30/2007	402
12061500	7/1/2007	373
12061500	7/2/2007	353
12061500	7/3/2007	337
12061500	7/4/2007	329
12061500	7/5/2007	324
12061500	7/6/2007	319
12061500	7/7/2007	315
12061500	7/8/2007	310
12061500	7/9/2007	307
12061500	7/10/2007	302
12061500	7/11/2007	296
12061500	7/12/2007	293
12061500	7/13/2007	287
12061500	7/14/2007	279
12061500	7/15/2007	275
12061500	7/16/2007	272
12061500	7/17/2007	280
12061500	7/18/2007	277
12061500	7/19/2007	279
12061500	7/20/2007	299
12061500	7/21/2007	568
12061500	7/22/2007	4220
12061500	7/23/2007	1730
12061500	7/24/2007	971
12061500	7/25/2007	742
12061500	7/26/2007	625
12061500	7/27/2007	551
12061500	7/28/2007	503
12061500	7/29/2007	466
12061500	7/30/2007	434
12061500	7/31/2007	411
12061500	8/1/2007	393
12061500	8/2/2007	385
12061500	8/3/2007	380
12061500	8/4/2007	370
12061500	8/5/2007	362
12061500	8/6/2007	353
12061500	8/7/2007	342
12061500	8/8/2007	339
12061500	8/9/2007	328
12061500	8/10/2007	321
12061500	8/11/2007	318
12061500	8/12/2007	311
12061500	8/13/2007	303
12061500	8/14/2007	295
12061500	8/15/2007	286
12061500	8/16/2007	287
12061500	8/17/2007	289
12061500	8/18/2007	293
12061500	8/19/2007	299
12061500	8/20/2007	292
12061500	8/21/2007	285
12061500	8/22/2007	279
12061500	8/23/2007	273
12061500	8/24/2007	266
12061500	8/25/2007	261
12061500	8/26/2007	258
12061500	8/27/2007	253
12061500	8/28/2007	250
12061500	8/29/2007	245
12061500	8/30/2007	238
12061500	8/31/2007	233
12061500	9/1/2007	230
12061500	9/2/2007	225
12061500	9/3/2007	224
12061500	9/4/2007	230
12061500	9/5/2007	226
12061500	9/6/2007	222
12061500	9/7/2007	217
12061500	9/8/2007	215
12061500	9/9/2007	211
12061500	9/10/2007	206
12061500	9/11/2007	202
12061500	9/12/2007	199
12061500	9/13/2007	195
12061500	9/14/2007	191
12061500	9/15/2007	192
12061500	9/16/2007	193
12061500	9/17/2007	197
12061500	9/18/2007	198
12061500	9/19/2007	194
12061500	9/20/2007	194
12061500	9/21/2007	183
12061500	9/22/2007	181
12061500	9/23/2007	181
12061500	9/24/2007	178
12061500	9/25/2007	178
12061500	9/26/2007	175
12061500	9/27/2007	173
12061500	9/28/2007	177
12061500	9/29/2007	176
12061500	9/30/2007	947
12061500	10/1/2007	1320
12061500	10/2/2007	1180
12061500	10/3/2007	1060
12061500	10/4/2007	727
12061500	10/5/2007	559
12061500	10/6/2007	468
12061500	10/7/2007	1100
12061500	10/8/2007	1720
12061500	10/9/2007	990
12061500	10/10/2007	824
12061500	10/11/2007	713
12061500	10/12/2007	619
12061500	10/13/2007	549
