site_no	datetime	149182_00060_00003_cd
15s	20d	10s
12150800	1/1/2006	18800
12150800	1/2/2006	15600
12150800	1/3/2006	13200
12150800	1/4/2006	11800
12150800	1/5/2006	11000
12150800	1/6/2006	18800
12150800	1/7/2006	24600
12150800	1/8/2006	22900
12150800	1/9/2006	20900
12150800	1/10/2006	37800
12150800	1/11/2006	42400
12150800	1/12/2006	34300
12150800	1/13/2006	29200
12150800	1/14/2006	26400
12150800	1/15/2006	21900
12150800	1/16/2006	18500
12150800	1/17/2006	23200
12150800	1/18/2006	21600
12150800	1/19/2006	17600
12150800	1/20/2006	16600
12150800	1/21/2006	15900
12150800	1/22/2006	14000
12150800	1/23/2006	12900
12150800	1/24/2006	12200
12150800	1/25/2006	11900
12150800	1/26/2006	11700
12150800	1/27/2006	11700
12150800	1/28/2006	12200
12150800	1/29/2006	12800
12150800	1/30/2006	25800
12150800	1/31/2006	30500
12150800	2/1/2006	23700
12150800	2/2/2006	21700
12150800	2/3/2006	20200
12150800	2/4/2006	19100
12150800	2/5/2006	17400
12150800	2/6/2006	14500
12150800	2/7/2006	12500
12150800	2/8/2006	11600
12150800	2/9/2006	11100
12150800	2/10/2006	9840
12150800	2/11/2006	8450
12150800	2/12/2006	7780
12150800	2/13/2006	7480
12150800	2/14/2006	7380
12150800	2/15/2006	7050
12150800	2/16/2006	6860
12150800	2/17/2006	6480
12150800	2/18/2006	5650
12150800	2/19/2006	5360
12150800	2/20/2006	5070
12150800	2/21/2006	4910
12150800	2/22/2006	5030
12150800	2/23/2006	7050
12150800	2/24/2006	8690
12150800	2/25/2006	6870
12150800	2/26/2006	6080
12150800	2/27/2006	6020
12150800	2/28/2006	8210
12150800	3/1/2006	8680
12150800	3/2/2006	7720
12150800	3/3/2006	7280
12150800	3/4/2006	6500
12150800	3/5/2006	5980
12150800	3/6/2006	5600
12150800	3/7/2006	5580
12150800	3/8/2006	6210
12150800	3/9/2006	7950
12150800	3/10/2006	7320
12150800	3/11/2006	6240
12150800	3/12/2006	5700
12150800	3/13/2006	5270
12150800	3/14/2006	4880
12150800	3/15/2006	4810
12150800	3/16/2006	4970
12150800	3/17/2006	4850
12150800	3/18/2006	4700
12150800	3/19/2006	4600
12150800	3/20/2006	4430
12150800	3/21/2006	4300
12150800	3/22/2006	4270
12150800	3/23/2006	4320
12150800	3/24/2006	4630
12150800	3/25/2006	5190
12150800	3/26/2006	4950
12150800	3/27/2006	4670
12150800	3/28/2006	4520
12150800	3/29/2006	4640
12150800	3/30/2006	4670
12150800	3/31/2006	4650
12150800	4/1/2006	5350
12150800	4/2/2006	6270
12150800	4/3/2006	5710
12150800	4/4/2006	6180
12150800	4/5/2006	6570
12150800	4/6/2006	6540
12150800	4/7/2006	6460
12150800	4/8/2006	6310
12150800	4/9/2006	9540
12150800	4/10/2006	9900
12150800	4/11/2006	8490
12150800	4/12/2006	7820
12150800	4/13/2006	8710
12150800	4/14/2006	10600
12150800	4/15/2006	12500
12150800	4/16/2006	10400
12150800	4/17/2006	8770
12150800	4/18/2006	7860
12150800	4/19/2006	7240
12150800	4/20/2006	7110
12150800	4/21/2006	8350
12150800	4/22/2006	8870
12150800	4/23/2006	7840
12150800	4/24/2006	7730
12150800	4/25/2006	8290
12150800	4/26/2006	9070
12150800	4/27/2006	8740
12150800	4/28/2006	9330
12150800	4/29/2006	13400
12150800	4/30/2006	14000
12150800	5/1/2006	10900
12150800	5/2/2006	8490
12150800	5/3/2006	7200
12150800	5/4/2006	6900
12150800	5/5/2006	7620
12150800	5/6/2006	8840
12150800	5/7/2006	9080
12150800	5/8/2006	10800
12150800	5/9/2006	8950
12150800	5/10/2006	7450
12150800	5/11/2006	7480
12150800	5/12/2006	7980
12150800	5/13/2006	7480
12150800	5/14/2006	7000
12150800	5/15/2006	9090
12150800	5/16/2006	16900
12150800	5/17/2006	22500
12150800	5/18/2006	24500
12150800	5/19/2006	23000
12150800	5/20/2006	20300
12150800	5/21/2006	17400
12150800	5/22/2006	15500
12150800	5/23/2006	16700
12150800	5/24/2006	15000
12150800	5/25/2006	14800
12150800	5/26/2006	13800
12150800	5/27/2006	13500
12150800	5/28/2006	14400
12150800	5/29/2006	18300
12150800	5/30/2006	15500
12150800	5/31/2006	13500
12150800	6/1/2006	14600
12150800	6/2/2006	19100
12150800	6/3/2006	20800
12150800	6/4/2006	18200
12150800	6/5/2006	22500
12150800	6/6/2006	18900
12150800	6/7/2006	16400
12150800	6/8/2006	14500
12150800	6/9/2006	13100
12150800	6/10/2006	11900
12150800	6/11/2006	11200
12150800	6/12/2006	12400
12150800	6/13/2006	15000
12150800	6/14/2006	13400
12150800	6/15/2006	13800
12150800	6/16/2006	13800
12150800	6/17/2006	13900
12150800	6/18/2006	12100
12150800	6/19/2006	10300
12150800	6/20/2006	9250
12150800	6/21/2006	8520
12150800	6/22/2006	8070
12150800	6/23/2006	7850
12150800	6/24/2006	7840
12150800	6/25/2006	8470
12150800	6/26/2006	9750
12150800	6/27/2006	10500
12150800	6/28/2006	10200
12150800	6/29/2006	8650
12150800	6/30/2006	7600
12150800	7/1/2006	6860
12150800	7/2/2006	6650
12150800	7/3/2006	6350
12150800	7/4/2006	6180
12150800	7/5/2006	6170
12150800	7/6/2006	5610
12150800	7/7/2006	4970
12150800	7/8/2006	4540
12150800	7/9/2006	4310
12150800	7/10/2006	4250
12150800	7/11/2006	4190
12150800	7/12/2006	3930
12150800	7/13/2006	4230
12150800	7/14/2006	4360
12150800	7/15/2006	4030
12150800	7/16/2006	3720
12150800	7/17/2006	3540
12150800	7/18/2006	3300
12150800	7/19/2006	3170
12150800	7/20/2006	3050
12150800	7/21/2006	2980
12150800	7/22/2006	3050
12150800	7/23/2006	3070
12150800	7/24/2006	3020
12150800	7/25/2006	2900
12150800	7/26/2006	2760
12150800	7/27/2006	2650
12150800	7/28/2006	2550
12150800	7/29/2006	2450
12150800	7/30/2006	2330
12150800	7/31/2006	2570
12150800	8/1/2006	2300
12150800	8/2/2006	2170
12150800	8/3/2006	2060
12150800	8/4/2006	1970
12150800	8/5/2006	1930
12150800	8/6/2006	1880
12150800	8/7/2006	1840
12150800	8/8/2006	1800
12150800	8/9/2006	1790
12150800	8/10/2006	1860
12150800	8/11/2006	1760
12150800	8/12/2006	1720
12150800	8/13/2006	1680
12150800	8/14/2006	1630
12150800	8/15/2006	1600
12150800	8/16/2006	1580
12150800	8/17/2006	1550
12150800	8/18/2006	1530
12150800	8/19/2006	1490
12150800	8/20/2006	1460
12150800	8/21/2006	1440
12150800	8/22/2006	1430
12150800	8/23/2006	1420
12150800	8/24/2006	1410
12150800	8/25/2006	1370
12150800	8/26/2006	1350
12150800	8/27/2006	1330
12150800	8/28/2006	1300
12150800	8/29/2006	1280
12150800	8/30/2006	1640
12150800	8/31/2006	1950
12150800	9/1/2006	1520
12150800	9/2/2006	1410
12150800	9/3/2006	1350
12150800	9/4/2006	1300
12150800	9/5/2006	1270
12150800	9/6/2006	1240
12150800	9/7/2006	1220
12150800	9/8/2006	1200
12150800	9/9/2006	1190
12150800	9/10/2006	1170
12150800	9/11/2006	1160
12150800	9/12/2006	1110
12150800	9/13/2006	1110
12150800	9/14/2006	1400
12150800	9/15/2006	1700
12150800	9/16/2006	1390
12150800	9/17/2006	1290
12150800	9/18/2006	1290
12150800	9/19/2006	2150
12150800	9/20/2006	2500
12150800	9/21/2006	4390
12150800	9/22/2006	5990
12150800	9/23/2006	3810
12150800	9/24/2006	2960
12150800	9/25/2006	2520
12150800	9/26/2006	2290
12150800	9/27/2006	2150
12150800	9/28/2006	2050
12150800	9/29/2006	1990
12150800	9/30/2006	1940
12150800	10/1/2006	1900
12150800	10/2/2006	1860
12150800	10/3/2006	1800
12150800	10/4/2006	1760
12150800	10/5/2006	1730
12150800	10/6/2006	1720
12150800	10/7/2006	1700
12150800	10/8/2006	1680
12150800	10/9/2006	1680
12150800	10/10/2006	1660
12150800	10/11/2006	1650
12150800	10/12/2006	1630
12150800	10/13/2006	1610
12150800	10/14/2006	1600
12150800	10/15/2006	1620
12150800	10/16/2006	2820
12150800	10/17/2006	3410
12150800	10/18/2006	2990
12150800	10/19/2006	3150
12150800	10/20/2006	6180
