site_no	datetime	149268_00060_00003_cd
15s	20d	10s
12167000	1/1/2006	4170
12167000	1/2/2006	3330
12167000	1/3/2006	2840
12167000	1/4/2006	2890
12167000	1/5/2006	4630
12167000	1/6/2006	11100
12167000	1/7/2006	9030
12167000	1/8/2006	6250
12167000	1/9/2006	9190
12167000	1/10/2006	16400
12167000	1/11/2006	10400
12167000	1/12/2006	6230
12167000	1/13/2006	9960
12167000	1/14/2006	7190
12167000	1/15/2006	4590
12167000	1/16/2006	4000
12167000	1/17/2006	8770
12167000	1/18/2006	4770
12167000	1/19/2006	3890
12167000	1/20/2006	4090
12167000	1/21/2006	3240
12167000	1/22/2006	2660
12167000	1/23/2006	2800
12167000	1/24/2006	2500
12167000	1/25/2006	2350
12167000	1/26/2006	2450
12167000	1/27/2006	2420
12167000	1/28/2006	2730
12167000	1/29/2006	2730
12167000	1/30/2006	10200
12167000	1/31/2006	5550
12167000	2/1/2006	4880
12167000	2/2/2006	5650
12167000	2/3/2006	4510
12167000	2/4/2006	5260
12167000	2/5/2006	4300
12167000	2/6/2006	3230
12167000	2/7/2006	2650
12167000	2/8/2006	2500
12167000	2/9/2006	2230
12167000	2/10/2006	1910
12167000	2/11/2006	1700
12167000	2/12/2006	1540
12167000	2/13/2006	1470
12167000	2/14/2006	1390
12167000	2/15/2006	1270
12167000	2/16/2006	1190
12167000	2/17/2006	1090
12167000	2/18/2006	1020
12167000	2/19/2006	1010
12167000	2/20/2006	980
12167000	2/21/2006	968
12167000	2/22/2006	1170
12167000	2/23/2006	2290
12167000	2/24/2006	1640
12167000	2/25/2006	1280
12167000	2/26/2006	1170
12167000	2/27/2006	1590
12167000	2/28/2006	2070
12167000	3/1/2006	1780
12167000	3/2/2006	1740
12167000	3/3/2006	1630
12167000	3/4/2006	1420
12167000	3/5/2006	1300
12167000	3/6/2006	1230
12167000	3/7/2006	1380
12167000	3/8/2006	1640
12167000	3/9/2006	1850
12167000	3/10/2006	1500
12167000	3/11/2006	1340
12167000	3/12/2006	1230
12167000	3/13/2006	1150
12167000	3/14/2006	1110
12167000	3/15/2006	1120
12167000	3/16/2006	1150
12167000	3/17/2006	1200
12167000	3/18/2006	1190
12167000	3/19/2006	1110
12167000	3/20/2006	1050
12167000	3/21/2006	1020
12167000	3/22/2006	1110
12167000	3/23/2006	1250
12167000	3/24/2006	1700
12167000	3/25/2006	1700
12167000	3/26/2006	1370
12167000	3/27/2006	1230
12167000	3/28/2006	1270
12167000	3/29/2006	1350
12167000	3/30/2006	1580
12167000	3/31/2006	1530
12167000	4/1/2006	1780
12167000	4/2/2006	1800
12167000	4/3/2006	1530
12167000	4/4/2006	1720
12167000	4/5/2006	1580
12167000	4/6/2006	1590
12167000	4/7/2006	1470
12167000	4/8/2006	1530
12167000	4/9/2006	2380
12167000	4/10/2006	2050
12167000	4/11/2006	1780
12167000	4/12/2006	1970
12167000	4/13/2006	2170
12167000	4/14/2006	4630
12167000	4/15/2006	3760
12167000	4/16/2006	3040
12167000	4/17/2006	2400
12167000	4/18/2006	2080
12167000	4/19/2006	1880
12167000	4/20/2006	1870
12167000	4/21/2006	2470
12167000	4/22/2006	2110
12167000	4/23/2006	1780
12167000	4/24/2006	1830
12167000	4/25/2006	2060
12167000	4/26/2006	2110
12167000	4/27/2006	1820
12167000	4/28/2006	2050
12167000	4/29/2006	2880
12167000	4/30/2006	2540
12167000	5/1/2006	1980
12167000	5/2/2006	1620
12167000	5/3/2006	1460
12167000	5/4/2006	1510
12167000	5/5/2006	1790
12167000	5/6/2006	2020
12167000	5/7/2006	2410
12167000	5/8/2006	2820
12167000	5/9/2006	1910
12167000	5/10/2006	1630
12167000	5/11/2006	1680
12167000	5/12/2006	1760
12167000	5/13/2006	1530
12167000	5/14/2006	1480
12167000	5/15/2006	2080
12167000	5/16/2006	3300
12167000	5/17/2006	3480
12167000	5/18/2006	3410
12167000	5/19/2006	3130
12167000	5/20/2006	2980
12167000	5/21/2006	2440
12167000	5/22/2006	2400
12167000	5/23/2006	2270
12167000	5/24/2006	2260
12167000	5/25/2006	2370
12167000	5/26/2006	2450
12167000	5/27/2006	2670
12167000	5/28/2006	2680
12167000	5/29/2006	2730
12167000	5/30/2006	2030
12167000	5/31/2006	1870
12167000	6/1/2006	2060
12167000	6/2/2006	3230
12167000	6/3/2006	2930
12167000	6/4/2006	2850
12167000	6/5/2006	4170
12167000	6/6/2006	2650
12167000	6/7/2006	2090
12167000	6/8/2006	1800
12167000	6/9/2006	1660
12167000	6/10/2006	1510
12167000	6/11/2006	1430
12167000	6/12/2006	1500
12167000	6/13/2006	1890
12167000	6/14/2006	1600
12167000	6/15/2006	1460
12167000	6/16/2006	1440
12167000	6/17/2006	1870
12167000	6/18/2006	1620
12167000	6/19/2006	1310
12167000	6/20/2006	1170
12167000	6/21/2006	1080
12167000	6/22/2006	1020
12167000	6/23/2006	971
12167000	6/24/2006	973
12167000	6/25/2006	1030
12167000	6/26/2006	1110
12167000	6/27/2006	1130
12167000	6/28/2006	1040
12167000	6/29/2006	897
12167000	6/30/2006	841
12167000	7/1/2006	803
12167000	7/2/2006	777
12167000	7/3/2006	747
12167000	7/4/2006	746
12167000	7/5/2006	748
12167000	7/6/2006	697
12167000	7/7/2006	629
12167000	7/8/2006	568
12167000	7/9/2006	544
12167000	7/10/2006	549
12167000	7/11/2006	533
12167000	7/12/2006	543
12167000	7/13/2006	1810
12167000	7/14/2006	1020
12167000	7/15/2006	813
12167000	7/16/2006	698
12167000	7/17/2006	633
12167000	7/18/2006	597
12167000	7/19/2006	557
12167000	7/20/2006	529
12167000	7/21/2006	518
12167000	7/22/2006	548
12167000	7/23/2006	540
12167000	7/24/2006	525
12167000	7/25/2006	496
12167000	7/26/2006	466
12167000	7/27/2006	452
12167000	7/28/2006	432
12167000	7/29/2006	415
12167000	7/30/2006	441
12167000	7/31/2006	520
12167000	8/1/2006	420
12167000	8/2/2006	378
12167000	8/3/2006	357
12167000	8/4/2006	340
12167000	8/5/2006	330
12167000	8/6/2006	321
12167000	8/7/2006	314
12167000	8/8/2006	309
12167000	8/9/2006	328
12167000	8/10/2006	347
12167000	8/11/2006	342
12167000	8/12/2006	315
12167000	8/13/2006	294
12167000	8/14/2006	277
12167000	8/15/2006	267
12167000	8/16/2006	262
12167000	8/17/2006	259
12167000	8/18/2006	254
12167000	8/19/2006	246
12167000	8/20/2006	234
12167000	8/21/2006	231
12167000	8/22/2006	227
12167000	8/23/2006	227
12167000	8/24/2006	223
12167000	8/25/2006	220
12167000	8/26/2006	209
12167000	8/27/2006	206
12167000	8/28/2006	201
12167000	8/29/2006	201
12167000	8/30/2006	280
12167000	8/31/2006	371
12167000	9/1/2006	267
12167000	9/2/2006	229
12167000	9/3/2006	214
12167000	9/4/2006	205
12167000	9/5/2006	202
12167000	9/6/2006	197
12167000	9/7/2006	188
12167000	9/8/2006	185
12167000	9/9/2006	199
12167000	9/10/2006	206
12167000	9/11/2006	193
12167000	9/12/2006	179
12167000	9/13/2006	175
12167000	9/14/2006	190
12167000	9/15/2006	197
12167000	9/16/2006	186
12167000	9/17/2006	178
12167000	9/18/2006	216
12167000	9/19/2006	462
12167000	9/20/2006	535
12167000	9/21/2006	1280
12167000	9/22/2006	709
12167000	9/23/2006	459
12167000	9/24/2006	362
12167000	9/25/2006	309
12167000	9/26/2006	276
12167000	9/27/2006	253
12167000	9/28/2006	236
12167000	9/29/2006	225
12167000	9/30/2006	210
12167000	10/1/2006	201
12167000	10/2/2006	192
12167000	10/3/2006	184
12167000	10/4/2006	179
12167000	10/5/2006	176
12167000	10/6/2006	173
12167000	10/7/2006	170
12167000	10/8/2006	175
12167000	10/9/2006	172
12167000	10/10/2006	166
12167000	10/11/2006	162
12167000	10/12/2006	159
12167000	10/13/2006	157
12167000	10/14/2006	155
12167000	10/15/2006	200
12167000	10/16/2006	674
12167000	10/17/2006	445
12167000	10/18/2006	318
12167000	10/19/2006	775
12167000	10/20/2006	889
12167000	10/21/2006	497
12167000	10/22/2006	369
12167000	10/23/2006	305
12167000	10/24/2006	332
12167000	10/25/2006	1260
12167000	10/26/2006	773
12167000	10/27/2006	702
12167000	10/28/2006	691
12167000	10/29/2006	733
12167000	10/30/2006	769
12167000	10/31/2006	551
12167000	11/1/2006	454
12167000	11/2/2006	478
12167000	11/3/2006	4250
12167000	11/4/2006	6850
12167000	11/5/2006	4970
12167000	11/6/2006	22800
12167000	11/7/2006	14000
12167000	11/8/2006	8060
12167000	11/9/2006	4240
12167000	11/10/2006	3820
12167000	11/11/2006	4330
12167000	11/12/2006	5210
12167000	11/13/2006	6150
12167000	11/14/2006	4170
12167000	11/15/2006	4390
12167000	11/16/2006	7210
12167000	11/17/2006	3660
12167000	11/18/2006	2870
12167000	11/19/2006	2800
12167000	11/20/2006	3730
12167000	11/21/2006	4780
12167000	11/22/2006	4060
12167000	11/23/2006	3590
12167000	11/24/2006	3210
12167000	11/25/2006	2750
12167000	11/26/2006	2420
12167000	11/27/2006	2220
12167000	11/28/2006	1890
12167000	11/29/2006	1700
12167000	11/30/2006	1800
12167000	12/1/2006	1910
12167000	12/2/2006	1690
12167000	12/3/2006	1550
12167000	12/4/2006	1620
12167000	12/5/2006	2140
12167000	12/6/2006	2000
12167000	12/7/2006	2130
12167000	12/8/2006	2490
12167000	12/9/2006	2700
12167000	12/10/2006	2880
12167000	12/11/2006	5260
12167000	12/12/2006	7020
12167000	12/13/2006	5870
12167000	12/14/2006	5790
12167000	12/15/2006	10300
12167000	12/16/2006	4650
12167000	12/17/2006	3380
12167000	12/18/2006	2760
12167000	12/19/2006	2380
12167000	12/20/2006	2230
12167000	12/21/2006	3290
12167000	12/22/2006	3070
12167000	12/23/2006	2690
12167000	12/24/2006	2510
12167000	12/25/2006	4810
12167000	12/26/2006	3280
12167000	12/27/2006	3010
12167000	12/28/2006	2450
12167000	12/29/2006	2130
12167000	12/30/2006	1910
12167000	12/31/2006	1730
12167000	1/1/2007	1690
12167000	1/2/2007	12900
12167000	1/3/2007	9170
12167000	1/4/2007	5040
12167000	1/5/2007	3770
12167000	1/6/2007	4220
12167000	1/7/2007	6070
12167000	1/8/2007	5340
12167000	1/9/2007	3900
12167000	1/10/2007	3570
12167000	1/11/2007	2890
12167000	1/12/2007	2390
12167000	1/13/2007	2130
12167000	1/14/2007	1900
12167000	1/15/2007	1750
12167000	1/16/2007	1670
12167000	1/17/2007	1560
12167000	1/18/2007	1520
12167000	1/19/2007	1840
12167000	1/20/2007	2570
12167000	1/21/2007	2020
12167000	1/22/2007	2220
12167000	1/23/2007	4230
12167000	1/24/2007	3410
12167000	1/25/2007	2890
12167000	1/26/2007	2450
12167000	1/27/2007	2130
12167000	1/28/2007	1900
12167000	1/29/2007	1750
12167000	1/30/2007	1630
12167000	1/31/2007	1540
12167000	2/1/2007	1450
12167000	2/2/2007	1360
12167000	2/3/2007	1290
12167000	2/4/2007	1250
12167000	2/5/2007	1380
12167000	2/6/2007	1720
12167000	2/7/2007	1950
12167000	2/8/2007	2230
12167000	2/9/2007	2070
12167000	2/10/2007	1840
12167000	2/11/2007	1960
12167000	2/12/2007	2580
12167000	2/13/2007	2100
12167000	2/14/2007	2030
12167000	2/15/2007	5110
12167000	2/16/2007	4480
12167000	2/17/2007	3070
12167000	2/18/2007	3770
12167000	2/19/2007	4260
12167000	2/20/2007	7180
12167000	2/21/2007	3780
12167000	2/22/2007	2940
12167000	2/23/2007	2440
12167000	2/24/2007	2170
12167000	2/25/2007	2040
12167000	2/26/2007	2030
12167000	2/27/2007	1800
12167000	2/28/2007	1720
12167000	3/1/2007	1570
12167000	3/2/2007	1430
12167000	3/3/2007	1630
12167000	3/4/2007	1880
12167000	3/5/2007	2380
12167000	3/6/2007	2660
12167000	3/7/2007	3220
12167000	3/8/2007	3510
12167000	3/9/2007	3320
12167000	3/10/2007	3130
12167000	3/11/2007	9120
12167000	3/12/2007	15100
12167000	3/13/2007	5690
12167000	3/14/2007	3570
12167000	3/15/2007	2530
12167000	3/16/2007	2410
12167000	3/17/2007	2820
12167000	3/18/2007	4280
12167000	3/19/2007	3530
12167000	3/20/2007	4740
12167000	3/21/2007	3010
12167000	3/22/2007	2530
12167000	3/23/2007	3330
12167000	3/24/2007	21000
12167000	3/25/2007	13200
12167000	3/26/2007	5000
12167000	3/27/2007	3430
12167000	3/28/2007	2700
12167000	3/29/2007	2300
12167000	3/30/2007	2070
12167000	3/31/2007	2040
12167000	4/1/2007	1940
12167000	4/2/2007	1800
12167000	4/3/2007	1630
12167000	4/4/2007	1530
12167000	4/5/2007	1480
12167000	4/6/2007	1590
12167000	4/7/2007	1950
12167000	4/8/2007	2250
12167000	4/9/2007	3290
12167000	4/10/2007	2900
12167000	4/11/2007	2270
12167000	4/12/2007	1940
12167000	4/13/2007	1810
12167000	4/14/2007	2540
12167000	4/15/2007	2450
12167000	4/16/2007	2030
12167000	4/17/2007	2070
12167000	4/18/2007	1910
12167000	4/19/2007	1710
12167000	4/20/2007	1550
12167000	4/21/2007	1440
12167000	4/22/2007	1380
12167000	4/23/2007	1390
12167000	4/24/2007	1510
12167000	4/25/2007	1880
12167000	4/26/2007	2140
12167000	4/27/2007	2570
12167000	4/28/2007	3870
12167000	4/29/2007	2590
12167000	4/30/2007	2050
12167000	5/1/2007	1910
12167000	5/2/2007	2240
12167000	5/3/2007	2340
12167000	5/4/2007	1950
12167000	5/5/2007	1700
12167000	5/6/2007	1540
12167000	5/7/2007	1620
12167000	5/8/2007	1990
12167000	5/9/2007	2090
12167000	5/10/2007	1770
12167000	5/11/2007	1690
12167000	5/12/2007	1700
12167000	5/13/2007	1690
12167000	5/14/2007	1500
12167000	5/15/2007	1540
12167000	5/16/2007	1820
12167000	5/17/2007	1730
12167000	5/18/2007	1530
12167000	5/19/2007	1560
12167000	5/20/2007	1500
12167000	5/21/2007	1700
12167000	5/22/2007	1420
12167000	5/23/2007	1340
12167000	5/24/2007	1340
12167000	5/25/2007	1430
12167000	5/26/2007	1480
12167000	5/27/2007	1480
12167000	5/28/2007	1340
12167000	5/29/2007	1220
12167000	5/30/2007	1350
12167000	5/31/2007	1560
12167000	6/1/2007	1630
12167000	6/2/2007	1640
12167000	6/3/2007	1750
12167000	6/4/2007	1900
12167000	6/5/2007	1620
12167000	6/6/2007	1400
12167000	6/7/2007	1280
12167000	6/8/2007	1180
12167000	6/9/2007	1100
12167000	6/10/2007	1380
12167000	6/11/2007	1380
12167000	6/12/2007	1210
12167000	6/13/2007	1090
12167000	6/14/2007	1040
12167000	6/15/2007	1020
12167000	6/16/2007	1040
12167000	6/17/2007	1240
12167000	6/18/2007	1370
12167000	6/19/2007	1120
12167000	6/20/2007	1080
12167000	6/21/2007	1120
12167000	6/22/2007	1100
12167000	6/23/2007	1210
12167000	6/24/2007	1070
12167000	6/25/2007	1100
12167000	6/26/2007	966
12167000	6/27/2007	919
12167000	6/28/2007	921
12167000	6/29/2007	1000
12167000	6/30/2007	1210
12167000	7/1/2007	982
12167000	7/2/2007	909
12167000	7/3/2007	885
12167000	7/4/2007	902
12167000	7/5/2007	932
12167000	7/6/2007	938
12167000	7/7/2007	864
12167000	7/8/2007	800
12167000	7/9/2007	756
12167000	7/10/2007	761
12167000	7/11/2007	785
12167000	7/12/2007	795
