"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.762928008479355,0.869295082558932,0.972475925228578,1.09632360341089,1.33603764228667,0.300200944699894
"2",2,0.749395974946058,0.818789522439693,0.877781216795829,1.02851793718945,1.1934970069185,0.000641863679466853
"3",3,0.757590043254498,0.806153421013585,0.880771581489507,0.962176095288434,1.03951454118527,5.64471589732451e-07
"4",4,0.703530568323458,0.801057619282607,0.850728400839396,0.928969734923466,1.00801314882496,1.38239538652787e-10
"5",5,0.863938263769307,0.951089635411992,1.0111086808366,1.09823426182261,1.19747493373011,0.107619474534852
"6",6,0.909853491597975,1.0224027009955,1.10887469698914,1.20573134998504,1.2802103424684,2.24889377242685e-07
"7",7,0.879629855181258,1.04560325186856,1.14212988224083,1.2339257338566,1.27091012958741,1.10303391917345e-06
"8",8,0.925695229248555,1.04542010533181,1.14283161339204,1.27691503415966,1.4731015061824,8.39161577424935e-08
"9",9,0.908796490963419,1.0384587065074,1.17515267926481,1.27635023171579,1.41303194140709,1.18332907585866e-07
"10",10,0.964747872313613,1.08364881246853,1.16798844870916,1.30673905528785,1.7253766012885,3.65988937815296e-09
"11",11,0.962326880447664,1.02320207562043,1.11749391003315,1.29282958796477,1.51100398917387,8.16056255695829e-09
"12",12,0.821843588311593,0.940790963628106,1.00457396702121,1.1054035621405,1.36037440638107,0.170016353562731
