"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,1.10059527800206,1.37927104143211,1.66936770330124,2.10943428162341,2.52427600958455,1.52084093304522e-12
"2",2,1.12770814661182,1.25237848975186,1.38643798862331,1.65255374073651,1.90760046324308,1.17905431258593e-11
"3",3,1.0471272854886,1.14730082794736,1.31371738954915,1.42983240104422,1.67987433251703,2.16240811877305e-11
"4",4,0.890814644794305,0.983491628352898,1.08370745650077,1.22833926706302,1.34800377749145,9.34405951165048e-06
"5",5,0.880152276017577,0.961437660040149,1.08173083272034,1.24455109345805,1.31316565642882,0.000175375234278741
"6",6,0.814373204117142,0.927851534986776,1.05856663054073,1.16216409682998,1.31428324860336,0.0103754741493105
"7",7,0.591330393497507,0.69340417782008,0.800402821482425,0.915278541850151,1.10898457003537,9.96988867493234e-08
"8",8,0.50211172119383,0.677760540233928,0.788159286265135,0.925904401717668,1.06917573882151,3.74993862575709e-08
"9",9,0.647195468526111,0.702152342756046,0.78722580167406,0.943140138439427,1.03384972328758,7.862856425343e-09
"10",10,0.765636819724891,0.845592867260439,1.0239508375986,1.17538096685106,1.41219052022799,0.256719062716366
"11",11,0.850892524422341,1.18210085239882,1.42283182572584,1.66478385978383,2.01782565648025,2.34419994966458e-09
"12",12,1.0655471124876,1.27206138645949,1.62414538401635,1.89516660462251,2.17668462414231,4.09319455588237e-12
