"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,-0.278082712426462,-0.21387720469446,-0.144582535256667,-0.0891577635830353,-0.0431695391414141,2.99339478760714e-12
"2",2,-0.177088387581347,-0.120969588744589,-0.0742278134793663,-0.0372200843663911,-0.00375791114267682,2.73312775667145e-09
"3",3,-0.135412012987013,-0.0801670454545455,-0.0284127499372607,0.00427095513559506,0.0537130681818182,5.85754025632547e-05
"4",4,-0.0841372377622378,-0.0312877056858911,0.00410118125245972,0.0581691356933079,0.0942497895622897,0.233232955633861
"5",5,0.00888751187836551,0.0331089876033058,0.0561878685927599,0.0929771245059288,0.130523572781385,1.28638611451188e-11
"6",6,0.00242931595377244,0.0433441187794837,0.0734498895202021,0.116955980940356,0.160752061950147,7.72534074726731e-11
"7",7,0.0197097882561244,0.078820435053298,0.135108731904296,0.174524116161616,0.290341886806375,3.91471807312767e-12
"8",8,0.00989515692640702,0.0791676229661142,0.123775992727664,0.209458886937927,0.325922380859881,3.7438738660489e-12
"9",9,0.00186006958990832,0.057710861242155,0.0982072598810404,0.169286439732143,0.244293414918415,2.35661669288732e-11
"10",10,-0.0413471686562596,-0.0238082096474954,0.0170173160173159,0.0535539541759054,0.0785264412835843,0.0089993038566328
"11",11,-0.232556736879705,-0.165743006603468,-0.119525866775867,-0.0774951360192837,-0.0307712928921568,4.47439198218502e-12
"12",12,-0.259875883890088,-0.21432224025974,-0.161557982603816,-0.131697622053872,-0.0491040071770334,1.32677749284679e-12
