Year,Month,Mean_TP
1973,1,91.92857142857143
1973,2,70.3125
1973,3,47.4375
1973,4,67.75
1973,5,58
1973,6,85.71428571428571
1973,7,27
1973,8,45.9375
1973,9,29.03125
1973,10,33.357142857142854
1973,11,31.7
1973,12,31.333333333333332
1974,1,22.46875
1974,2,46.891304347826086
1974,3,46.705882352941174
1974,4,56.707317073170735
1974,5,26.555555555555557
1974,6,35.22727272727273
1974,7,68.08695652173913
1974,8,36.51923076923077
1974,9,40.166666666666664
1974,10,32.75
1974,11,34.93939393939394
1974,12,33.38461538461539
1975,1,46.93103448275862
1975,2,50.88461538461539
1975,3,60
1975,4,73.42857142857143
1975,5,50.89473684210526
1975,6,46.63636363636363
1975,7,93.75
1975,8,90.6923076923077
1975,9,64.875
1975,10,88.43333333333334
1975,11,32.38461538461539
1975,12,44.38461538461539
1976,1,51
1976,2,137
1976,3,54.166666666666664
1976,4,58.111111111111114
1976,5,74.14285714285714
1976,6,37
1976,7,90.27272727272727
1976,8,55.22222222222222
1976,9,39.35
1976,10,46.55555555555556
1977,2,94.1875
1977,3,68.9375
1977,6,39.0625
1977,7,26.125
1977,8,52.625
1977,9,46.666666666666664
1977,10,41.5625
1977,11,45.75
1978,1,97.125
1978,2,156.9375
1978,3,73.25
1978,4,87.9375
1978,5,86.5
1978,6,46.25
1978,7,33.625
1978,8,45.875
1978,9,36.25
1978,10,53.125
1978,11,47.25
1978,12,88
1979,1,116.42857142857143
1979,3,105
1979,4,91.5
1979,5,118
1979,6,67.875
1979,7,46.75
1979,8,43.375
1979,9,68.875
1979,10,80.875
1979,11,101.75
1979,12,129
1980,1,104
1980,2,158.625
1980,3,150.25
1980,4,105.375
1980,5,126
1980,6,73.875
1980,7,76.625
1980,8,55.75
1980,9,66
1980,10,43.25
1980,11,48.5
1980,12,70.875
1981,1,107.5
1981,2,123.625
1981,3,109.75
1981,4,95.375
1981,5,99.25
1981,6,31
1981,7,48.0625
1981,8,40.125
1981,9,84.125
1981,10,79.875
1981,11,82.125
1982,1,78.125
1982,2,88.875
1982,3,75.875
1982,4,100
1982,5,123.5
1982,6,93.16666666666667
1982,7,60.5
1982,8,51.5
1982,9,70.125
1982,11,68.375
1982,12,100.875
1983,1,95.125
1983,2,108.5
1983,3,125.125
1983,4,138.625
1983,5,116.125
1983,6,95.625
1983,7,62
1983,8,61
1983,9,76.625
1983,10,64.875
1983,12,79.375
1984,1,111.625
1984,2,97.625
1984,3,119.75
1984,4,125.25
1984,5,118.44444444444444
1984,6,92.375
1984,7,98
1984,8,82.875
1984,10,113.125
1984,11,103.25
1984,12,67.625
1985,1,86.875
1985,2,90.375
1985,4,67.375
1985,5,105.375
1985,6,83.125
1985,7,76
1985,8,70.25
1985,9,106.8
1985,10,105.8
1985,11,59
1985,12,50.75
1986,1,73.5
1986,2,62.375
1986,4,43.375
1986,5,59
1986,6,58.6
1986,7,70
1986,8,61.214285714285715
1986,9,80.27272727272727
1986,10,75.83333333333333
1986,11,55
1986,12,73.11111111111111
1987,1,115.22222222222223
1987,2,114.55555555555556
1987,4,126.88888888888889
1987,5,121.6
1987,6,92.63157894736842
1987,7,71
1987,8,61.8
1987,9,66.8
1987,10,136.8
1987,11,125.55555555555556
1987,12,114.11111111111111
1988,1,143.22222222222223
1988,2,178.88888888888889
1988,3,135.1
1988,4,142.33333333333334
1988,5,129.5
1988,6,121.07692307692308
1988,7,82.1875
1988,8,59.5
1988,9,77.625
1988,10,70.05882352941177
1988,11,67.875
1988,12,114.25
1989,1,77.125
1989,2,59.25
1989,3,97.625
1989,4,112.625
1989,5,79.875
1989,6,70.5625
1989,7,73.25
1989,8,76.875
1989,9,73.0625
1989,10,82.875
1989,11,90.25
1989,12,193
1990,1,114.875
1990,2,124.625
1990,3,185.66666666666666
1990,4,114.75
1990,5,93.03846153846153
1990,6,110.6875
1990,7,76.88235294117646
1990,8,66.77777777777777
1990,9,54.875
1990,10,87.2
1990,11,107.57142857142857
1990,12,120.25
1991,1,94.375
1991,2,107.5
1991,3,120.5
1991,4,136.625
1991,5,104.33333333333333
1991,6,93
1991,7,50.53333333333333
1991,8,54.5
1991,9,55.92307692307692
1991,10,67.0625
1991,12,69
1992,1,110
1992,2,111.83333333333333
1992,3,82.875
1992,4,99.77777777777777
1992,5,90.875
1992,6,69.25367647058823
1992,7,98.7279411764706
1992,8,112.98507462686567
1992,9,133.35537190082644
1992,10,164.73333333333332
1992,11,86.875
1992,12,67.625
1993,1,69.25
1993,2,124.85611510791367
1993,3,98.375
1993,4,309.44628099173553
1993,5,462.22131147540983
1993,6,405.795652173913
1993,7,170.26315789473685
1993,8,106.46753246753246
1993,9,85
1993,10,67.73333333333333
1993,11,103.7578947368421
1993,12,134.6144578313253
1994,1,132.1320754716981
1994,2,145.56578947368422
1994,3,146.7986577181208
1994,4,141.5909090909091
1994,5,115.375
1994,6,115.61475409836065
1994,7,86.34328358208955
1994,8,105.95488721804512
1994,9,83.91275167785236
1994,10,82.52
1994,11,78.5
1994,12,78.6875
1995,1,109.125
1995,2,160.63636363636363
1995,3,137.91666666666666
1995,4,121.42857142857143
1995,5,87.46428571428571
1995,6,72.71428571428571
1995,7,48.266666666666666
1995,8,45.6
1995,9,54.142857142857146
1995,10,55.733333333333334
1995,11,115.875
1995,12,153.42857142857142
1996,1,132.25
1996,2,165.5
1996,3,169.25
1996,4,150.875
1996,5,138.0625
1996,6,74.6
1996,7,79
1996,8,71.875
1996,9,74.1
1996,10,98.875
1996,11,165.5
1996,12,142.125
1997,1,65.75
1997,2,77
1997,3,148.75
1997,4,129.5
1997,5,99.8125
1997,6,80.125
1997,7,69.425
1997,8,76.4375
1997,9,84.875
1997,10,109.75
1997,11,124.125
1998,1,113.375
1998,2,145.25
1998,3,140.26666666666668
1998,4,171.0625
1998,5,169.55555555555554
1998,6,130.5
1998,7,93.06666666666666
1998,8,78.125
1998,9,87
1998,10,115.25
1998,11,71.25
1998,12,85.5
1999,1,84.875
1999,2,93.125
1999,3,133.125
1999,4,101.75
1999,5,97.4
1999,6,95.375
1999,7,85.1875
1999,8,74.91304347826087
1999,9,89.16666666666667
1999,10,88.875
1999,11,221.75
1999,12,190.5
2000,1,147.875
2000,2,161.875
2000,3,213.625
2000,4,227
2000,5,124.25
2000,6,111.5625
2000,7,113.66666666666667
2000,8,92.3
2000,9,79.125
2000,10,153.875
2000,11,87.125
2000,12,228.375
2001,1,130.1818181818182
2001,2,115.14285714285714
2001,4,120.14285714285714
2001,5,81.57142857142857
2001,6,85.21428571428571
2001,7,104.6
2001,8,115.28571428571429
2001,9,102.28571428571429
2001,10,115.25
2001,11,122.625
2001,12,106.625
2002,1,115.75
2002,2,119.375
2002,3,120
2002,4,122.8125
2002,5,125.8125
2002,6,133.875
2002,7,92.2
2002,8,100.75
2002,9,96.66666666666667
2002,10,92.75
2002,11,147.375
2002,12,143.5
2003,1,113.875
2003,2,145.375
2003,3,140
2003,4,168.3125
2003,5,121.875
2003,6,97.16666666666667
2003,7,81.125
2003,8,78.42857142857143
2003,9,93.25
2003,10,81.875
2003,11,120.5
2003,12,128
2004,1,109.875
2004,2,126.625
2004,3,149.125
2004,4,159.75
2004,5,172.25
2004,6,104.28571428571429
2004,7,128.28571428571428
2004,8,92.14285714285714
2004,10,181.75
2004,11,262
2004,12,416.42857142857144
2005,1,219.375
2005,2,381.625
2005,3,322.25
2005,4,269.875
2005,5,213.25
2005,6,204.5
2005,7,174.625
2005,8,165.25
2005,9,172.75
2005,10,164.5
2005,11,206.07142857142858
2005,12,207.71428571428572
2006,1,329.25
2006,2,335.375
2006,3,207.25
2006,4,192.57142857142858
2006,5,204.75
2006,6,223.75
2006,7,169.625
2006,8,125.875
2006,9,113.25
2006,10,163.5
2006,11,168.625
2006,12,165.875
2007,1,168.375
2007,2,149.75
2007,3,276.375
2007,4,219.375
2007,6,238.4
2007,7,118.6
2007,8,99.625
2007,9,145.8
2007,10,265.57142857142856
2007,11,198
2007,12,143.85714285714286
2008,1,313.57142857142856
2008,2,183.57142857142858
2008,3,186.42857142857142
2008,4,161.57142857142858
2008,5,260.42857142857144
2008,6,100.33333333333333
2008,7,96.57142857142857
2008,8,75
2008,9,150.25
2008,10,187.5
2008,11,267.25
2008,12,163.875
2009,1,135.125
2009,2,150.5
2009,3,136.875
2009,4,200.625
2009,5,128.375
2009,6,101.85714285714286
2009,7,110.125
2009,8,102.75
2009,9,82.375
2009,10,77.375
2009,11,124.875
2009,12,105.85714285714286
2010,1,166.375
2010,3,145.375
2010,4,147.5
2010,5,137.125
2010,6,92.375
2010,7,62.5
2010,8,90
2010,9,105
2010,10,69.5
2010,11,82
2010,12,193.5
2011,1,81
2011,2,146
2011,3,148.125
2011,4,119.875
2011,5,115.25
2011,6,100.75
2011,7,62.57142857142857
2011,8,65.5
2011,9,75.125
2011,10,92
2011,11,88.125
2011,12,105.75
2012,1,76.125
2012,2,87.125
2012,3,132.25
2012,4,101.625
2012,5,101
2012,6,80.375
2012,7,86.57142857142857
2012,8,59.125
2012,9,114.25
2012,10,88.33333333333333
2012,11,120.66666666666667
2012,12,115.16666666666667
2013,1,128.83333333333334
2013,2,135.83333333333334
2013,3,275.6666666666667
2013,4,134
2013,5,145.16666666666666
2013,6,106.5
2013,7,112.83333333333333
2013,8,88.33333333333333
2013,9,100.66666666666667
2013,10,98.33333333333333
2013,11,108.83333333333333
2013,12,118.66666666666667
2014,1,130.5
2014,2,109.83333333333333
2014,3,116.83333333333333
2014,4,176.14285714285714
2014,5,146.83333333333334
2014,6,144.16666666666666
2014,7,90.66666666666667
2014,8,99
2014,9,84.16666666666667
2014,10,103.16666666666667
2014,11,114.66666666666667
2014,12,121.33333333333333
2015,1,142.66666666666666
2015,2,206.16666666666666
2015,3,135.66666666666666
2015,4,129.83333333333334
2015,5,125.33333333333333
2015,6,126.66666666666667
2015,7,98.16666666666667
2015,8,93
2015,9,81
2015,10,93.16666666666667
2015,11,87.66666666666667
2015,12,104.16666666666667
2016,1,167.33333333333334
2016,2,112.83333333333333
2016,3,127
2016,4,196
2016,5,162.66666666666666
2016,6,120.5
2016,7,104.16666666666667
2016,8,97.16666666666667
2016,9,111.5
2016,10,116.16666666666667
2016,11,133.5
2016,12,139.16666666666666
2017,1,250.66666666666666
2017,2,125.16666666666667
2017,3,149.83333333333334
2017,4,159.5
2017,5,179.33333333333334
2017,6,172
2017,7,114.5
2017,8,101.16666666666667
2017,9,193.66666666666666
2017,10,177.83333333333334
2017,11,175.83333333333334
2017,12,185.66666666666666
2018,1,348.5
2018,2,264.6666666666667
2018,3,251
2018,4,187
2018,5,230.5
2018,6,188.5
2018,7,144.83333333333334
2018,8,135.83333333333334
2018,9,135
2018,10,109.66666666666667
2018,11,98.16666666666667
2018,12,124.5
2019,1,150.33333333333334
2019,2,175.33333333333334
2019,3,152.8
2019,4,173.33333333333334
2019,5,143.33333333333334
2019,6,116.66666666666667
2019,7,128
2019,8,88.16666666666667
2019,9,121.83333333333333
2019,10,167.16666666666666
2019,11,114.83333333333333
2019,12,161.83333333333334
2020,1,119
2020,2,117
2020,3,189.83333333333334
2020,4,145.83333333333334
2020,5,146
2020,6,126.5
2020,7,121.08333333333333
2020,8,111.66666666666667
2020,9,103.75
2020,10,111.41666666666667
2020,11,181.33333333333334
2020,12,127.83333333333333
2021,1,176.16666666666666
2021,2,99.83333333333333
2021,3,218.33333333333334
2021,4,138.83333333333334
2021,5,170.08333333333334
2021,6,140.6
2021,7,113.41666666666667
2021,8,95.08333333333333
2021,9,85.33333333333333
2021,10,100.83333333333333
2021,11,100.5
2021,12,99
2022,1,137.33333333333334
2022,2,171.5
2022,3,115
2022,4,164.33333333333334
2022,5,147
2022,6,137.91666666666666
2022,7,96
2022,8,99.27272727272727
2022,9,90.16666666666667
2022,10,180.66666666666666
2022,11,169.5
2022,12,171.5
2023,1,183
2023,2,235
2023,3,179.83333333333334
2023,4,177.83333333333334
2023,5,186.66666666666666
2023,6,180
2023,7,110
2023,8,120.25
2023,9,105.25
2023,10,131.5
2023,11,135.5
2023,12,159.5
2024,1,157.83333333333334
2024,2,154.16666666666666
2024,3,143.5
2024,4,175.16666666666666
2024,5,133
2024,6,136.33333333333334
2024,7,103.5
2024,8,139.75
2024,9,100.41666666666667
2024,10,117.83333333333333
2024,11,132.4
2024,12,257
2025,1,257.3333333333333
2025,2,153.33333333333334
2025,3,232.33333333333334
2025,4,187
2025,5,136.58333333333334
2025,6,114.08333333333333
2025,7,108.83333333333333
