Locator,Descriptor,Descriptor 2,Active,Land Use,Development Cat.
0305,Duwamish,,no,major river,major river
0307,Duwamish,,no,major river,major river
0309,Duwamish,,no,major river,major river
0311,Green River,,yes,major river,major river
0317,Springbrook/Black River,,yes,urban,60's & 70's suburbanization
0321,Crisp Creek,,yes,rural,low development
0322,Newakum Creek,,yes,agricultural,low development
0430,Lyon Creek,,yes,urban,post WWII boom
0434,Thornton Creek,,yes,urban,post WWII boom
0440,May Creek,,yes,suburban,60's & 70's suburbanization
0442,Coal Creek,,yes,suburban,60's & 70's suburbanization
0444,Kelsey Creek,,yes,urban,post WWII boom
0446,Juanita Creek,,yes,urban,60's & 70's suburbanization
0450,Sammamish River,merge w/ 0450CC?,no,major river,major river
0456,Forbes Creek,,no,urban,60's & 70's suburbanization
0470,Swamp Creek,,yes,urban,60's & 70's suburbanization
0474,North Creek,,yes,urban,60's & 70's suburbanization
0478,Little Bear Creek,,yes,suburban,80's & 90's suburbanization
0484,Bear Creek,merge w/ 0484A?,no,suburban,80's & 90's suburbanization
0486,Sammamish River,,yes,major river,major river
0498,Fairweather Creek,,no,urban,post WWII boom
0631,Issaquah Creek,,yes,rural,low development
3106,Green River,,yes,major river,major river
A315,Mill Creek,,yes,urban,60's & 70's suburbanization
A319,Green River,Middle 1,yes,major river,major river
A320,Soos Creek,,yes,suburban,60's & 70's suburbanization
A432,McAleer Creek,,yes,urban,post WWII boom
A438,Cedar River,Upper,yes,major river,major river
A499,Cochran Springs,,yes,suburban,60's & 70's suburbanization
A631,Issaquah Creek,Upper,yes,rural,low development
A632,Issaquah Creek,North Fork,yes,suburban,21st century suburbanization
B319,Green River,Middle 2,yes,major river,major river
B484,Evans Creek,,yes,suburban,80's & 90's suburbanization
C320,Covington Creek,,yes,suburban,21st century suburbanization
C370,Longfellow Creek,,yes,urban,post WWII boom
C446,Juanita Creek,upper,yes,urban,60's & 70's suburbanization
C484,Bear Creek,middle,yes,suburban,80's & 90's suburbanization
D320,Jenkins Creek,,yes,suburban,60's & 70's suburbanization
D444,Kelsey Creek,upper,no,urban,post WWII boom
G320,Little Soos Creek,,yes,suburban,low development
J484,Bear Creek,upper,no,suburban,80's & 90's suburbanization
KSHZ06,Pipers Creek,,yes,urban,post WWII boom
KTHA02,Pipers Creek,middle,yes,urban,post WWII boom
KTHA03,Venema Creek,,yes,urban,post WWII boom
N484,Cottage Lake Creek,,yes,suburban,60's & 70's suburbanization
S484,Evans Creek,upper,yes,suburban,80's & 90's suburbanization
